searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
rlc exclusive 2023 mainline factory sealed set hkl75,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_2023_mainline_factory_sealed_set_hkl75.html,45,950.0,1250.0,1006.35,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8c0bf024-ffcd-45f1-b409-81d81de89214
rlc exclusive 2022 mainline factory sealed set hcw16,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_2022_mainline_factory_sealed_set_hcw16.html,45,950.0,1250.0,1007.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-919ad876-654c-40d9-be7a-c084f974f522
rlc exclusive 2021 mainline factory sealed set gtd82,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_2021_mainline_factory_sealed_set_gtd82.html,45,950.0,1250.0,1011.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bc858f91-ca12-4d0a-b732-8f9e3513b3d7
hot wheels rlc treasure hunt set hnl32,https://streamline1175.github.io/130-Search-Results/hot_wheels_rlc_treasure_hunt_set_hnl32.html,30,232.5,725.0,444.96,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5aadb567-2300-4896-a76b-cfe19a05a936
2022 hot wheels super treasure hunt set hgk86,https://streamline1175.github.io/130-Search-Results/2022_hot_wheels_super_treasure_hunt_set_hgk86.html,5,449.99,499.88,464.47,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-63e8271c-b1d8-4c95-82b5-673de3534431
rlc exclusive 2020 super treasure hunt set glh99,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_2020_super_treasure_hunt_set_glh99.html,29,410.0,716.1,459.41,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ab3f4341-414c-41f2-b6dd-8ce253654bdd
hot wheels mainline 100 car case pack v6697,https://streamline1175.github.io/130-Search-Results/hot_wheels_mainline_100_car_case_pack_v6697.html,9,30.0,101.0,55.21,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d74e9cd2-5334-49b4-b1e2-1e148bf90e9e
bape hot wheels 1955 mercedes benz 300 sl hjp38,https://streamline1175.github.io/130-Search-Results/bape_hot_wheels_1955_mercedes_benz_300_sl_hjp38.html,7,110.0,145.0,124.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a2810618-6776-4ada-86c6-6dd3e3bb4358
rlc exclusive 70s dodge tradesman van hgk78,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_70s_dodge_tradesman_van_hgk78.html,15,63.5,80.0,71.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3f8dbcf3-4c64-4f43-a74a-a2bcd1404ec4
hot wheels rlc 1975 chevrolet monte carlo hgk77,https://streamline1175.github.io/130-Search-Results/hot_wheels_rlc_1975_chevrolet_monte_carlo_hgk77.html,26,47.0,78.99,55.93,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6d4e2c67-274a-4532-b62a-fc68432c8ce1
