searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Dragonball Super Realm of the Gods Case,4,2024-07-29,1079.25,1900.0,1439.62,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0cf65547-a4d3-4234-a438-451e26de6d19
Eevee Heroes Carton,19,2024-08-02,85.0,400.0,223.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-96e56e2c-bb6a-44e9-a779-cafe79e6c7cd
Pokemon Center Japan Sitting Pikachu Acer Okinawa,7,2024-07-04,49.99,99.99,80.15,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-767f02aa-da8f-4faa-99a5-a71be843c7e8
2013 POKEMON BLACK WHITE LEGENDARY TREASURES 102 LUGIA EX,8,2024-07-21,13.99,34.99,24.44,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9b0a56cd-7e0e-4394-84a2-6c2385788b44
2020 POKEMON SWORD SHIELD VIVID VOLTAGE 102 ZAMAZENTA,19,2024-08-02,5.5,22.5,14.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fb4ed56d-0d6f-4e22-9aff-7729638de059
2022 POKEMON GO JAPANESE 006 SPINARAK DITTO,23,2024-08-01,1.18,24.99,4.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bb67b9d9-a483-4b2a-9a26-36a2c4eb1100
2022 POKEMON GO JAPANESE 013 NUMEL-REVERSE FOIL DITTO,2,2024-07-26,18.0,24.99,21.49,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fcf903af-b5a5-4284-96a1-97e63fb09a85
2020 POKEMON JPN SWSH FAMARNIE SHINY STAR V,10,2024-08-01,24.99,108.95,80.14,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2705c74e-fad1-4bda-8fba-5fdebe5cd4d4
2018 POKEMON SUN MOON FALILLIE ULTRA PRISM,8,2024-08-02,100.0,489.99,237.12,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ce5abe01-d8cc-4a84-b6af-40fde3d82540
Pokemon TCG Wooden 25th Anniversary Celebrations Deck Box,7,2024-08-01,56.0,84.99,63.7,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9424627d-bd67-47e0-9de8-afdeecafd523
2022 Final Fantasy TCG Anniversary Collection Set Box,10,2024-07-28,29.99,191.89,59.64,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fde7bbc7-0c7f-4252-8670-6472343525b6
Dragon Ball Super Card Game Theme Selection History of Son Goku,8,2024-07-26,18.99,49.99,30.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b68fb83b-ee20-439c-8446-02519b5a1296
Fuecoco EX Starter Deck Fire,22,2024-08-02,1.39,250.0,44.32,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d448b058-fc55-42f9-87e8-70e82b7dbf71
Pikachu EX Start Deck Electric,17,2024-07-31,72.0,234.99,128.69,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e86ee2a5-9722-4b2c-867a-d41571ae51dd
Quaxly EX Starter Deck Water,25,2024-08-02,3.99,200.0,41.43,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7c67e515-fd0e-47d7-a941-2c91fd813645
Ultra Pro Booster Box Display Acrylic Case,10,2024-07-31,30.0,100.0,45.48,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-31f34abf-463c-4101-88ec-142f2587024f
Diablo 4 Collectors Edition,12,2024-08-01,99.99,200.0,137.82,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-db044c6f-28ab-4a90-862e-d983a1c5d509
Finalmouse The Last Legend Size Medium with Centerpiece Code,9,2024-07-24,245.0,294.5,264.16,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-26e4f759-6757-435d-816f-625b7bdeacd5
Funko Pop Super Sonic First Appearance 877 Glow SDCC 2022 Summer,9,2024-07-11,22.99,100.0,51.09,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6b3bc737-61ad-4c21-a7aa-24c9a542911b
Funko Pop Bleach Ichigo Fully Hollowfied 1104 CHASE BUNDLE Sealed Case,11,2024-07-22,33.0,59.99,40.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-af2efba1-12ee-4445-be68-47a43cc00b7e
Funko Pop Starfire 438 SDCC 2022 Summer Justice League,12,2024-07-31,15.99,34.99,22.89,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-265500c0-3b1c-4271-a650-914879e4b081
Funko POP Star Wars 548 Krrsantan Flocked Bobble-Head,12,2024-07-26,10.0,32.95,15.53,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a01c1305-18dd-4bec-861a-d39c3e0a7a12
Hot Wheels Limited Edition RLC EXCLUSIVE 82 LAMBORGHINI COUNTACH LP 500 S Green,6,2024-07-27,41.0,54.99,46.16,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8d3cde5c-0b9f-4c9e-adcf-c9f4f3247c2a
Super Dragon Ball Heroes 12th ANNIVERSARY SUPER GUIDE,11,2024-08-02,46.0,109.65,70.49,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fa80d98d-ce5e-461e-8ebd-aa15bc0e1329
Nintendo Switch Metroid Dread Collectors Edition,21,2024-08-02,71.0,115.0,89.04,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3c7ece94-e912-4461-a236-7874677972fc
Pokemon Center Japanese Wedding Groom Pikachu Plush,11,2024-07-30,75.0,149.99,121.96,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-77ea4938-9165-4b2e-a748-99b2ed609123
Sealed MetaZoo WPT Kickstarter Artist Signed Print Deer Woman 235 Rare,7,2024-07-24,24.95,69.69,37.44,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1246cece-108b-4f16-a424-7c646c137c03
MetaZoo Nightfall 1st Edition Booster Box Factory Sealed,11,2024-07-31,34.99,48.88,39.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e010a2b9-5986-4267-9c9b-22d69c8e6d3a
Funko Freddy Funko Funklub Lanyard,6,2024-07-18,15.0,34.0,23.83,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fa845cb8-6588-4612-a1f1-f37d6d78ef54
PAX South Nintendo Exclusive Lanyard,13,2024-07-31,19.99,76.0,40.22,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b73309e4-3ea1-41bd-a907-bf604f45c12d
Blizzcon 2013 Keyart Medium Shirt,10,2024-08-01,14.99,53.0,25.55,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0397d56d-37f1-4dd2-a851-837a8fb562d5
Blizzcon 2015 Keyart Large Shirt,14,2024-07-31,14.5,40.0,22.14,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9f5ba942-2be1-47ea-b57d-fba2bad23fe7
Blizzcon Exclusive Megablock Thrall Figure,15,2024-07-29,14.99,35.0,21.6,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d0947373-1a45-4ca6-8d3c-18d91e3d4e21
Twitchcon 2016 Exclusive Collectibles Pasta Pin,1,2024-07-11,15.0,15.0,15.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5e2b8537-dae1-48f4-b7c6-f559411733ba
Funko Pop 2016 Freddy Funklub Pin,11,2024-07-25,14.99,75.0,27.54,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a695af87-2f8e-4657-83bc-465c59676a74
Blizzcon 2015 Murkadin Collectible Pin,8,2024-07-26,19.95,79.99,42.47,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0f56cd60-0206-41d3-8b9a-d6152fa91977
Diablo 3 Custom Dice with Bag,26,2024-08-02,5.0,54.99,14.73,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-12b4050b-2f76-4d7d-8955-2840a1bc05a4
Ertl Thomas Friends Railway Train Tank Engine Annie Diecast Metal 1996,14,2024-07-25,12.89,37.98,20.59,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d50f69fe-1293-44cb-8bec-34afb4c4ad45
Ertl Thomas Friends Railway Train Tank Engine Ben Diecast Metal 1996,16,2024-07-29,11.98,27.98,16.07,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-32de6e4e-7227-4668-9d6c-6cab68f5f634
Ertl Thomas Friends Railway Train Tank Engine Bertie Diecast Metal 1996,14,2024-07-25,13.96,37.98,21.91,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-70e2bafc-7b2b-4627-ba20-4a7cccbe1e77
Ertl Thomas Friends Railway Train Tank Engine Bulgy Diecast Metal 1996,15,2024-07-25,11.98,37.98,18.97,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ac6a1221-709b-4d47-a4e3-a8321e40879d
Ertl Thomas Friends Railway Train Tank Engine Caroline Diecast Metal 199,6,2024-07-29,11.98,19.99,14.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7ff065b5-bc6a-4433-8c2d-6e044b3e2658
