searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Hades: Original Soundtrack 4xLP,11,111.11,134.99,120.54,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c71607b8-ef06-4cde-8f5b-969944e86f75
Transistor: Original Soundtrack 2xLP,36,36.99,91.99,63.91,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-985e571d-5e38-4755-8d94-87ab777ee128
The Songs of Supergiant Games: 10th Anniversary Orchestral Collection Vinyl Soundtrack,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f8e263f5-0993-4357-86f2-0d166309263d
Gris 2xLP Vinyl Soundtrack,37,49.99,125.0,75.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ab5af0ca-e32d-4af6-94f4-f55d38868be4
Steven Universe 4 x 10” Vinyl Set,24,89.99,143.32,103.54,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-278a9f67-9e66-4e98-84db-1e1612023b5a
Annapurna Interactive Deluxe Limited Edition Collection (Nintendo Switch),1,355.0,355.0,355.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-aa91bf26-0c23-4e2b-aae9-dff562a2cfac
Persona 3 Vinyl Soundtrack 4xLP,13,179.0,499.95,221.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-03629e51-13cc-4337-bb62-856104d153ce
Persona 4 Vinyl Soundtrack 4xLP,29,185.99,269.99,205.26,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cbc2d783-6658-435f-b648-ffc039179ecd
Persona 5 Vinyl Soundtrack - The Essential Edition 4xLP,15,188.99,499.95,225.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6e824274-6d5e-4e0d-82a8-9cb036fb349e
Behind the Frame Vinyl Soundtrack,13,17.99,34.48,26.03,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-89586bf4-c274-4027-92c2-95fabd05c221
Mutazione 2xLP Vinyl Soundtrack,38,39.99,199.99,68.57,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2840f709-80ec-4591-97f6-c6f265b887ab
Spinch (Nintendo Switch Physical Edition),1,45.0,45.0,45.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b05ba343-e3f8-4226-aa01-fdd9d9ac210d
Spinch LP Vinyl Soundtrack,34,12.99,65.0,27.93,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b17edaca-1b93-4ae9-a424-b9adb3df42b0
