searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Transformation Mask Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Transformation_Mask_Japanese_Booster_Box.html,55,5.5,542.88,185.46,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-10c16401-043e-4f98-b06a-bad862119c6f
Crimson Haze Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Crimson_Haze_Japanese_Booster_Box.html,36,55.5,149.99,72.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8f4dbee7-9b11-46ae-86f9-6c536a7c1711
Wild Force Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Wild_Force_Japanese_Booster_Box.html,28,59.99,184.99,99.13,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ef23851a-d6d4-46ba-ab2c-eedaf18509bb
Cyber Judge Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Cyber_Judge_Japanese_Booster_Box.html,23,71.0,184.99,107.68,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e168736f-0044-4ae2-b1b2-8f4dcabe4193
Shiny Treasure ex Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Shiny_Treasure_ex_Japanese_Booster_Box.html,19,48.39,149.75,73.51,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ed8da1bb-f2e1-4e4e-aa60-e27e7bbfe0b0
Future Flash Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Future_Flash_Japanese_Booster_Box.html,36,31.0,162.5,61.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-02834a62-b4d5-496e-a735-957fe6fba745
Ancient Roar Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Ancient_Roar_Japanese_Booster_Box.html,47,26.0,128.68,50.32,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-08bfc020-0119-4551-b424-1af65795c467
Raging Surf Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Raging_Surf_Japanese_Booster_Box.html,29,38.0,154.99,74.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-716f3ecd-0ab1-4ea5-9036-ee10d9cefb4e
Ruler of the Black Flame Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Ruler_of_the_Black_Flame_Japanese_Booster_Box.html,20,55.98,161.97,74.02,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c21da1f3-b456-4b6f-9f0f-239e62054573
Pokemon 151 Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Pokemon_151_Japanese_Booster_Box.html,28,137.89,419.99,208.8,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5347a69c-dc20-467d-b17c-fe1d7f6fff26
Clay Burst Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Clay_Burst_Japanese_Booster_Box.html,22,89.0,259.97,122.03,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a649db69-a1ce-46b6-b121-ab9e33095494
Snow Hazard Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Snow_Hazard_Japanese_Booster_Box.html,18,64.99,251.89,113.83,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1aebdf6d-e1e6-4b1a-b189-dbcf2e485e41
Triplet Beat Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Triplet_Beat_Japanese_Booster_Box.html,24,52.0,160.0,81.75,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-117c0de5-00e5-4786-b502-453d8aad4603
Violet ex Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Violet_ex_Japanese_Booster_Box.html,9,59.99,161.82,81.42,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-db35bfb9-3aa7-4dbd-9f4e-f482015493bc
Scarlet ex Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Scarlet_ex_Japanese_Booster_Box.html,9,59.99,164.78,88.34,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-48900673-2c5e-4f86-bdbb-31244598a1bd
VSTAR Universe Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/VSTAR_Universe_Japanese_Booster_Box.html,22,69.0,167.5,92.31,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1dcb6473-f983-4750-bae0-4999de9914ba
Paradigm Trigger Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Paradigm_Trigger_Japanese_Booster_Box.html,34,70.0,180.19,98.09,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5cf840a6-481b-406f-a7d7-a16df744229c
Incandescent Arcana Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Incandescent_Arcana_Japanese_Booster_Box.html,16,84.0,201.51,113.17,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cb566bf0-0538-4e83-af6d-193be93f32b5
Lost Abyss Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Lost_Abyss_Japanese_Booster_Box.html,16,141.54,359.88,181.89,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1d39e3db-f9ec-4731-9c6b-8ba3a633d923
Pokemon GO Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Pokemon_GO_Japanese_Booster_Box.html,18,50.0,99.99,65.92,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-621e18c8-d115-4f2a-bcf8-e81cce07d8c2
Dark Phantasma Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Dark_Phantasma_Japanese_Booster_Box.html,30,59.82,181.36,77.26,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0df087cc-ca91-46bc-b18b-d7b0c1fd4c6e
Time Gazer Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Time_Gazer_Japanese_Booster_Box.html,59,3.75,1151.69,167.84,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c124d1cd-e39e-43c2-9b83-02bddf43ee04
Space Juggler Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Space_Juggler_Japanese_Booster_Box.html,10,62.0,184.87,97.84,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-985ab031-b10f-43b4-b577-3893ac795e7c
Battle Region Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Battle_Region_Japanese_Booster_Box.html,15,62.96,218.5,113.29,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-625ce1d1-0a5e-4747-a5c0-e2c3b7291169
Star Birth Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Star_Birth_Japanese_Booster_Box.html,19,75.99,135.29,94.93,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-176e7dbc-99aa-49dd-b89d-2428e723443f
