searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Bee and PuppyCat 2xLP,36,10.0,63.0,17.36,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cfa8ef68-d2f9-4ba1-ad84-164503ee8118
Nimona Vinyl Soundtrack,30,25.49,124.49,50.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2459929f-9f3a-4995-a469-cf238ae2c303
Persona 3 Reload 4xLP,33,49.98,189.99,85.55,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-00151e5c-71ce-4452-9dee-0c723143baee
Outer Wilds 2xLP Vinyl Soundtrack,35,74.0,99.99,88.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9a5db95a-b184-40dc-a768-cb163a20d8a6
Five Nights at Freddy’s Vinyl Soundtrack,21,25.0,83.0,43.8,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-044d158b-eea7-4e0f-9c96-125ab00d7547
Persona 3 Portable Vinyl Soundtrack,18,174.99,289.99,201.88,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c0b01f5a-d63d-43e0-8cd8-1a9c30384b48
Persona 4 Golden Vinyl Soundtrack,42,174.99,269.99,196.29,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c5237fdd-ed1d-4ebc-aba4-ae7ca250568c
Ms. Chalice - Orochi Limited Edition Woodblock Print (Cuphead),0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ac6dd85b-562e-42bd-8809-deda0f321360
Annapurna Interactive Deluxe Limited Edition Collection (Nintendo Switch),1,355.0,355.0,355.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-824e7d7d-5105-43ed-b1ae-284adbe5947d
League of Legends Worlds Anthems Vol 1: 2014-2023 1xLP,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-08201c46-d423-4085-b40a-46d573b0ded2
A Little To The Left Vinyl Soundtrack,5,24.0,85.0,43.07,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-59a44276-1e61-4c46-9e8d-367ad5edb1f6
Toem 2xLP,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e49bf13f-19bb-4236-8764-02e1ce58a18e
