searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Mattel 18 Dodge Challenger SRT Demon HWW83,25,2024-04-25,69.0,99.99,88.91,$99.99,$-21.75,$113.63,https://quickchart.io/chart/render/sf-3b769450-e8a0-4b8b-9b82-f6c1a66ace9b
Mattel 1961 Brownette Bubble Cut Barbie Doll Reproduction GXL25,6,2024-04-26,129.48,175.99,145.58,$75.00,$53.11,$85.22,https://quickchart.io/chart/render/sf-adf2884a-2f5a-44df-b775-6799e42a609c
Mattel 1977 Superstar Barbie Doll Reproducti HBY11,13,2024-04-27,34.99,108.0,57.75,$40.00,$10.82,$45.45,https://quickchart.io/chart/render/sf-fc0ce7ee-b0c1-4d73-8c6e-f0ebf02e9667
Mattel 1977 Superstar Christie Barbie Doll GXL28,14,2024-04-27,49.85,245.0,89.1,$40.00,$38.41,$45.45,https://quickchart.io/chart/render/sf-faa4fc64-77bf-4b73-bc56-0dc3ac09d765
Mattel 1988 Jeep Wagoneer HWW85,12,2024-04-25,47.95,151.5,97.67,$99.99,$-14.04,$113.63,https://quickchart.io/chart/render/sf-3a234214-1539-4634-8a5c-a3dba701b31b
Mattel 164 Hot Wheels RC Cybertruck GXG30,8,2024-04-16,18.75,25.19,22.48,$23.00,$-3.22,$26.14,https://quickchart.io/chart/render/sf-61e3daef-86cc-419f-ba0c-87a75ba2524b
Mattel 2020 Holiday Barbie Doll Blonde Long Hair GNR92,7,2024-04-24,18.0,39.99,28.24,$40.00,$-15.15,$45.46,https://quickchart.io/chart/render/sf-798e3b38-fbde-44c1-9465-39240565b70b
Mattel 2021 Holiday Barbie Doll Brunette Braids GXL22,15,2024-04-25,23.99,52.99,32.65,$36.00,$-7.27,$40.91,https://quickchart.io/chart/render/sf-b3115302-3a9a-4bc5-91cc-ef9574948808
Mattel 2021 Holiday Barbie Doll Brunette Curly Hair Product GXL23,10,2024-04-14,24.99,43.19,29.91,$36.00,$-9.68,$40.91,https://quickchart.io/chart/render/sf-dee0ee4b-bb8d-4a07-8e1b-7e783ed457c9
Mattel 2021 Hot Wheels Car Culture British Horsepower FPY86A,9,2024-04-24,8.99,30.0,14.22,$54.99,$-42.48,$62.49,https://quickchart.io/chart/render/sf-cc63d1bc-c9cc-473b-9e6c-07f8c693a2bf
Mattel 2022 Barbie Dia De Muertos Doll HBY09,4,2024-04-21,44.95,110.94,64.72,$80.00,$-23.05,$90.91,https://quickchart.io/chart/render/sf-f5b5d2ea-c90f-463b-8a87-b6b2bb454dec
Mattel 2022 Dia De Muertos Benito Santos x Barbie Doll HBY01,7,2024-04-21,410.0,464.24,436.39,$100.00,$284.02,$113.63,https://quickchart.io/chart/render/sf-6dc28c28-a129-46fd-907f-f608bcfd40f4
Mattel 2022 Holiday Barbie Doll Blonde Hair HBY06,13,2024-04-26,17.42,37.0,26.6,$45.00,$-21.59,$51.14,https://quickchart.io/chart/render/sf-a2ffb7bf-bff6-4fea-8c52-90f6e889356b
Mattel 2022 Holiday Barbie Black Hair HCC05,7,2024-04-26,19.99,59.99,33.99,$45.00,$-15.09,$51.14,https://quickchart.io/chart/render/sf-5c46f781-0415-4cd9-acc9-4bf76a88fd05
Mattel 2022 Holiday Barbie DarkBrown Hair HBY07,5,2024-04-15,16.99,22.72,19.39,$45.00,$-27.94,$51.14,https://quickchart.io/chart/render/sf-937e16d5-0037-48dd-881a-e499a5f724b4
Mattel 2022 Holiday Barbie LightBrown Hair HBY08,5,2024-03-16,16.99,29.99,21.5,$45.00,$-26.08,$51.14,https://quickchart.io/chart/render/sf-15620388-441d-4a9b-b4c4-d1309b260545
Mattel 2022 Hot Wheels Car Culture Mix 2 Deutschland Design Case Pack HFF41,3,2024-04-17,24.95,61.0,39.57,$38.00,$-3.18,$43.19,https://quickchart.io/chart/render/sf-57662bd8-5b1c-43c1-8553-169aa96fafe2
Mattel 2022 Hot Wheels Car Culture Mix 3 Mountain Drifters Case Pack HFF43,3,2024-04-19,25.0,29.49,27.98,$35.00,$-10.38,$39.78,https://quickchart.io/chart/render/sf-a7cda8a9-08fd-46b8-97c4-5c686349b18a
Mattel 2022 Hot Wheels Premium Car Culture Mix 4 Exotic Envy HFF42,19,2024-04-25,14.99,35.0,23.5,$38.00,$-17.32,$43.19,https://quickchart.io/chart/render/sf-ba77f529-fe63-4ea9-bda4-216a0b2458a3
Mattel 2022 Ken Dia De Muertos Doll HBY10,14,2024-04-25,49.99,131.24,83.98,$80.00,$-6.10,$90.91,https://quickchart.io/chart/render/sf-408a8fc8-2b5f-436d-9cde-cdaa07164fdb
Mattel 2022 PREMIUM COLLECTOR SET 3 BMW M TEAM GMH39L,11,2024-04-19,32.99,68.22,41.83,$30.00,$6.81,$34.09,https://quickchart.io/chart/render/sf-8cfb085e-4492-4965-915c-de17d9c0eed4
Mattel 2022 RLC Membership 72 Nissan Skyline HT 2000 GTR HWCRLC2022,2,2024-04-09,34.99,45.0,40.0,$25.00,$10.20,$28.40,https://quickchart.io/chart/render/sf-b6c8e915-9004-48cd-bec5-727299c6f6cb
Mattel 2023 Barbie Birthday Wishes Doll HJX02,12,2024-04-25,29.99,49.99,39.82,$30.00,$5.04,$34.09,https://quickchart.io/chart/render/sf-ac51ebd0-26b3-43e8-8410-ddf97756ae31
Mattel 2023 Barbie Lunar New Year Doll HJX35,8,2024-04-09,38.75,99.88,71.08,$55.00,$7.55,$62.50,https://quickchart.io/chart/render/sf-dfa8d22f-3205-4b2f-9b16-cdc13f0121d4
Mattel 2023 Barbie Lunar New Year Doll Designed by Guo Pei HJX03,13,2024-04-15,79.99,139.99,94.68,$80.00,$3.32,$90.90,https://quickchart.io/chart/render/sf-8f341637-5e2c-4d3f-8a14-631e35ed6a86
Mattel 2023 Dia De Muertos Barbie Doll HJX14,13,2024-04-25,104.42,424.99,234.25,$75.00,$131.14,$85.22,https://quickchart.io/chart/render/sf-04245438-a366-430b-b2c8-b1b9f5a1ebb6
Mattel 2023 Dia De Muertos Barbie x Pink Magnolia Doll HJX16,14,2024-04-25,215.5,250.0,239.41,$100.00,$110.68,$113.63,https://quickchart.io/chart/render/sf-2e8619ec-dff2-4c80-bc12-45d25e4bf827
Mattel 2023 Dia De Muertos Ken Doll HJX15,17,2024-04-25,46.79,190.0,80.44,$75.00,$-4.21,$85.23,https://quickchart.io/chart/render/sf-bd6aa64d-4ca3-4461-b358-3b5c4a0321fd
Mattel 2023 Holiday Barbie Doll HJX09,19,2024-04-26,29.99,61.74,40.86,$45.00,$-9.04,$51.14,https://quickchart.io/chart/render/sf-ff7eee83-9b41-4ded-9dba-3ed8c64e0510
Mattel 2023 Holiday Barbie Doll HJX11,20,2024-04-26,33.99,95.0,51.3,$45.00,$0.14,$51.13,https://quickchart.io/chart/render/sf-a2ee9c9c-aef8-4036-976d-21bcb0408197
Mattel 2023 Holiday Barbie Doll HJX08,21,2024-04-26,29.99,79.97,41.95,$45.00,$-8.08,$51.14,https://quickchart.io/chart/render/sf-30c7c247-90a5-4c02-bf90-bc4ebc3c5ba8
Mattel 2023 Holiday Barbie Doll HJX10,18,2024-04-26,33.0,95.0,48.67,$45.00,$-2.17,$51.14,https://quickchart.io/chart/render/sf-8e07ded7-3074-4070-9fb5-9ae9ebc868a9
Mattel 2023 RLC Membership 93 Ford Cobra R HWRLC2023,13,2024-04-25,31.0,60.0,40.36,$25.00,$10.52,$28.40,https://quickchart.io/chart/render/sf-7149eba5-ad0e-4c6b-a01c-5b8ee6c8714e
Mattel 2023 RLC Membership 93 Ford Cobra R HNL15,12,2024-04-25,31.0,60.0,40.69,$25.00,$10.81,$28.40,https://quickchart.io/chart/render/sf-5fd631a4-3f98-4577-9165-dac10ba19c45
Mattel 2024 Barbie Lunar New Year Doll HRM57,16,2024-04-19,49.99,108.94,69.96,$55.00,$6.56,$62.50,https://quickchart.io/chart/render/sf-92962d8b-3a2c-4b2a-ace7-7df144eb74a1
Mattel 55 Chevy Panel HRX25,9,2024-04-20,45.0,225.1,72.51,$10.00,$53.81,$11.36,https://quickchart.io/chart/render/sf-e1067799-01a3-4769-bc58-bce736925d1f
Mattel 60th Anniversary Allan Vintage Reproduction Doll HRM87,19,2024-04-19,80.0,143.29,98.28,$55.00,$31.49,$62.50,https://quickchart.io/chart/render/sf-01f0b98e-54d5-4c07-9c72-c59342e4f3ff
Mattel 60th Anniversary Midge Vintage Reproduction Doll HJX25,14,2024-04-13,85.0,164.69,111.0,$55.00,$42.68,$62.50,https://quickchart.io/chart/render/sf-d3b92e62-2851-4097-8750-90e4e3929e1d
Mattel 60th Anniversary Skipper Doll HRM86,12,2024-04-23,89.99,135.0,106.41,$55.00,$38.64,$62.50,https://quickchart.io/chart/render/sf-c39ba010-71a5-434f-a0b3-75f1c83941df
Mattel 69 Chevelle SS 396 HWW87,7,2024-04-12,19.49,59.1,47.8,$99.99,$-57.93,$113.63,https://quickchart.io/chart/render/sf-9539fac6-83e6-45c1-b92f-18816014615c
Mattel 70 Dodge Power Wagon HWW90,6,2024-04-26,48.0,65.0,55.4,$20.00,$28.75,$22.72,https://quickchart.io/chart/render/sf-7430b871-6f68-42e6-9d74-78caba611e50
Mattel BarbieStyle Barbie and Ken Doll 2Pack HJW88,11,2024-04-23,85.0,247.57,143.13,$110.00,$15.95,$124.99,https://quickchart.io/chart/render/sf-3b22083e-e1ac-42bc-a321-b4fa0c463ca4
Mattel Alex and Ani Barbie Duo Charm Bangle GXG18,4,2024-04-10,28.0,40.0,35.75,$43.00,$-11.54,$48.87,https://quickchart.io/chart/render/sf-0e672fdc-be39-464f-ab79-d47f18e6deda
Mattel Alex and Ani Barbie Trio Charm Bangle GXG20,1,2024-02-22,35.0,35.0,35.0,$49.00,$-18.20,$55.69,https://quickchart.io/chart/render/sf-c9c120ae-e8ee-4663-8b3b-75726feca560
Mattel Annabelle Monster High Skullector Doll HND85,16,2024-04-25,92.95,155.76,107.03,$65.00,$29.19,$73.86,https://quickchart.io/chart/render/sf-a2070e75-935a-42ec-99b9-fefd74400653
Mattel BAPE Hot Wheels 1955 MercedesBenz 300 SL HJP38,10,2024-04-23,115.99,149.99,129.38,$50.00,$63.85,$56.81,https://quickchart.io/chart/render/sf-ed495267-6751-4f18-a05c-1636fc2128bf
Mattel Barbie 12 Days of Christmas Doll and Accessories HBY18,14,2024-04-22,209.99,475.0,279.57,$160.00,$86.02,$181.81,https://quickchart.io/chart/render/sf-24ac9301-b6b0-4a5a-bb1e-ff6f44904235
Mattel Barbie 12 Days of Spring Doll and Accessories HRM27,13,2024-04-08,209.99,299.98,251.53,$160.00,$61.35,$181.81,https://quickchart.io/chart/render/sf-e9eb29b6-9632-4d92-b229-bb9c5f1873e4
Mattel Barbie 1973 Doctor Doll GTJ94,12,2024-04-23,45.0,150.0,78.7,$50.00,$19.26,$56.81,https://quickchart.io/chart/render/sf-bda76c1a-4668-48a0-805f-7d8b54874f6f
Mattel Barbie 2021 Dia De Muertos Doll GXL27,11,2024-04-21,52.99,150.0,94.7,$75.00,$8.34,$85.22,https://quickchart.io/chart/render/sf-a6f38c65-13b3-4a74-be7f-fb7d41e691b2
Mattel Barbie 2021 Dia De Muertos Ken Doll GXL26,13,2024-04-25,64.95,131.24,84.87,$75.00,$-0.31,$85.23,https://quickchart.io/chart/render/sf-1429a5f4-28e4-40a8-b8fd-e8924fda4efa
Mattel Barbie 35th Anniversary Teresa Doll HJX32,14,2024-04-25,37.99,100.0,57.12,$55.00,$-4.73,$62.51,https://quickchart.io/chart/render/sf-31705853-8484-42eb-b063-f5fbb2600b9f
Mattel Barbie 65th Anniversary Doll With Blonde Hair HRM58,10,2024-04-22,56.0,103.99,68.48,$60.00,$0.26,$68.18,https://quickchart.io/chart/render/sf-b5840152-c3aa-4f02-a642-08d721594d91
Mattel Barbie 65th Anniversary Doll With Brunette Hair HRM59,8,2024-04-06,36.95,115.0,70.1,$60.00,$1.69,$68.18,https://quickchart.io/chart/render/sf-c7a9ee95-b230-4f91-b19e-04bca90ae386
