searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Transformation Mask Japanese Booster Box,55,15.14,475.0,130.2,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ebcc833e-31e9-40e1-add9-77a41ee523ac
Crimson Haze Japanese Booster Box,38,50.33,139.59,64.34,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-90a4945b-494a-40ea-bacb-e93f297f2d01
Wild Force Japanese Booster Box,23,52.99,133.23,84.59,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5ffff41c-b343-4406-861c-c911ba4ec3e3
Cyber Judge Japanese Booster Box,23,60.0,133.23,90.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-db9f2a2e-85b0-4950-8e4b-952b7edd10ef
Shiny Treasure ex Japanese Booster Box,26,40.24,219.8,62.3,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4350445d-c41d-44fb-988f-9b018d88de10
Future Flash Japanese Booster Box,37,31.0,162.5,58.49,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7e4937e2-2a5a-4cf1-98df-43e81908b37f
Ancient Roar Japanese Booster Box,49,26.0,139.98,51.23,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2dd3618b-557e-4861-ae78-f11dd9cd50cf
Raging Surf Japanese Booster Box,29,40.99,153.49,64.68,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f978e120-b972-4d07-bfa7-cbbafd2f21a0
Ruler of the Black Flame Japanese Booster Box,14,49.0,117.99,65.15,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bb692802-bc84-445b-831d-370e14d38e9a
Pokemon 151 Japanese Booster Box,39,105.0,378.98,176.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c6ce02f1-7aa5-468e-a327-435da6b5c99a
Clay Burst Japanese Booster Box,22,89.97,232.5,115.35,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-82dd24ec-179e-4246-9e1e-8a275f7c9090
Snow Hazard Japanese Booster Box,15,67.0,276.38,118.72,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-144b4d58-03fa-441f-a22c-338a36500f47
Triplet Beat Japanese Booster Box,25,49.34,95.99,69.57,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1edcbc33-453d-4db8-83cc-b3486033d203
Violet ex Japanese Booster Box,9,59.99,218.99,97.05,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-196ade0f-b260-47e4-8e38-f68e0890f1a8
Scarlet ex Japanese Booster Box,12,49.0,218.99,79.39,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6cf52c5f-3be3-49e8-a98c-70dfc7a323d4
VSTAR Universe Japanese Booster Box,18,73.99,99.23,78.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-132574d3-c698-49cf-a575-8535c09260e0
Paradigm Trigger Japanese Booster Box,37,74.0,183.41,102.14,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7323d235-0cb6-4be4-942a-9fbcfc71d31a
Incandescent Arcana Japanese Booster Box,10,100.49,203.07,142.71,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f900d3f1-8fa0-430f-8eab-d00042e9763f
Lost Abyss Japanese Booster Box,14,159.99,359.88,193.41,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fc7c9e0a-934c-49fe-910f-1195ade02c20
Pokemon GO Japanese Booster Box,17,52.5,99.99,67.11,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-264c50a2-c229-4708-bb1c-f1a86f7a3b55
Dark Phantasma Japanese Booster Box,28,60.0,116.96,76.39,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-82081ccb-a9de-4617-8462-378d86cb8685
Time Gazer Japanese Booster Box,8,74.99,240.0,126.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fbbe8ee1-cd45-4f81-8f98-84def1af18e4
Space Juggler Japanese Booster Box,11,80.0,240.0,120.35,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8aa27f18-d82e-4ab0-a570-7fe237039666
Battle Region Japanese Booster Box,15,65.99,199.97,91.96,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d3a6590a-e80f-47a5-ba23-5b144562b5fc
Star Birth Japanese Booster Box,11,94.22,134.39,103.41,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-243a0305-43e0-419c-9b89-2c4f307922e1
VMAX Climax Japanese Booster Box,21,119.99,230.0,137.35,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-326e7843-b97c-4bd3-a53a-aea29f9c9694
25th Anniversary Collection Japanese Booster Box,27,94.99,316.96,133.13,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-53484f6a-c995-43ff-8f54-a22d767b54c3
Fusion Arts Japanese Booster Box,14,111.99,200.0,140.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-97bc329e-4be7-4a03-b3d7-ed18ec3a8449
Blue Sky Stream Japanese Booster Box,26,350.0,525.0,424.18,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f722912b-172b-438e-a09c-62b6c8a67eae
Skyscraping Perfection Japanese Booster Box,55,3.99,2199.95,125.13,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3f8f8238-cd96-43bc-8564-9ea6d297eb03
Eevee Heroes Japanese Booster Box,29,425.0,649.24,476.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-becf524e-28ac-4047-8bbd-493f31ecb5f4
Jet Black Spirit Japanese Booster Box,14,57.79,235.95,125.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c0bdc235-24e6-48d1-96ce-d804556d08ed
Silver Lance Japanese Booster Box,8,85.0,235.95,131.01,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bee1fde9-12ae-4130-aad8-0426f9636801
Peerless Fighters Japanese Booster Box,9,149.99,199.99,178.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-367ef258-b57c-4e6d-a4e6-5343e1175454
Rapid Strike Master Japanese Booster Box,25,92.1,301.5,158.73,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-23155e96-bf71-4790-bf6f-45ab378ae4fc
Single Strike Master Japanese Booster Box,14,67.05,250.0,147.72,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-72d9d9df-6f32-47a9-bd93-0289ae0737f4
Shiny Star V Japanese Booster Box,37,79.95,219.66,117.15,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d2831766-5b29-4493-83d9-d6775466e720
Amazing Volt Tackle Japanese Booster Box,17,80.4,142.97,103.46,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-27877142-1190-4ea7-8139-f6acb525768b
Legendary Heartbeat Japanese Booster Box,16,110.0,142.84,124.58,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f6487481-cb71-403c-9ce3-d3036ba3217a
Infinity Zone Japanese Booster Box,7,131.89,240.0,180.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-dec53a43-3b64-4122-ad32-3bbc59676868
Explosive Walker Japanese Booster Box,6,39.0,149.95,89.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5c5da571-c57e-4a82-a9f9-6fcffc0e0000
Rebellion Crash Japanese Booster Box,56,5.99,2199.95,176.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-26adc8f4-40b7-4762-b27f-9d1a30b348be
VMAX Rising Japanese Booster Box,44,113.5,225.82,136.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d980bf89-cc71-4c46-be35-714e23d721c4
Sword Japanese Booster Box,4,189.99,500.0,403.7,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-333e74eb-f70d-45da-bece-64a153338b07
Shield Japanese Booster Box,5,175.0,502.5,420.46,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e907d317-2972-455c-b5f6-3bb7c17e94b5
