searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
2021 PANINI NFL DONRUSS OPTIC FOOTBALL TRADING CARD MEGA BOX,34,77.0,250.0,103.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f1a8b5ce-dd01-4de7-96a9-e28b039b40ce
2022 PANINI FIFA WORLD CUP PRIZM SOCCER BLASTER BOX,50,20.5,235.0,45.97,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-89afe5e2-9881-4f9e-80ae-d211a6c5d28b
2022 PANINI NFL SELECT FOOTBALL TRADING CARD MEGA BOX,7,56.99,87.99,74.84,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7081dfc5-646b-4222-a2af-c08e0818425e
2023 PANINI NFL ABSOLUTE FOOTBALL TRADING CARD MEGA BOX,10,82.0,359.99,178.89,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5d461fab-72a0-405c-ab17-0dee76e21158
2023 PANINI NFL DONRUSS FOOTBALL TRADING CARD MEGA BOX,32,139.0,450.0,245.39,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-50a5760a-a5e5-40fb-bbe4-feef811d8c9a
2023 PANINI NFL PRIZM FOOTBALL MEGA BOX,30,73.67,435.0,143.62,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-33179e66-e0c4-4d14-8291-66a19076d9a1
2023 PANINI NFL ROOKIES AND STARS FOOTBALL TRADING CARD MEGA BOX,22,164.99,400.0,256.63,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-92f05dae-f8a4-4035-9ad0-cc885890d580
2023-24 PANINI NBA PRIZM BASKETBALL TRADING CARD MEGA BOX,32,73.0,240.0,102.69,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e4ec515a-9247-4e0a-8b34-b988a1ae189e
2023-24 UPPER DECK NHL SERIES 2 HOCKEY MEGA BOX,53,56.0,199.98,80.14,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7bf667df-ee76-421b-a972-d5af7978d1ef
2023-24 UPPER DECK SERIES 2 HOCKEY TIN,41,79.09,264.97,113.43,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4363a33a-5141-47b1-b1c9-5b3390676d24
2024 PANINI PRIZM FOOTBALL HANGER BOX,14,51.0,144.99,101.17,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-db5e1928-35cb-4c30-a8d4-77d9008134c7
BAKUGAN EVOLUTIONS PRISMA DRAGONOID,7,99.99,159.0,125.56,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7bc6b4fe-4802-4268-b37f-536905a7e6f8
BARBIE 12 DAYS OF CHRISTMAS DOLL,30,175.0,450.0,241.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-693e2205-f007-4506-834c-d7be2a6c7506
BARBIE COLLECTIBLE DOLL MARGOT ROBBIE AS BARBIE IN PINK GINGHAM OUTFIT,21,55.0,84.99,67.68,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-75a4dbbc-9cb1-4279-a601-5e0bba150c36
BARBIE COLLECTIBLE DOLL MARGOT ROBBIE AS BARBIE IN PINK WESTERN OUTFIT,46,59.99,133.31,70.21,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fe0aecc2-78ef-4576-889a-6ce846ced3f6
BARBIE DOLL KEN DOLL WEARING BLACK AND WHITE WESTERN OUTFITT,17,40.0,68.0,50.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bc4b1159-60d9-497b-a482-029357695bbf
BARBIE DOLL MARGOT ROBBIE AS BARBIE IN PINK POWER JUMPSUIT,30,19.97,44.8,27.24,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1a688c0f-792d-4000-85f2-b057eb50c7a7
BARBIE DOLL MARGOT ROBBIE AS BARBIE WEARING BLUE PLAID SET,12,45.99,102.97,58.95,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-439a376a-dd41-44d0-95f2-a7661893035a
BARBIE DOLL STEVIE NICKS MUSIC COLLECTOR,22,184.95,299.24,212.48,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e51a50b1-fc54-4ad5-bf55-d6e1d263f04d
BARBIE MARIAH CAREY HOLIDAY,46,39.95,114.99,60.92,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-509cc90c-a866-480f-a961-a6a083f9e76f
BARBIE QUEEN OF SALSA CELIA CRUZ COLLECTOR DOLL,7,30.0,38.0,34.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-af6cae89-9b16-4cf6-9bde-4c39059785d8
BARBIE SIGNATURE MARIA FELIX COLLECTOR DOLL,19,44.95,74.95,58.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1ef1fb8d-4b05-44f7-8e7c-7c3ff13f1729
BARBIE SKIPPERS FIRST JOB TARGET DOLL,7,13.99,33.75,26.01,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-88b6b7a9-4759-41c5-91bd-50dc11b9ce51
BARBIE THE MOVIE FASHION PACK WITH THREE ICONIC FILM OUTFITS,8,73.49,109.99,95.42,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6504daa5-92b4-4ef7-81cb-de65a6a4065d
BLOX FRUITS 8 DELUXE MYSTERY PLUSH,36,32.0,64.0,41.8,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-89dc4279-b740-4610-a80d-f4a523a2e793
BORED APE NFTY FIGS SERIES 1,19,39.89,100.0,71.7,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cea8a81b-e69c-4ff7-985d-6d74854313ed
CARE BEARS HELLO KITTY CHEER BEAR 9 FUN SIZE PLUSH,25,26.99,80.0,43.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f6768b68-816a-4b30-b4eb-135138aa5736
CERAMIC TARGET CHRISTMAS TREE ORNAMENT SET 6 PC RED WHITE,20,13.99,42.99,23.84,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7db9cb56-d39a-4a4b-9aff-a9430f43f68e
DIA DE MUERTOS WOOD OFRENDA BOX,15,34.95,52.94,43.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2b7a3776-51f3-4d17-9349-3535ec5476fa
DRAG QUEEN BIRD DECORATIVE FIGURINE - PRIDE,13,145.0,199.99,178.29,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c8f18dee-da18-459b-bb01-818133ce6568
DRAGON BALL SUPER SON GOKU KAIO KEN ACTION FIGURE,20,59.99,124.78,89.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7b2deb29-0989-4e0c-8c15-2b5d2919b9ac
FEATHERLY FRIENDS FABRIC BIRD CHRISTMAS NATIVITY SET - WONDERSHOP,21,23.0,52.95,33.88,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-dc4c0886-d070-4e35-80e3-86d6d0d1ea1f
FEATHERLY FRIENDS GINGERBREAD FABRIC BIRD CHRISTMAS FIGURINE SET - WONDERSHOP,21,23.0,52.95,34.53,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9deefeae-8da2-4085-9e99-b00bd128fc58
FUNKO POP AD ICONS - BULLSEYE DRESSED AS JOHN HAMMOND,13,18.0,29.99,21.55,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a6ec13f3-c51a-4a6a-941e-f925ac2b539e
FUNKO POP AD ICONS BULLSEY AS SPIDEY,8,21.25,29.99,26.8,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bc72d560-a94d-429b-951c-d853427bd7c1
FUNKO POP STRANGER THINGS - EDDIE,29,25.0,177.5,119.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-88fb573b-0d60-4d79-afbe-27d71a32bc09
FUNKO POP STRANGER THINGS - PIZZA VAN,10,34.99,80.0,48.42,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cba77590-1c79-456f-9dcf-e16312e0bdcf
HOT WHEELS RC BARBIE CORVETTE,46,32.0,90.0,52.6,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d0b99c43-f665-4b86-b823-f0335e99bae3
HUY FONG SRIRACHA CHILI SAUCE - 17 OZ,16,9.5,32.0,18.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7fbc357d-ce9d-4c1a-954c-72601ca3af32
HUY FONG SRIRACHA CHILI SAUCE - 28 OZ,35,16.99,44.99,24.03,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f8d569a5-c641-49b8-8681-c1eff7b72e23
HYDE BOOTIFUL FEATHERLY FRIENDS BUTTERFLY PRINCESS FIGURINE,2,21.99,23.99,22.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cbff172c-9dbe-4096-b58e-527c4f3d5cf4
HYDE BOOTIFUL FEATHERLY FRIENDS TUXEDO BIRD FIGUERINE,4,14.0,23.99,18.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c69a8cfd-7bfb-47ae-8948-bb4850ceeeed
HYDE FALLOWEEN FEATHERLY FRIENDS GHOST BIRD FIGURINE,8,19.0,30.0,23.71,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-50098575-c672-4a0a-89bc-318825a41b0b
