searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Bee and PuppyCat 2xLP,15,2024-04-04,13.0,99.0,28.63,$42.99,$-17.80,$48.86,https://quickchart.io/chart/render/sf-42a5e079-f147-4f53-a39c-419c98a508ed
Nimona Vinyl Soundtrack,18,2024-04-04,24.51,86.0,44.63,$32.99,$6.28,$37.48,https://quickchart.io/chart/render/sf-e1b8daaf-66fe-47c7-a246-a079158adf37
Persona 3 Reload 4xLP,19,2024-03-17,49.98,189.99,81.24,$100.00,$-28.51,$113.64,https://quickchart.io/chart/render/sf-6cbf7154-904b-482b-8cc9-e1ec24db1c60
Outer Wilds 2xLP Vinyl Soundtrack,18,2024-04-03,63.95,95.0,72.44,$42.99,$20.76,$48.85,https://quickchart.io/chart/render/sf-06b124d4-7cc5-4db1-b7ca-c69fda0d4554
Five Nights at Freddy’s Vinyl Soundtrack,6,2024-03-31,37.73,100.0,63.02,$31.99,$23.47,$36.35,https://quickchart.io/chart/render/sf-d6c5f1bc-e7f1-4cb6-aafe-e9e808ac0c14
Persona 3 Portable Vinyl Soundtrack,12,2024-04-04,140.0,244.88,186.12,$31.99,$131.80,$36.35,https://quickchart.io/chart/render/sf-f475816b-ed9b-4f4d-bef3-436254337936
Persona 4 Golden Vinyl Soundtrack,19,2024-03-31,175.0,235.0,194.49,$31.99,$139.16,$36.35,https://quickchart.io/chart/render/sf-0d848f4b-9102-4bc3-8860-1be369fe014c
Ms. Chalice - Orochi Limited Edition Woodblock Print (Cuphead),0,nan,nan,nan,nan,nan,nan,nan,nan
Annapurna Interactive Deluxe Limited Edition Collection (Nintendo Switch),0,nan,nan,nan,nan,nan,nan,nan,nan
Gone Home Vinyl Soundtrack (10th Anniversary Edition),0,nan,nan,nan,nan,nan,nan,nan,nan
League of Legends Worlds Anthems Vol 1: 2014-2023 1xLP,0,nan,nan,nan,nan,nan,nan,nan,nan
Neon White Soundtrack Part 1 “The Wicked Heart” 2xLP,0,nan,nan,nan,nan,nan,nan,nan,nan
Neon White Soundtrack Part 2 “The Burn That Cures” 2xLP,0,nan,nan,nan,nan,nan,nan,nan,nan
A Little To The Left Vinyl Soundtrack,3,2024-03-20,29.99,85.0,52.86,$31.99,$14.53,$36.35,https://quickchart.io/chart/render/sf-b7aba515-a6d3-4d02-b6bb-193402a9b312
