searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
ACER CB242Y 23.8 FULL HD MONITOR,17,2024-04-18,59.99,190.76,89.8,$70.00,$9.02,$79.54,https://quickchart.io/chart/render/sf-033737d0-8188-4e19-9d84-22ea4a2f241d
ALIENWARE 27 INCH 240HZ GAMING MONITOR AW2721D,7,2024-03-17,271.99,599.99,393.13,$750.00,$-404.05,$852.28,https://quickchart.io/chart/render/sf-09242540-8267-481f-b66a-13e8a5fcf3df
AMIIBO SORA KINGDOM HEARTS - SUPER SMASH BROS SERIES,25,2024-04-22,19.99,50.0,25.45,$40.00,$-17.60,$45.46,https://quickchart.io/chart/render/sf-7c37f982-8625-415f-972a-582d75be5a49
APPLE MACBOOK PRO 2022 - 512 GB SILVER,9,2024-04-20,890.1,1479.95,1052.24,$1200.00,$-274.03,$1363.64,https://quickchart.io/chart/render/sf-47a17fdb-69ee-40ed-9a64-f6c0b51285f5
APPLE MACBOOK PRO 2022 - 512 GB SPACE GRAY,9,2024-04-23,890.1,1399.99,995.37,$1200.00,$-324.07,$1363.64,https://quickchart.io/chart/render/sf-b4dd8ae9-2905-4f8d-b6cd-f6bfdb81256f
ASROCK H110 PRO MINING MOTHERBOARD,18,2024-04-21,44.99,125.0,79.63,$225.00,$-154.93,$255.69,https://quickchart.io/chart/render/sf-d0dc0edf-acd7-452d-81e2-582de63a037b
ASUS B250 LGA1151 MINING MOTHERBOARD,17,2024-04-12,72.85,187.0,107.04,$225.00,$-130.80,$255.69,https://quickchart.io/chart/render/sf-697e8a91-7d0f-4b4f-aee4-07eb859d2270
ASUS GEFORCE RTX 3080 STRIX EVA,16,2024-04-17,475.0,1225.0,625.97,$850.00,$-299.15,$965.91,https://quickchart.io/chart/render/sf-137ed665-27f8-425e-b504-bc53c077e5dd
ASUS GEFORCE RTX 3080 STRIX OC,17,2024-04-21,449.99,999.95,573.49,$1200.00,$-695.33,$1363.64,https://quickchart.io/chart/render/sf-b089f1da-e033-4a28-b780-56bbb958f256
ASUS GEFORCE RTX 3080 STRIX OC WHITE V2,10,2024-04-17,479.99,899.99,609.55,$1100.00,$-563.60,$1250.01,https://quickchart.io/chart/render/sf-ea9c50dd-be9d-45d9-b7ea-4f6b074d14db
ASUS GEFORCE RTX 3090 STRIX OC,20,2024-04-23,789.0,1099.99,875.35,$1300.00,$-529.69,$1477.28,https://quickchart.io/chart/render/sf-681eed1f-5578-438b-9650-6defda60de3d
ASUS GEFORCE RTX 3090 STRIX OC EVA,20,2024-04-23,720.0,1289.0,848.62,$1350.00,$-603.21,$1534.10,https://quickchart.io/chart/render/sf-2782ad9f-9db5-4481-a1a8-ae20a07b1b3d
ASUS GEFORCE RTX 3090 STRIX OC LC,15,2024-04-23,729.99,1311.47,935.83,$1500.00,$-676.47,$1704.55,https://quickchart.io/chart/render/sf-0d234844-ab6f-4af7-bbbf-66195ed4ee09
ASUS GEFORCE RTX 3090 STRIX WHITE OC,18,2024-04-21,815.0,1100.0,921.46,$1300.00,$-489.12,$1477.28,https://quickchart.io/chart/render/sf-cfa4627d-84e3-4807-9532-3494bcc5924a
ASUS GEFORCE RTX 4080 SUPER PROART OC,9,2024-04-21,1232.39,2500.0,1503.34,$1500.00,$-177.06,$1704.55,https://quickchart.io/chart/render/sf-ccb14d1a-0f7f-4aa8-9782-8e07c7b3f816
ASUS GEFORCE RTX 4080 SUPER STRIX,9,2024-04-04,1375.0,2309.23,1622.03,$1500.00,$-72.61,$1704.55,https://quickchart.io/chart/render/sf-3044aeb1-8ed3-4d48-a3d5-8f5a51542cc5
ASUS GEFORCE RTX 4080 SUPER STRIX OC,15,2024-04-16,1050.0,1649.0,1379.47,$1500.00,$-286.07,$1704.55,https://quickchart.io/chart/render/sf-5d47b8b9-283d-4079-9576-6b6f07de7613
ASUS GEFORCE RTX 4080 SUPER STRIX WHITE OC,10,2024-04-19,1050.0,1649.0,1471.13,$1500.00,$-205.41,$1704.55,https://quickchart.io/chart/render/sf-a0a8007e-fa59-44b3-97d3-25ee81f5c7bd
ASUS GEFORCE RTX 4080 SUPER TUF,14,2024-03-29,1129.99,1399.99,1293.18,$1500.00,$-362.00,$1704.55,https://quickchart.io/chart/render/sf-f6e96e13-23c6-4c17-8ad0-bc3609e2713b
ASUS GEFORCE RTX 4080 SUPER TUF OC,10,2024-04-10,1074.45,1399.99,1262.04,$1500.00,$-389.40,$1704.55,https://quickchart.io/chart/render/sf-47a0968d-495c-48ce-9334-3d52be87f29c
ASUS GEFORCE RTX 4090 EVA V2,9,2024-04-16,3300.0,4199.99,3790.06,$3000.00,$335.25,$3409.09,https://quickchart.io/chart/render/sf-d35dc0fd-a37c-49d6-99f2-6f62b6fc8ba0
ASUS GEFORCE RTX 4090 MATRIX PLATINUM,10,2024-03-30,3999.95,5096.53,4354.43,$3500.00,$331.90,$3977.27,https://quickchart.io/chart/render/sf-c9e341ed-8f01-4eeb-b400-d28452e88794
ASUS GEFORCE RTX 4090 STRIX,24,2024-04-22,1650.0,4050.0,2453.37,$2200.00,$-41.03,$2500.00,https://quickchart.io/chart/render/sf-9b609b24-895f-4ce8-b902-eac73e57798a
ASUS GEFORCE RTX 4090 STRIX LC,19,2024-04-21,1600.0,3800.0,2089.22,$2200.00,$-361.49,$2500.00,https://quickchart.io/chart/render/sf-b8a83ea5-59b3-4064-8aa7-397330288ac1
ASUS GEFORCE RTX 4090 STRIX LC OC,20,2024-04-22,1651.0,3800.0,2070.97,$2200.00,$-377.55,$2500.00,https://quickchart.io/chart/render/sf-bb1468d8-76bd-4edf-886c-815cad1bb47f
ASUS GEFORCE RTX 4090 STRIX OC,22,2024-04-22,1700.0,4050.0,2488.5,$2200.00,$-10.12,$2500.00,https://quickchart.io/chart/render/sf-a1a3d3fc-ee8f-4d19-845b-8bdcde939953
ASUS GEFORCE RTX 4090 STRIX WHITE,22,2024-04-22,1790.0,3949.49,2230.47,$2200.00,$-237.19,$2500.00,https://quickchart.io/chart/render/sf-63a3c8e6-6d7b-4162-9a82-50cd9d2095c8
ASUS GEFORCE RTX 4090 STRIX WHITE OC,21,2024-04-22,1899.0,3949.49,2302.05,$2200.00,$-174.20,$2500.00,https://quickchart.io/chart/render/sf-51cdefdc-5549-4cae-932e-a02c5e06700a
ASUS GEFORCE RTX 4090 TUF,22,2024-04-23,950.0,2088.0,1654.58,$2200.00,$-743.97,$2500.00,https://quickchart.io/chart/render/sf-d58286ac-d15b-4ed8-aa4d-89783cd16166
