searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Pokemon Center Sword Shield-Fusion Strike Booster Display Box,24,2024-08-05,199.0,269.99,230.07,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f0cee121-8138-4016-9911-012a1273b21a
Pokemon Center Sword Shield-Evolving Skies Booster Display Box,25,2024-08-07,500.0,710.12,638.46,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2ccfdd02-859b-4558-adc3-9b870f285335
Pokemon Center Sword Shield-Brilliant Stars Booster Display Box,20,2024-08-07,119.99,202.5,167.64,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6ca35d46-d376-4ba4-824d-8bd7cbed278f
Pokemon Center Sword Shield-Lost Origin Booster Display Box,18,2024-08-07,152.0,215.0,191.04,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-90a0f0f3-ad5c-44b4-ac65-0d55398a3a7d
Pokemon Center Sword Shield-Rebel Clash Booster Display Box,20,2024-08-01,126.18,324.99,197.48,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6ebec858-60fc-4037-9560-01e40d7894a4
Pokemon Center Sword Shield Booster Display Box,14,2024-08-07,151.0,690.17,428.28,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2249acd5-5e94-4a70-8bdd-140501d9aa49
Pokemon Center Sword Shield-Vivid Voltage Booster Display Box,9,2024-08-07,118.0,313.2,183.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-44840c61-9252-4673-9229-49f235400685
Pokemon Center Sword Shield-Astral Radiance Booster Display Box,14,2024-08-07,115.0,180.0,156.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-eac36e2f-30e7-4eb8-a372-d2120cb7cbd7
Pokemon Center Sword Shield-Chilling Reign Booster Display Box,20,2024-08-06,189.99,228.0,207.77,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9e570e95-2c49-4281-909a-2a82608fa96d
Pokemon Center Scarlet Violet Booster Display Box,13,2024-08-08,89.98,460.0,164.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-aa21069a-5164-487d-9196-9d95011aad27
Pokemon Center Sword Shield-Battle Styles Booster Display Box,24,2024-08-07,99.99,148.88,120.38,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-22ce530c-8096-4993-81b5-a4a03ed5f7aa
Pokemon Center Sword Shield-Darkness Ablaze Booster Display Box,14,2024-08-01,120.5,159.99,139.34,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-351cd34c-8691-4d80-b077-00b8128480ca
Pokemon Center Scarlet Violet-Paldea Evolved Booster Display Box,18,2024-08-06,108.99,649.99,160.78,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7127f468-e761-407d-9574-bbcc4fad7d63
