searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Crimson Haze Japanese Booster Box,21,2024-05-03,48.99,147.33,65.69,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-eb584022-325c-48f1-9cbf-72d05ca5bc92
Wild Force Japanese Booster Box,26,2024-05-03,34.99,162.3,63.68,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fa541209-dfa9-456d-beab-6e59067467fb
Cyber Judge Japanese Booster Box,18,2024-05-03,60.0,162.3,91.92,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c2a83071-26f7-4a61-af76-275ec391fc3e
Shiny Treasure ex Japanese Booster Box,28,2024-05-03,32.0,98.0,44.44,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-12fbc62d-d4f8-4950-822c-783a0019c750
Future Flash Japanese Booster Box,19,2024-05-03,44.89,177.5,79.78,N/A,N/A,N/A,https://quickchart.io/chart/render/zf-02c818e6-a49b-43b8-a55c-db7d6880bb96
Ancient Roar Japanese Booster Box,19,2024-05-03,39.99,79.99,52.75,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6b89e4e4-c1dd-4a3f-a5a1-96021a667226
Raging Surf Japanese Booster Box,27,2024-04-30,44.0,153.49,65.73,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-732a6c4b-b7d3-4e8b-97e8-60489b820d45
Ruler of the Black Flame Japanese Booster Box,25,2024-05-02,48.0,99.0,58.69,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9d3d1ea2-ebbb-4758-9d14-eb590c34903a
Pokemon 151 Japanese Booster Box,26,2024-05-03,84.98,550.0,152.37,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3867edbd-1734-45b6-b0ab-d21296580b3e
VSTAR Universe Japanese Booster Box,29,2024-05-03,59.99,149.83,91.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3e14f754-a5fd-474f-b1c2-be1927700e1b
VMAX Climax Japanese Booster Box,25,2024-05-01,112.36,204.25,129.79,N/A,N/A,N/A,https://quickchart.io/chart/render/zf-30553fe5-3f0d-45a8-ae9e-a7d54d12876e
Eevee Heroes Japanese Booster Box,27,2024-04-30,410.0,800.0,481.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2895f8fc-2787-4e43-a558-87113de0d24f
Shiny Star V Japanese Booster Box,22,2024-05-02,90.0,149.99,110.48,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3bfd6458-d896-42ca-9875-7f3370939a8b
Sword Japanese Booster Box,22,2024-05-02,72.99,218.84,114.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4da767b9-8ce7-4cec-984b-e1a8058b965b
Shield Japanese Booster Box,22,2024-05-02,72.99,218.84,114.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-72b131b8-a4d4-4113-b2b7-791a1898e641
