searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
1-Year Monster High Collectors Fang Club Membership HWV35,1,2024-04-14,93.0,93.0,93.0,$9.99,$71.85,$11.35,https://quickchart.io/chart/render/sf-a2894d4b-3f70-4235-a22a-4b3d175e9a49
18 Dodge Challenger SRT Demon HWW83,27,2024-04-21,69.0,99.99,85.4,$99.99,$-24.84,$113.63,https://quickchart.io/chart/render/sf-0d65744d-1f22-4007-a3ee-1aaf73307ce9
1988 Jeep Wagoneer HWW85,16,2024-04-22,30.0,155.0,72.51,$99.99,$-36.18,$113.63,https://quickchart.io/chart/render/sf-b47f59c1-79a1-4172-b5df-57678059921a
1:64 Hot Wheels R/C Cybertruck GXG30,19,2024-04-19,16.5,25.19,20.56,$23.00,$-4.91,$26.14,https://quickchart.io/chart/render/sf-58bf513c-3cc9-42ea-96d3-15cbba468df8
"2020 Holiday Barbie Doll, Blonde Long Hair GNR92",5,2024-04-10,17.5,37.77,23.75,$40.00,$-19.10,$45.46,https://quickchart.io/chart/render/sf-6e86c8a8-95d4-455e-9eb1-4d4a0ae762c3
2021 Car Culture Mix 4: Exotic Envy FPY86D,3,2024-04-14,17.98,33.0,23.66,$54.99,$-34.17,$62.49,https://quickchart.io/chart/render/sf-e1a1c9af-76ea-4573-aaf8-b4cb568a81f5
"2021 Holiday Barbie Doll, Brunette Braids GXL22",2,2024-03-11,30.0,35.0,32.5,$36.00,$-7.40,$40.91,https://quickchart.io/chart/render/sf-77f11ce9-2bfb-41d8-84b1-b19facc5fd7f
2021 Hot Wheels Car Culture: British Horsepower FPY86A,8,2024-04-14,8.99,19.5,11.88,$54.99,$-44.54,$62.49,https://quickchart.io/chart/render/sf-77b012ca-cdd4-4b4b-8cfa-dfb7b0f4b569
2022 Barbie Día De Muertos Doll HBY09,23,2024-04-21,29.99,230.0,57.08,$80.00,$-29.77,$90.91,https://quickchart.io/chart/render/sf-127c77fe-85a8-4852-a2c4-b8ca217ddf5b
2022 Car Culture Mix 5: Jay Leno’s Garage Case Pack HFF45,2,2024-03-17,16.99,34.99,25.99,$38.00,$-15.13,$43.19,https://quickchart.io/chart/render/sf-ba4d9492-b534-4d56-b0b2-086814005214
2022 Día De Muertos Benito Santos x Barbie Doll HBY01,15,2024-04-21,390.0,529.99,443.68,$100.00,$290.44,$113.63,https://quickchart.io/chart/render/sf-5db47f24-4e6a-46e7-a62f-2891d6dd3afb
"2022 Holiday Barbie Doll, Blonde Hair HBY06",15,2024-04-10,15.0,32.99,22.77,$45.00,$-24.96,$51.14,https://quickchart.io/chart/render/sf-ef9c012b-9130-4574-8ffb-11995c60a8a1
"2022 Holiday Barbie, Black Hair HCC05",6,2024-04-08,19.99,52.99,33.02,$45.00,$-15.94,$51.14,https://quickchart.io/chart/render/sf-119ded29-d14b-4179-8586-0075cdb49bb2
"2022 Holiday Barbie, Light-Brown Hair HBY08",1,2023-08-19,50.99,50.99,50.99,$45.00,$-0.13,$51.14,https://quickchart.io/chart/render/sf-621ef4f8-70f8-496c-b81b-94750aa95bc4
2022 Hot Wheels Car Culture Mix 1: American Scene Case Pack HFF44,3,2024-04-01,12.99,24.95,17.06,$38.00,$-22.99,$43.19,https://quickchart.io/chart/render/sf-10f47dfd-0b41-4f13-8664-50675d73607e
2022 Hot Wheels Car Culture Mix 2: Deutschland Design Case Pack HFF41,2,2024-03-20,34.99,39.49,37.24,$38.00,$-5.23,$43.19,https://quickchart.io/chart/render/sf-824798a8-114b-4b05-98cf-2fac9e28ac79
2022 Hot Wheels Car Culture Mix 3: Mountain Drifters Case Pack HFF43,1,2024-03-31,55.52,55.52,55.52,$35.00,$13.86,$39.77,https://quickchart.io/chart/render/sf-b064dade-68c7-4afb-9f8c-c57df5dbfddc
