searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
1 year barbie signature membership hnb07,https://streamline1175.github.io/130-Search-Results/1_year_barbie_signature_membership_hnb07.html,4,31.99,75.0,43.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8f26ee49-49d2-4559-b64d-22f42d573e05
1 year mhc digital membership hwv35,https://streamline1175.github.io/130-Search-Results/1_year_mhc_digital_membership_hwv35.html,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bf51b139-0297-4ba8-87fb-49a45a6eb857
1 year rlc digital membership hnb06,https://streamline1175.github.io/130-Search-Results/1_year_rlc_digital_membership_hnb06.html,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1f2da031-a223-443d-8b5c-ace6b53950aa
18 dodge challenger srt demon hww83,https://streamline1175.github.io/130-Search-Results/18_dodge_challenger_srt_demon_hww83.html,29,69.0,99.99,88.51,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d05ba87e-8d9a-4af3-8964-9f0dbef925cf
1961 brownette bubble cut barbie doll reproduction gxl25,https://streamline1175.github.io/130-Search-Results/1961_brownette_bubble_cut_barbie_doll_reproduction_gxl25.html,10,114.57,140.0,125.75,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d86de7a5-ebef-4936-b821-0c566e2ce731
1977 superstar barbie doll reproduction hby11,https://streamline1175.github.io/130-Search-Results/1977_superstar_barbie_doll_reproduction_hby11.html,36,34.0,106.5,53.32,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7ffd11a3-dd5d-42a6-997a-97de2c9b6cc0
1977 superstar christie barbie doll gxl28,https://streamline1175.github.io/130-Search-Results/1977_superstar_christie_barbie_doll_gxl28.html,12,50.51,232.5,77.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f55a8863-a513-41d2-bcf7-b1839867bb89
1988 jeep wagoneer hww85,https://streamline1175.github.io/130-Search-Results/1988_jeep_wagoneer_hww85.html,53,1.5,175.0,52.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-043e993a-6c03-4bd7-b0dc-f4aa06f301d4
1 64 hot wheels cybertruck r c gxg30,https://streamline1175.github.io/130-Search-Results/1_64_hot_wheels_cybertruck_r_c_gxg30.html,17,16.0,34.99,22.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3a56a81e-67aa-4bf7-bca6-13faf7c4829d
2019 hot wheels team transport c case pack of 4 cflf56,https://streamline1175.github.io/130-Search-Results/2019_hot_wheels_team_transport_c_case_pack_of_4_cflf56.html,8,47.99,84.9,64.7,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b6d3d7f2-7e0b-4b9a-b7fc-c3d6c4a56343
2019 hot wheels team transport d case pack of 4 dflf56,https://streamline1175.github.io/130-Search-Results/2019_hot_wheels_team_transport_d_case_pack_of_4_dflf56.html,14,64.99,89.99,74.23,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4d895b6c-ace6-441c-b6a7-5d08f781f019
