searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
1 year barbie signature membership hnb07,1,2024-03-16,75.0,75.0,75.0,$9.99,$56.01,$11.35,https://quickchart.io/chart/render/sf-9b96f35f-b37c-4d9f-8dd1-f25dc5fa47e2
18 dodge challenger srt demon hww83,27,2024-04-15,65.0,99.99,84.66,$99.99,$-25.49,$113.63,https://quickchart.io/chart/render/sf-281e2521-7993-4d0c-b6a2-d0ae1f5bce86
1977 superstar barbie doll reproduction hby11,17,2024-04-16,39.89,100.0,56.9,$40.00,$10.07,$45.45,https://quickchart.io/chart/render/sf-d9747984-9f07-4747-82a6-30de0b145ded
1988 jeep wagoneer hww85,24,2024-04-17,1.25,175.0,51.88,$99.99,$-54.34,$113.63,https://quickchart.io/chart/render/sf-7dbc989e-5741-4091-a193-f82a5f5f70ca
1 64 hot wheels cybertruck r c gxg30,10,2024-04-16,18.75,25.19,22.47,$23.00,$-3.23,$26.14,https://quickchart.io/chart/render/sf-90da1f62-bf80-48a2-88f5-7e1ae6c50d09
2019 hot wheels team transport c case pack of 4 cflf56,1,2024-04-18,99.99,99.99,99.99,$52.00,$35.99,$59.09,https://quickchart.io/chart/render/sf-f8b844d0-352e-4b84-9408-d3814a594915
2019 hot wheels team transport d case pack of 4 dflf56,8,2024-04-01,65.0,84.9,73.71,$52.00,$12.86,$59.09,https://quickchart.io/chart/render/sf-e3c1096d-4f0c-4a22-b617-8721e564a053
2019 hot wheels team transport e case pack of 4 aflf56,26,2024-04-18,61.99,89.99,73.21,$51.99,$12.43,$59.07,https://quickchart.io/chart/render/sf-519a597e-9afd-4ed6-91aa-efc1aaeb6fab
2019 hot wheels team transport f case pack of 4 bflf56,1,2024-03-14,84.9,84.9,84.9,$51.99,$22.72,$59.07,https://quickchart.io/chart/render/sf-ec3c84a7-014e-4948-a065-b700994df8c9
2020 holiday barbie doll blonde long hair gnr92,9,2024-04-10,17.0,38.0,25.42,$40.00,$-17.63,$45.46,https://quickchart.io/chart/render/sf-279481f4-d2f7-4579-b147-3b8ecac8b90c
2021 car culture mix 4 exotic envy fpy86d,13,2024-04-19,12.99,43.99,26.82,$54.99,$-31.39,$62.49,https://quickchart.io/chart/render/sf-bd2a3b80-f292-419d-8775-8e9844e0a03e
2021 car culture mix 7 modern classics fpy86g,5,2024-04-18,12.99,54.99,21.69,$55.00,$-35.91,$62.51,https://quickchart.io/chart/render/sf-17666b79-fc05-4f15-97c6-59218b1c7a21
2021 holiday barbie doll gxl22,20,2024-04-13,19.99,52.99,27.62,$36.00,$-11.69,$40.91,https://quickchart.io/chart/render/sf-5f3d3743-b925-4147-a7b5-49262b6c32bd
2021 holiday barbie doll gxl23,19,2024-04-13,19.99,48.95,27.97,$36.00,$-11.39,$40.91,https://quickchart.io/chart/render/sf-c3292d61-0eec-4e1e-aba2-7dabb09a09e0
2021 hot wheels car culture british horsepower fpy86a,10,2024-04-11,9.59,30.0,14.9,$54.99,$-41.88,$62.49,https://quickchart.io/chart/render/sf-0155f84e-eb32-408a-801c-5fe85ddb045c
