searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Scarlet & Violet - Twilight Masquerade Booster Box,10,2024-04-02,89.95,149.99,109.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ae68a9ce-1e23-4ef3-acec-1f8980ae2f78
Scarlet & Violet - Temporal Forces Booster Box,9,2024-04-03,120.65,568.95,319.77,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e251c66f-887b-4ba2-a610-c8d5c195bba6
Scarlet & Violet - Paldean Fates Booster Box,7,2024-04-03,32.25,99.0,55.11,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8ff116dc-b810-445b-a649-9912e4f9d9cf
Scarlet & Violet - Paradox Rift Booster Box,11,2024-04-03,75.89,99.99,87.08,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-148acd77-0267-4626-8f72-c280ce0faea2
Scarlet & Violet - 151 Booster Box,6,2024-04-03,70.0,299.99,156.83,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3d1f54ba-44af-46fa-a5c1-29809341e2a8
Scarlet & Violet - Obsidian Flames Booster Box,15,2024-04-03,84.99,187.5,105.96,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-345e9f26-ca89-457f-97a8-ecb27d3a8841
Scarlet & Violet - Paldea Evolved Booster Box,9,2024-04-03,86.55,127.03,103.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-62f810cd-38a0-47d5-b67d-0de1b84d1b6d
Scarlet & Violet Booster Box,10,2024-04-03,11.0,91.0,46.2,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-89199b3a-bd90-4f27-8900-2c6695e42e06
Crown Zenith Booster Box,5,2024-04-03,36.0,80.0,51.19,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a392c9af-12f2-47f4-bc96-8845240e4da0
Sword & Shield - Silver Tempest Booster Box,8,2024-04-03,110.0,394.95,171.46,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e5770366-aad1-4470-abbc-f467e5097ffa
Sword & Shield - Lost Origin Booster Box,4,2024-04-02,1000.0,1303.95,1152.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6b416d70-a8e6-4618-950d-a70e743a067a
Pokémon TCG: Pokémon GO Booster Box,2,2024-04-02,46.99,69.99,58.49,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b8f692df-b980-45d0-a224-175d1ffc0887
Sword & Shield - Astral Radiance Booster Box,21,2024-04-03,129.0,169.99,148.59,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ae1e9e23-b78a-4f99-8de1-f4df3a71ebcb
Sword & Shield - Brilliant Stars Booster Box,9,2024-04-03,150.5,284.99,191.9,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1d100f04-23d7-4f17-8e31-5655ebc57b94
Sword & Shield - Fusion Strike Booster Box,17,2024-04-03,159.99,350.0,240.31,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-50939af8-78df-48c4-8cf7-2a06c026c3ad
Celebrations Booster Box,12,2024-04-03,60.0,390.0,134.32,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-dd857cb5-3ff8-469d-95c8-567db6d627ef
Sword & Shield - Evolving Skies Booster Box,6,2024-04-03,405.0,675.0,611.62,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e0f455cd-b0be-4ce5-a85c-8008fe7c4641
Sword & Shield - Chilling Reign Booster Box,10,2024-04-03,176.76,450.0,233.48,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b0ab5ce5-6744-4735-b174-27a168250539
Sword & Shield - Battle Styles Booster Box,14,2024-04-03,86.0,138.24,111.38,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-51db14aa-064f-42fb-aba5-b833458a70e9
Shining Fates Booster Box,20,2024-04-03,4.5,75.0,31.23,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ec9341c2-ca77-4fd4-94f6-827b2b80165c
Sword & Shield - Vivid Voltage Booster Box,9,2024-04-03,99.99,163.36,124.7,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3f21eddd-ad29-480d-bbc7-86e3d607aeec
Champion's Path Booster Box,15,2024-04-03,20.5,174.95,80.36,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b0a08156-bd5a-4883-9297-325df5b4bc1b
Sword & Shield - Darkness Ablaze Booster Box,14,2024-04-02,124.72,285.0,174.46,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ebd5fc0c-4199-4cc7-ba78-915414c604f4
Sword & Shield - Rebel Clash Booster Box,21,2024-04-01,176.5,358.29,218.61,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-73939b82-287c-4b8d-93b6-f5cf30c517eb
Sword & Shield Booster Box,5,2024-04-03,199.96,849.0,428.79,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-669d15c8-1862-48ec-af2c-adb65cb2905f
