searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Transformation Mask Japanese Booster Box,27,2024-04-04,23.95,1325.0,183.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-670987ec-a031-4d17-9ff3-fc0f9cbe3e37
Crimson Haze Japanese Booster Box,16,2024-04-04,50.33,75.7,56.96,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a118f78a-a0cf-4bd0-9516-09890fc69706
Wild Force Japanese Booster Box,10,2024-04-04,85.99,129.86,94.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-089b899e-4197-412d-9e1c-46023169927c
Cyber Judge Japanese Booster Box,12,2024-04-04,66.02,129.86,92.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-828edce3-e9a2-4d79-9087-33e5ba99c73c
Shiny Treasure ex Japanese Booster Box,11,2024-04-03,41.99,51.99,48.64,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1ca8f43b-a2bb-4044-8124-c842d60903af
Future Flash Japanese Booster Box,17,2024-04-04,31.3,162.5,54.34,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a821dbd6-03b0-4eaa-87a7-a224335e2732
Ancient Roar Japanese Booster Box,23,2024-04-03,31.11,98.99,50.16,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0d3b2771-42ea-422b-b571-c2c3caed697e
Raging Surf Japanese Booster Box,12,2024-04-02,49.0,74.99,56.46,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a252b92e-7100-4061-aed6-907833c40fcb
Ruler of the Black Flame Japanese Booster Box,17,2024-04-03,43.0,149.98,63.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3832defa-64f7-4ed3-a89e-5aae3649c83d
Pokemon 151 Japanese Booster Box,10,2024-04-04,153.57,334.88,196.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6e9aee25-eb94-4b6e-a630-30d957b4a24c
Clay Burst Japanese Booster Box,12,2024-04-04,89.97,148.0,103.82,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-73b66c64-7f6b-4243-8589-ba348b91e5a2
Snow Hazard Japanese Booster Box,9,2024-04-02,56.79,169.0,81.62,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-dc43588b-de84-461f-9a25-ce36946eb16c
Triplet Beat Japanese Booster Box,15,2024-04-02,59.99,96.32,75.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8639a9e6-6f1d-4f10-b45b-dfe6c3d54961
Violet ex Japanese Booster Box,15,2024-04-03,34.0,109.8,65.6,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d3515420-2e07-4142-94c3-55913cce4d88
Scarlet ex Japanese Booster Box,14,2024-04-03,43.69,109.8,66.53,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-15789de4-6e63-4a8a-bb8e-a0914116fc38
VSTAR Universe Japanese Booster Box,9,2024-04-04,74.75,81.17,77.02,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9ba4d433-544f-494d-900b-6785b8dbc35f
Paradigm Trigger Japanese Booster Box,23,2024-04-03,62.0,184.24,95.83,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-93ed6305-e180-460b-9cab-71bed205ab7a
Incandescent Arcana Japanese Booster Box,9,2024-03-26,100.94,204.55,145.05,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b19773c3-a29f-423d-8093-af8db7f40d66
Lost Abyss Japanese Booster Box,12,2024-03-17,159.99,359.88,195.46,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1aac4a1d-9e93-490a-a599-38d4a45fef3b
Pokemon GO Japanese Booster Box,15,2024-04-04,44.98,141.33,74.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f4334696-aa84-4e9a-8a07-25e41ddf47ff
Dark Phantasma Japanese Booster Box,10,2024-03-27,68.95,117.48,90.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-038e9b7a-1951-4d7a-a694-ed7024b87f2b
Time Gazer Japanese Booster Box,9,2024-03-31,74.99,240.0,124.43,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-294a63a3-1217-4891-977e-54ff4c9bbb18
Space Juggler Japanese Booster Box,11,2024-04-04,80.0,240.0,113.76,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ec6b5292-3224-40b4-8be2-448ab121d6d6
Battle Region Japanese Booster Box,8,2024-03-27,70.0,117.48,91.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-639a1a8d-c17f-4e1c-93ef-a2148f07932f
Star Birth Japanese Booster Box,12,2024-03-30,75.99,135.5,100.01,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a047c944-3cfe-4659-97d5-f503786eaf58
VMAX Climax Japanese Booster Box,8,2024-04-04,122.34,130.0,126.12,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d2a9be1f-2ea6-435e-a33b-6a4a98d93d35
25th Anniversary Collection Japanese Booster Box,10,2024-04-04,110.99,319.26,144.54,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-351ba1c6-9188-46c2-b48c-2831f06b4a98
Fusion Arts Japanese Booster Box,11,2024-03-31,78.0,170.0,131.13,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6c9dffd6-d226-4e04-8c7c-0492ac382dcb
Blue Sky Stream Japanese Booster Box,18,2024-03-22,350.0,525.0,429.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cfa3726d-a334-48e2-8ee2-2f4614eea7fd
Skyscraping Perfection Japanese Booster Box,25,2024-04-03,3.99,199.99,68.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bb6aa814-f04a-435e-b584-bcf464fb17e9
Eevee Heroes Japanese Booster Box,11,2024-04-04,405.0,594.16,466.67,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c46ae366-c39f-4475-b8c2-b4b74c90573f
Jet Black Spirit Japanese Booster Box,16,2024-04-02,66.0,252.0,137.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-25ee72c8-7bca-4114-adf5-499ebeb3e86a
Silver Lance Japanese Booster Box,9,2024-04-02,85.0,235.95,127.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-536baff9-56e1-489b-adb3-0bf17e190184
Peerless Fighters Japanese Booster Box,9,2024-04-02,149.99,199.99,178.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-dfc1474a-dfab-455e-bb0e-088eb3859a61
Rapid Strike Master Japanese Booster Box,18,2024-04-03,99.87,302.86,166.9,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e23598bb-acba-4dc3-aa94-58452d2a8853
Single Strike Master Japanese Booster Box,14,2024-04-03,67.32,302.86,163.14,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-412bb4d3-810a-49f1-bfc3-af78666bc5c6
Shiny Star V Japanese Booster Box,9,2024-04-02,113.57,199.93,148.62,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e7b615fc-7475-4a4f-a4c6-c7388ec1fb87
Amazing Volt Tackle Japanese Booster Box,17,2024-03-16,80.76,142.97,103.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a53dba4d-4b69-4171-9cf3-b23f3386be8f
Legendary Heartbeat Japanese Booster Box,15,2024-04-01,110.0,144.01,124.44,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5ad3d82a-3ef7-4768-bdf5-5e72d9b38d36
Infinity Zone Japanese Booster Box,7,2024-03-27,132.49,240.0,181.08,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4a06edae-f1f6-4865-aa35-0e95880f1126
Explosive Walker Japanese Booster Box,5,2024-03-17,44.5,149.95,100.47,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f51907c3-4e54-4690-b357-012e1de930b4
Rebellion Crash Japanese Booster Box,8,2024-04-03,110.0,229.97,163.58,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-37d85da8-d2c5-4079-90d4-31d00c304923
VMAX Rising Japanese Booster Box,27,2024-04-04,118.62,225.82,141.16,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a1364137-8bf7-4462-b7dc-0f3af079e9df
Sword Japanese Booster Box,7,2024-04-04,99.0,459.8,211.14,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-99e4fc4f-939e-487e-aee8-0854b088a48d
Shield Japanese Booster Box,7,2024-04-04,99.0,459.8,211.14,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c640bf4f-9365-4227-8c63-ae79bfd1255b
