searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
ACER CB242Y 238 FULL HD MONITOR,18,2024-04-19,58.0,122.69,77.7,$70.00,$-1.62,$79.55,https://quickchart.io/chart/render/sf-0caa055e-5ff5-4102-a0c3-2e0eb950c4a2
ALIENWARE 27 INCH 240HZ GAMING MONITOR AW2721D,8,2024-04-24,271.99,599.99,384.35,$750.00,$-411.77,$852.28,https://quickchart.io/chart/render/sf-419abc78-a93a-4b8a-baab-65436cf624e6
AMIIBO SORA KINGDOM HEARTS  SUPER SMASH BROS SERIES,23,2024-04-26,19.99,28.99,24.0,$40.00,$-18.88,$45.46,https://quickchart.io/chart/render/sf-855fe8c4-d6b2-45bd-a82f-24e04f7fa6ed
APPLE MACBOOK PRO 2022  512 GB SILVER,10,2024-04-24,890.1,1479.95,1049.51,$1200.00,$-276.43,$1363.64,https://quickchart.io/chart/render/sf-debe4622-aa1f-4224-ab1b-76b662459786
APPLE MACBOOK PRO 2022  512 GB SPACE GRAY,16,2024-04-23,800.0,1449.0,978.43,$1200.00,$-338.98,$1363.64,https://quickchart.io/chart/render/sf-c6b97358-15e9-4ecc-9a22-ac3cac254e80
ASROCK H110 PRO MINING MOTHERBOARD,18,2024-04-26,44.99,125.0,78.37,$225.00,$-156.03,$255.69,https://quickchart.io/chart/render/sf-f0c65752-8518-4599-972a-1892f9750477
ASUS B250 LGA1151 MINING MOTHERBOARD,16,2024-04-25,79.0,187.0,114.09,$225.00,$-124.60,$255.69,https://quickchart.io/chart/render/sf-b3736851-c182-4062-8871-b872763880ce
ASUS GEFORCE RTX 3080 STRIX EVA,17,2024-04-25,450.0,1225.0,615.14,$850.00,$-308.68,$965.91,https://quickchart.io/chart/render/sf-1d9c769e-66ea-4eb3-81ac-8ab9f2b5d46e
ASUS GEFORCE RTX 3080 STRIX OC,15,2024-04-24,459.97,799.99,569.72,$1200.00,$-698.65,$1363.64,https://quickchart.io/chart/render/sf-120af7ec-b2cc-4c0e-af9c-8c92cef0f8b5
ASUS GEFORCE RTX 3080 STRIX OC WHITE V2,10,2024-04-17,479.99,899.99,609.55,$1100.00,$-563.60,$1250.01,https://quickchart.io/chart/render/sf-1ebe415f-fcf0-4ed8-aa8e-469114299435
ASUS GEFORCE RTX 3090 EKWB,25,2024-04-26,699.0,1100.0,799.08,$1200.00,$-496.81,$1363.64,https://quickchart.io/chart/render/sf-e6db602f-57c8-4583-baed-8cde318b4996
ASUS GEFORCE RTX 3090 STRIX OC,21,2024-04-27,789.0,1199.0,881.61,$1300.00,$-524.18,$1477.28,https://quickchart.io/chart/render/sf-87a414ba-06c3-49fa-b19d-9e602b31a8bc
ASUS GEFORCE RTX 3090 STRIX WHITE OC,18,2024-04-21,815.0,1100.0,921.9,$1300.00,$-488.73,$1477.28,https://quickchart.io/chart/render/sf-77ba83f4-dece-4029-be7d-ba4f79782ada
ASUS GEFORCE RTX 3090 TI STRIX OC EVA,16,2024-04-23,649.0,978.0,830.78,$1350.00,$-618.91,$1534.10,https://quickchart.io/chart/render/sf-b125e12d-9690-43b8-8d52-718ea7d32d77
ASUS GEFORCE RTX 3090 TI STRIX OC LC,15,2024-04-23,729.99,1315.31,900.88,$1500.00,$-707.23,$1704.55,https://quickchart.io/chart/render/sf-054c49fb-2750-4a56-9e5a-dea29e13b464
ASUS GEFORCE RTX 3090 TUF,22,2024-04-26,690.0,1150.0,811.02,$1200.00,$-486.30,$1363.64,https://quickchart.io/chart/render/sf-517a32e2-29ef-4000-b611-6b76474ad477
ASUS GEFORCE RTX 3090 TUF OC,24,2024-04-26,671.0,1150.0,804.23,$1200.00,$-492.28,$1363.64,https://quickchart.io/chart/render/sf-70097b6d-82d9-47c8-8b11-34d913ba8856
ASUS GEFORCE RTX 4080 SUPER PROART OC,10,2024-04-25,1189.99,2500.0,1455.9,$1500.00,$-218.81,$1704.55,https://quickchart.io/chart/render/sf-d7bf6f1c-fd2f-4b27-9100-472530a9dffd
ASUS GEFORCE RTX 4080 SUPER STRIX,9,2024-04-04,1375.0,2339.22,1625.87,$1500.00,$-69.23,$1704.55,https://quickchart.io/chart/render/sf-51a50e43-d1dc-4270-af5b-9d6cf2089825
ASUS GEFORCE RTX 4080 SUPER STRIX OC,13,2024-04-25,949.0,1649.0,1415.74,$1500.00,$-254.15,$1704.55,https://quickchart.io/chart/render/sf-7c29b341-d0cd-48fc-8d3f-036dc97bb0eb
ASUS GEFORCE RTX 4080 SUPER STRIX WHITE OC,9,2024-04-24,1050.0,1649.0,1435.66,$1500.00,$-236.62,$1704.55,https://quickchart.io/chart/render/sf-1e5d04c3-6e02-4256-98a4-cf41ed5118f7
ASUS GEFORCE RTX 4080 SUPER TUF,14,2024-03-29,1129.99,1399.99,1293.18,$1500.00,$-362.00,$1704.55,https://quickchart.io/chart/render/sf-8cebd6d7-6fa7-429f-b959-2b06a55408c5
ASUS GEFORCE RTX 4080 SUPER TUF OC,15,2024-04-10,999.99,1399.99,1205.69,$1500.00,$-438.99,$1704.55,https://quickchart.io/chart/render/sf-601fe19c-acfe-4369-8cf6-b78f0999dc38
ASUS GEFORCE RTX 4090 EVA V2,18,2024-04-27,1299.0,4018.27,2409.46,$3000.00,$-879.68,$3409.10,https://quickchart.io/chart/render/sf-67b084c0-6aa8-48c9-9a3b-d7268da44f61
ASUS GEFORCE RTX 4090 MATRIX PLATINUM,10,2024-03-30,3750.0,5111.43,4330.93,$3500.00,$311.22,$3977.27,https://quickchart.io/chart/render/sf-65a34320-2115-4d90-843c-bd82c4e18c15
ASUS GEFORCE RTX 4090 STRIX,24,2024-04-27,1700.0,4099.0,2484.2,$2200.00,$-13.90,$2500.00,https://quickchart.io/chart/render/sf-33638cd1-ed91-47d9-beb3-b4ee5b6d1416
ASUS GEFORCE RTX 4090 STRIX LC,19,2024-04-22,1299.0,3800.0,2042.28,$2200.00,$-402.79,$2500.00,https://quickchart.io/chart/render/sf-db1a399a-d949-47b9-82e5-86df721ef977
ASUS GEFORCE RTX 4090 STRIX LC OC,21,2024-04-22,1600.0,3800.0,2039.44,$2200.00,$-405.29,$2500.00,https://quickchart.io/chart/render/sf-cc015831-809b-4f1b-8926-86fcff59b25c
ASUS GEFORCE RTX 4090 STRIX OC,21,2024-04-27,1849.99,4099.0,2594.61,$2200.00,$83.26,$2500.00,https://quickchart.io/chart/render/sf-3c81c28e-605e-467b-bd87-aaf599d62b2f
ASUS GEFORCE RTX 4090 STRIX WHITE,23,2024-04-27,1607.59,3949.49,2173.17,$2200.00,$-287.61,$2500.00,https://quickchart.io/chart/render/sf-cd651993-3a5d-4d3c-8ff3-6995f749ad38
ASUS GEFORCE RTX 4090 STRIX WHITE OC,21,2024-04-27,1790.0,3949.49,2252.9,$2200.00,$-217.45,$2500.00,https://quickchart.io/chart/render/sf-b7451cdf-d94a-4269-afd2-f715c4406b95
ASUS GEFORCE RTX 4090 TUF,19,2024-04-27,1200.0,1946.75,1644.12,$2200.00,$-753.17,$2500.00,https://quickchart.io/chart/render/sf-531dc485-ad39-4581-9ef8-32c3cad2067b
ASUS GEFORCE RTX 4090 TUF OC,20,2024-04-27,1200.0,1999.0,1694.81,$2200.00,$-708.57,$2500.00,https://quickchart.io/chart/render/sf-79ca50d5-4098-4b06-9077-40648d1486ab
ASUS GEFORCE RTX 4090 TUF OC OG,9,2024-04-26,1600.0,2531.97,1857.77,$3000.00,$-1365.16,$3409.10,https://quickchart.io/chart/render/sf-13ac66ee-a8c3-479d-b460-bac6854945b8
ASUS GEFORCE RTX 4090 TUF OG,9,2024-04-26,1600.0,2531.97,1857.77,$3000.00,$-1365.16,$3409.10,https://quickchart.io/chart/render/sf-cda35a11-0530-4408-8c93-bde139df9267
ASUS ROG ALLY 7 120 HZ GAMING HANDHELD,24,2024-04-27,365.0,595.0,439.82,$600.00,$-212.96,$681.82,https://quickchart.io/chart/render/sf-826fbceb-f40c-47ce-8f5e-f98f47f5d153
ASUS ROG FLOW Z13ACRNM RMT02 GAMING LAPTOP TABLET,5,2024-03-23,1650.0,3999.0,2819.79,$2800.00,$-318.58,$3181.82,https://quickchart.io/chart/render/sf-d89a6d15-8932-4d0d-9fc8-05e3c526226c
ASUS ROG MAXIMUS Z790 MAXIMUS APEX MOTHERBOARD,11,2024-04-22,500.0,925.0,674.85,$750.00,$-156.13,$852.28,https://quickchart.io/chart/render/sf-53771047-c456-4c09-b46f-a5b8f9f6b3fc
