searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Transformation Mask Japanese Booster Box,13,2024-05-02,51.99,65.0,57.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-88564069-37e5-48ef-81eb-1d2288f3aad8
Crimson Haze Japanese Booster Box,24,2024-05-03,43.99,146.8,61.08,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9b583c0e-837b-44f8-8df4-2114809a6a42
Wild Force Japanese Booster Box,15,2024-05-03,43.99,105.82,69.36,N/A,N/A,N/A,https://quickchart.io/chart/render/zf-14256e84-7437-4f98-b098-f183c5cac432
Cyber Judge Japanese Booster Box,10,2024-05-03,52.44,105.82,81.51,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e3a9aecc-e02d-4583-be8b-70271428f873
Shiny Treasure ex Japanese Booster Box,10,2024-05-03,39.0,69.99,47.22,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8b0bbf97-cf59-466e-8d29-09bc1db651af
Future Flash Japanese Booster Box,9,2024-05-03,40.0,79.99,52.13,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-16a120ff-4de0-4984-af8b-e735169ab97a
Ancient Roar Japanese Booster Box,12,2024-05-03,42.99,181.5,76.72,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8150e0b2-b3dc-4b9b-ba61-37633f722b44
Raging Surf Japanese Booster Box,6,2024-05-02,45.95,59.8,54.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8eb99c66-b0fa-4735-aabd-8d372e01f7e7
Ruler of the Black Flame Japanese Booster Box,20,2024-05-03,39.99,86.11,51.91,N/A,N/A,N/A,https://quickchart.io/chart/render/zf-6dd71f06-aa5c-4167-a9a9-ce14d159f2c6
Pokemon 151 Japanese Booster Box,21,2024-05-03,71.9,239.0,106.07,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2dadadc8-379e-450d-a4cd-f42a418e8e96
Clay Burst Japanese Booster Box,10,2024-04-29,62.73,109.99,86.73,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f454b9b5-d0f9-4b8d-964d-0b5e93893c5d
