searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Pokemon TCG 2 Booster Packs  Arceus Pin,3,2024-04-29,24.99,52.9,39.63,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-822bd8e1-984e-4149-9915-13491b88966f
Pokemon TCG 2 Booster Packs  Celebi Collector's Pin,3,2024-04-30,32.79,59.99,45.93,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2caa1197-bf32-41dc-bd82-ea369fd39fe9
Pokemon TCG 2 Booster Packs  Charizard Collector's Pin,5,2024-04-30,23.0,59.99,32.78,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1dde35b1-385e-4fd7-836f-6404a28ae874
Pokemon TCG 2 Booster Packs  Darkrai Pin,10,2024-04-23,15.97,52.9,25.8,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8cec070b-97e9-4771-bd1d-04bd9b2d4a12
Pokemon TCG 2 Booster Packs  Eraser,13,2024-04-27,12.54,199.99,46.39,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0da4d9f5-33bb-478e-a532-6e8d9e266345
Pokemon TCG 2 Booster Packs  Jirachi Collector's Pin,2,2024-04-29,41.0,45.0,43.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c2e9c2f5-2f62-4a1c-ab85-301814d96f28
Pokemon TCG 2 Booster Packs  Jirachi Pin,6,2024-04-28,14.99,40.29,25.59,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-51268f23-ae6a-4e3b-b7f3-e35164a77c91
Pokemon TCG 2 Booster Packs  Latias Collector's Pin,6,2024-04-30,39.95,99.95,63.96,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8bb15299-793e-433c-96e4-a56f5f99fe06
Pokemon TCG 2 Booster Packs  Latios Collector's Pin,5,2024-04-30,39.95,98.99,66.57,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-500ef5e3-97fe-44ce-a5bd-a250547b99d7
Pokemon TCG 2 Booster Packs  Lechonk Eraser,4,2024-04-29,12.97,45.0,31.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-dfabc628-e88c-4cea-89bd-feb09aad2d13
Pokemon TCG 2 Booster Packs  Smoliv Eraser,3,2024-04-29,29.99,45.0,38.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f846eb5d-f000-4143-836d-039f9133f468
Pokemon TCG 2 Booster Packs  Victini Pin,15,2024-04-28,6.5,29.99,12.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-846e67b0-8e32-45b0-8b47-91841b63caa8
Pokemon TCG 2 Booster Packs  Xerneas Collector's Pin,4,2024-04-30,59.99,99.99,76.23,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e000495d-670d-4a26-818f-0212fe29a91c
Pokemon TCG 2 Booster Packs  Yveltal Collector's Pin,5,2024-04-30,49.99,99.99,77.97,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bf0dc87b-8e62-4c45-b84d-0b355c695f1d
Pokemon TCG 2 Booster Packs Coin  Alolan Muk Alolan Dugtrio  Alolan Golem Promo Cards,1,2024-03-30,29.99,29.99,29.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-67010a27-02ab-43a0-8d37-56a45b6433aa
Pokemon TCG 2 Booster Packs Coin  Meganium Typhlosion  Feraligatr Promo Cards,2,2024-04-26,30.0,50.0,40.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e05dd810-04d3-47c3-b4cf-e9dd36078445
Pokemon TCG 3 Booster Packs Coin  Giratina Promo Card,6,2024-04-29,17.5,61.0,34.57,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-214ab802-5873-452a-8b98-260ed8734047
Pokemon TCG 3 Booster Packs Coin  Xerneas Promo Card,10,2024-04-08,9.99,63.99,24.54,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4e36658c-139e-4f9c-80b1-5182d5911116
Pokemon TCG 3 Booster Packs Coin  Yveltal Promo Card,8,2024-04-12,14.99,41.0,26.12,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e5ca34cb-2f77-40e7-9f75-7c2509d67a71
Pokemon TCG Annihilape ex Box,16,2024-04-29,13.8,71.0,25.48,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2aa329b2-1e12-4066-b3be-f21e33b1913e
Pokemon TCG Arceus V Figure Collection,16,2024-04-30,30.0,78.7,44.1,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-caf4fd69-82cd-4f43-92ce-72ebdd1a3600
Pokemon TCG Armarouge Revavroom  Houndstone Cards with 2 Booster Packs  Coin,8,2024-04-21,5.0,19.99,10.37,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1564f9a9-5b6e-4186-ae5c-a65ac1ceaf8a
Pokemon TCG Articuno Zapdos  Moltres Cards with 2 Booster Packs  Coin,6,2024-04-28,7.9,11.25,9.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5d05323b-dfa1-46ec-a5f4-89b5ecff9074
Pokemon TCG Back to School Pencil Case 2023,8,2024-04-23,3.25,9.95,5.74,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ea27361a-1225-4ede-b7c5-47d94bda28bc
Pokemon TCG Blastoise V Battle Deck,16,2024-04-28,9.0,75.0,21.36,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-35055dcf-728a-4cc4-a5de-3fc940e59876
Pokemon TCG Blastoise V Battle DeckPokemon TCG Blastoise V Battle Deck,10,2024-04-28,9.5,39.95,18.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-01994268-d449-4b14-9c71-6d2af9d04fe8
Pokemon TCG Boltund V Box,9,2024-04-29,18.95,39.99,24.51,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-762c173d-bd7e-4abc-85aa-a45439b52814
Pokemon TCG Boltund V BoxPokemon TCG Boltund V Box,9,2024-04-29,18.95,39.99,24.51,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c1dbde74-6b7a-43f7-b3fb-384b52305153
Pokemon TCG Booster Pack Coin  Alolan Persian Promo Card,4,2024-04-26,22.0,63.99,41.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9bb1ff1a-912a-480d-b56f-caf92885f132
Pokemon TCG Booster Pack Coin  Crobat Promo Card,6,2024-04-21,7.0,28.0,14.41,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ad5d3958-f518-4aba-b885-d2b10a128103
Pokemon TCG Booster Pack Coin  Gigalith Promo Card,4,2024-04-22,12.99,49.99,33.72,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7758824c-daaa-4cd2-9a56-df87b557150c
Pokemon TCG Booster Pack Coin  Sharpedo Promo Card,6,2024-04-21,10.99,22.0,14.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a64e21f5-a3ec-414e-a99e-ce7776a3c6fa
Pokemon TCG Collector Chest 2016,17,2024-04-27,24.99,102.5,39.82,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-86e75163-6df4-4922-84bb-c77d30b09d9a
Pokemon TCG Cyrus Premium Tournament Collection,8,2024-04-28,14.0,34.99,26.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-799e880c-60aa-465c-8a68-d91f11376435
Pokemon TCG Detective Pikachu Case File,13,2024-04-28,39.0,79.99,57.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5a3dfec7-7099-4b2b-967a-fa37f5b65ecc
