searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
18 dodge challenger srt demon hww83,28,2024-08-17,2.5,105.0,55.81,$99.99,$-50.88,$113.63,https://quickchart.io/chart/render/sf-687a18d8-ea7b-44ee-a223-a995487f2e52
1977 superstar barbie doll reproduction hby11,14,2024-08-15,60.0,104.99,80.65,$40.00,$30.97,$45.45,https://quickchart.io/chart/render/sf-9f5acb0d-1c7d-48c4-b90e-190adbb4a55a
1988 jeep wagoneer hww85,21,2024-08-13,1.99,33.0,8.71,$99.99,$-92.33,$113.63,https://quickchart.io/chart/render/sf-58949a86-e65b-472b-aa77-1820595e698b
1 64 hot wheels cybertruck r c gxg30,13,2024-08-17,22.99,35.0,27.67,$23.00,$1.35,$26.13,https://quickchart.io/chart/render/sf-5b19e163-afd6-462b-ab49-087b92ff13e0
2019 hot wheels team transport c case pack of 4 cflf56,5,2024-08-17,44.95,58.99,49.17,$52.00,$-8.73,$59.10,https://quickchart.io/chart/render/sf-78d22bdb-74a8-40c0-b788-800b256b0321
2019 hot wheels team transport d case pack of 4 dflf56,1,2024-06-06,59.99,59.99,59.99,$52.00,$0.79,$59.09,https://quickchart.io/chart/render/sf-6b8f6c9f-c0f0-468b-8a65-0c8edb585f81
2019 hot wheels team transport f case pack of 4 bflf56,3,2024-08-17,47.99,59.99,52.32,$51.99,$-5.95,$59.08,https://quickchart.io/chart/render/zf-b6a2263e-0170-44ed-9fd7-7f13150170e0
2020 holiday barbie doll blonde long hair gnr92,10,2024-08-17,19.99,55.0,27.94,$40.00,$-15.41,$45.46,https://quickchart.io/chart/render/sf-38e9cc33-b23e-45f3-bd3e-395d05537b15
2021 car culture mix 4 exotic envy fpy86d,13,2024-08-17,16.99,43.99,27.37,$54.99,$-30.90,$62.49,https://quickchart.io/chart/render/sf-1eb1a78a-450e-45ce-bc8a-bd6e4016af40
2021 car culture mix 7 modern classics fpy86g,4,2024-08-16,8.78,13.99,11.18,$55.00,$-45.16,$62.51,https://quickchart.io/chart/render/sf-00fa736b-c252-49fb-a542-3a625f50a391
2021 holiday barbie doll gxl22,14,2024-08-17,19.99,50.0,31.19,$36.00,$-8.55,$40.91,https://quickchart.io/chart/render/sf-05ededc8-0396-45eb-a926-d50d29104fde
2021 holiday barbie doll gxl23,15,2024-08-17,19.95,50.0,30.77,$36.00,$-8.92,$40.91,https://quickchart.io/chart/render/sf-834c455e-a7c5-4b8a-9bba-7729b7c67c1b
2021 hot wheels car culture british horsepower fpy86a,9,2024-08-09,8.78,35.95,20.41,$54.99,$-37.03,$62.49,https://quickchart.io/chart/render/sf-c8156330-9f4c-4e29-91cb-b9b91436a83f
