searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
100% Soft x Mondo - THEY LIVE Dumpster Fire Vinyl Figure Mondo,9,2024-04-23,67.99,215.0,108.66,$35.00,$60.62,$39.77,https://quickchart.io/chart/render/sf-9feb49e4-d724-43e4-a83b-8827e968a9a6
101 Dalmatians – Cruella De Vil Enamel Pin Caley Hicks,20,2024-04-22,9.49,40.0,17.36,$10.00,$5.28,$11.36,https://quickchart.io/chart/render/sf-e969b71e-f10d-4fd5-a478-bd3e3e48416f
12 Hour Shift - Original Motion Picture Soundtrack LP Matt Glass,1,2024-02-28,18.99,18.99,18.99,$33.00,$-16.29,$37.50,https://quickchart.io/chart/render/sf-df0a30a4-c1fa-4323-8c7d-c5c3e167dbfe
2001: A Space Odyssey – Original Motion Picture Soundtrack Various Artists,6,2024-04-16,6.95,16.99,11.47,$40.00,$-29.91,$45.46,https://quickchart.io/chart/render/sf-b022e443-cf89-4d53-8e0f-8dc6795cb43b
28 Days Later Charlie Adlard,22,2024-04-24,35.99,80.0,48.67,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fed4dbe9-a60a-4ad3-bb15-9e0d4996dd0f
A Gentle Rain Kevin Wilson,26,2024-04-24,3.78,100.0,14.68,$22.00,$-9.08,$25.00,https://quickchart.io/chart/render/sf-c46885f7-61db-4af0-b675-940b81c8aee0
A Girl Walks Home Alone At Night 2XLP Various Artists,13,2024-04-21,16.89,67.99,38.39,$35.00,$-1.22,$39.78,https://quickchart.io/chart/render/sf-6924d03b-5c73-4862-816f-3986d167fb38
A Girl Walks Home Alone At Night CD Various Artists,19,2024-04-21,12.0,59.99,25.79,$15.00,$7.70,$17.04,https://quickchart.io/chart/render/sf-2fe20a00-82c8-4f2e-8529-24a5a5ba4c52
A Glitch in the Matrix - Original Motion Picture Soundtrack LP Jonathan Snipes,3,2024-03-30,5.5,165.5,59.9,$25.00,$27.71,$28.40,https://quickchart.io/chart/render/sf-5e0bf35e-46cf-4444-bbef-5639fcc04a0e
A Goofy Movie – Powerline Enamel Pin JJ Harrison,2,2024-04-15,19.95,19.99,19.97,$10.00,$7.57,$11.36,https://quickchart.io/chart/render/sf-9074612a-1a87-4005-b545-0546df30f964
A Mighty Wind - The Album LP Various Artists,6,2024-04-19,12.5,47.89,31.81,$40.00,$-12.01,$45.46,https://quickchart.io/chart/render/sf-f871a048-40a3-4251-8d7c-e6535dd1ab11
Aargh Enamel Pin Mondo,21,2024-04-23,17.99,54.99,29.95,$10.00,$16.36,$11.36,https://quickchart.io/chart/render/sf-a4303202-dac4-4e7f-9ef0-ff557c2f6c07
