searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
100% Soft x Mondo - THEY LIVE Dumpster Fire Vinyl Figure Mondo,9,2024-04-23,67.99,215.0,108.66,$35.00,$60.62,$39.77,https://quickchart.io/chart/render/sf-bb8ad5a1-1e5e-4cab-8b79-0ca770b076a7
101 Dalmatians – Cruella De Vil Enamel Pin Caley Hicks,20,2024-04-22,9.49,40.0,17.36,$10.00,$5.28,$11.36,https://quickchart.io/chart/render/sf-cc1275ce-484d-4b61-9617-f48b8cbbfa48
12 Hour Shift - Original Motion Picture Soundtrack LP Matt Glass,1,2024-02-28,18.99,18.99,18.99,$33.00,$-16.29,$37.50,https://quickchart.io/chart/render/sf-593173a6-b6d8-4c34-b66f-50f090044b2a
2001: A Space Odyssey – Original Motion Picture Soundtrack Various Artists,6,2024-04-16,8.0,16.99,12.64,$40.00,$-28.88,$45.46,https://quickchart.io/chart/render/sf-16dcac31-0aaf-45a0-b5a3-2540d1168798
28 Days Later Charlie Adlard,23,2024-04-25,35.99,80.0,48.26,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fb74f96e-8474-428e-b920-9a96d02cb9b6
A Gentle Rain Kevin Wilson,24,2024-04-24,3.78,100.0,14.7,$22.00,$-9.06,$25.00,https://quickchart.io/chart/render/sf-f4c40a03-ee74-4578-b7f0-3f66da02bb0d
A Girl Walks Home Alone At Night 2XLP Various Artists,13,2024-04-21,16.89,67.99,38.39,$35.00,$-1.22,$39.78,https://quickchart.io/chart/render/sf-da9c059d-d403-49b2-8a98-70337255b991
A Girl Walks Home Alone At Night CD Various Artists,19,2024-04-21,12.0,59.99,25.79,$15.00,$7.70,$17.04,https://quickchart.io/chart/render/sf-8f0af53d-e9ff-4df6-b28b-9f97bc1e19e3
A Glitch in the Matrix - Original Motion Picture Soundtrack LP Jonathan Snipes,3,2024-03-30,5.5,165.5,59.9,$25.00,$27.71,$28.40,https://quickchart.io/chart/render/sf-9225b082-aead-4124-b4de-deddff681561
A Goofy Movie – Powerline Enamel Pin JJ Harrison,2,2024-04-15,19.95,19.99,19.97,$10.00,$7.57,$11.36,https://quickchart.io/chart/render/sf-be5c9106-6b2d-417d-83b7-928ccd4ce5bf
