searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
2021 PANINI NFL DONRUSS OPTIC FOOTBALL TRADING CARD MEGA BOX,10,2024-10-24,84.99,94.99,91.84,$75.00,$5.82,$85.22,https://quickchart.io/chart/render/sf-69df9e46-06f7-4845-8440-30727a1965db
2022 PANINI FIFA WORLD CUP PRIZM SOCCER BLASTER BOX,27,2024-10-22,29.95,329.99,73.59,$40.00,$24.76,$45.45,https://quickchart.io/chart/render/sf-ea73bbd2-0eaf-47c5-b769-1358dd33832f
2022 PANINI NFL SELECT FOOTBALL TRADING CARD MEGA BOX,6,2024-10-24,63.98,100.0,71.32,$75.00,$-12.24,$85.23,https://quickchart.io/chart/render/sf-51c94396-d828-45f1-9336-8d6bf883f65a
2023 PANINI NFL ABSOLUTE FOOTBALL TRADING CARD MEGA BOX,23,2024-10-23,44.99,69.95,55.94,$50.00,$-0.77,$56.82,https://quickchart.io/chart/render/sf-88ceebff-ffc9-4c3f-aa3a-fd5904de007d
2023 PANINI NFL DONRUSS FOOTBALL TRADING CARD BLASTER BOX,18,2024-10-20,53.0,179.99,67.55,$40.00,$19.44,$45.45,https://quickchart.io/chart/render/sf-04eecdb2-1ab0-4342-a4e9-89c8e3ebd1f1
2023 PANINI NFL DONRUSS FOOTBALL TRADING CARD MEGA BOX,22,2024-10-24,89.99,325.0,128.44,$50.00,$63.03,$56.81,https://quickchart.io/chart/render/sf-98e97369-9eb9-4f57-99a3-878f88eb0724
2023 PANINI NFL DONRUSS OPTIC FOOTBALL TRADING CARD MEGA BOX,16,2024-10-23,96.98,325.0,164.18,$75.00,$69.48,$85.22,https://quickchart.io/chart/render/sf-1c473cc2-d896-4372-917d-781127d29d00
2023 PANINI NFL PRIZM FOOTBALL MEGA BOX,15,2024-10-24,63.98,265.0,113.42,$75.00,$24.81,$85.22,https://quickchart.io/chart/render/sf-3de87731-32a6-4d52-a9a8-297af8c19885
2023 PANINI NFL ROOKIES AND STARS FOOTBALL TRADING CARD MEGA BOX,11,2024-10-16,72.99,169.99,94.89,$75.00,$8.50,$85.22,https://quickchart.io/chart/render/sf-11ae746a-be98-4c21-a02c-746d7e0b9796
2023 PANINI NFL SELECT MEGA BOX,15,2024-10-24,11.5,65.0,32.7,$75.00,$-46.22,$85.23,https://quickchart.io/chart/render/sf-569d96eb-ee1c-4897-9365-d09e3b244e87
2023 TOPPS COMPOSITE FOOTBALL GIANT BOX,16,2024-10-24,34.95,110.0,56.87,$65.00,$-14.95,$73.87,https://quickchart.io/chart/render/sf-1073a353-5d98-4068-ab5f-92a43723fbe5
