searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
8BITDO 64 BLUETOOTH CONTROLLER,19,2025-03-02,23.95,50.0,35.06,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-281aea00-289c-4f36-befb-29b81a4214a7
ACER INTEL ARC B580 NITRO,19,2025-03-03,325.0,394.99,353.51,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e95ca655-aed0-4ff3-b331-e10efb2cf88a
ALIENWARE 27 INCH 240HZ GAMING MONITOR AW2721D,7,2025-02-13,275.0,450.0,324.14,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-724e7f18-6e9b-40d7-8907-885f5f28218d
AMD RYZEN 7 9800X3D DESKTOP PROCESSOR,18,2025-03-03,525.0,609.0,554.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-00b200a6-10a2-4cf0-9e0f-2d33f761257f
AMD RYZEN 9 9900X3D DESKTOP PROCESSOR,11,2025-03-03,325.0,534.0,406.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-adca9a12-ecc8-4bfb-9152-c055ff541c78
AMD RYZEN 9 9950X3D DESKTOP PROCESSOR,18,2025-03-03,435.0,584.99,513.49,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1dbf2b06-66e8-4977-aea4-1c7829e4a392
ASROCK B850I LIGHTNING MOTHERBOARD,7,2025-03-02,135.0,247.79,190.68,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1dd84e36-7cbd-49bb-aa25-2ed143610078
ASROCK INTEL ARC B580 CHALLENGER OC,10,2025-03-03,310.0,380.0,354.74,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4fa6d4b0-7dfd-481c-8152-d1bfe86c1e65
ASROCK PHANTOM GAMING X870E NOVA WIFI MOTHERBOARD,12,2025-02-21,479.0,528.99,501.15,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3a1d0f39-190b-42f4-8a84-cc1d48be438b
ASROCK PHANTOM GAMING X870E TAICHI LITE MOTHERBOARD,7,2025-02-21,479.0,539.0,509.28,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c2772b0c-d908-4b9f-8d64-155446836bcb
ASROCK PHANTOM GAMING X870E TAICHI MOTHERBOARD,18,2025-02-25,458.99,650.0,549.94,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-53e4ff3d-820d-4d5b-a8bc-b134c54a7ea0
ASROCK RADEON RX 7900 XTX PHANTOM GAMING OC,8,2025-03-03,939.99,1249.99,1136.37,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d31738c8-b780-4fc9-b527-4b72651bc43f
ASUS GEFORCE RTX 5070 PRIME,19,2025-03-01,1200.0,1488.0,1310.24,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6d8f7552-45a3-42ae-97f4-fbe5a30d02d7
ASUS GEFORCE RTX 5070 PRIME OC,17,2025-03-01,1207.76,1600.0,1343.57,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a045d1a8-f684-497e-9035-8dcd90d6c174
ASUS GEFORCE RTX 5070 TI PRIME,19,2025-03-01,1200.0,1488.0,1310.24,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b3e54bb8-b573-4d4c-8c55-505c186ce73b
ASUS GEFORCE RTX 5070 TI PRIME OC,18,2025-03-01,1207.76,1600.0,1336.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e099764a-fc19-451a-a06e-edb802e72a15
ASUS GEFORCE RTX 5070 TI TUF,23,2025-03-03,1199.99,1384.0,1266.51,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bdef9d80-b8c6-48f8-9cb7-b952f03b1777
ASUS GEFORCE RTX 5070 TI TUF OC,23,2025-03-03,1199.99,1384.0,1272.9,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f3d938a5-67f4-4fa5-9fd3-91ee04eaa71e
ASUS GEFORCE RTX 5070 TUF,22,2025-03-03,1199.99,1384.0,1264.3,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e802051e-8202-4888-8d1a-8c713e0f2871
ASUS GEFORCE RTX 5070 TUF OC,24,2025-03-03,1199.99,1398.0,1278.11,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8ae03a63-ba18-46ff-96bc-cb938c978800
ASUS GEFORCE RTX 5080 ASTRAL OC,28,2025-03-03,1972.69,3299.88,2171.95,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-16478ca8-571a-4dd5-9b76-79e42e547bb8
