searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
1 year barbie signature membership hnb07,1,2024-03-16,75.0,75.0,75.0,$9.99,$56.01,$11.35,https://quickchart.io/chart/render/sf-87f6cce7-ebf9-4143-8916-4777c962b74b
1977 superstar barbie doll reproduction hby11,18,2024-05-22,47.99,139.99,74.31,$40.00,$25.39,$45.45,https://quickchart.io/chart/render/sf-1a6ec6fe-a481-4b7f-857d-30f91d5ee090
2020 holiday barbie doll blonde long hair gnr92,7,2024-05-27,22.5,55.0,30.93,$40.00,$-12.78,$45.46,https://quickchart.io/chart/render/sf-89eae596-56a8-4962-a0a3-a1c8433614ec
2021 holiday barbie doll gxl22,20,2024-05-27,19.99,38.2,25.77,$36.00,$-13.32,$40.91,https://quickchart.io/chart/render/sf-27a75568-9c66-4a01-a64a-5241f587e568
2021 holiday barbie doll gxl23,19,2024-05-27,17.0,38.2,24.44,$36.00,$-14.49,$40.91,https://quickchart.io/chart/render/sf-ad43348a-ef67-43a8-8b5e-e9580da9d828
2022 barbie dia de muertos doll hby09,15,2024-05-27,44.95,112.54,59.46,$80.00,$-27.68,$90.91,https://quickchart.io/chart/render/sf-d6940bf8-d705-4b67-8ef9-946cc01dff00
2022 dia de muertos benito santos barbie doll hby01,7,2024-05-29,415.0,464.24,434.17,$100.00,$282.07,$113.63,https://quickchart.io/chart/render/sf-bb4d6364-8432-4b01-9008-08bf4ea008a4
2022 holiday barbie doll hby06,18,2024-05-30,18.0,54.95,31.21,$45.00,$-17.54,$51.14,https://quickchart.io/chart/render/sf-09930679-3766-4300-b185-68b20d39d5b4
2022 holiday barbie doll hcc05,14,2024-05-30,30.0,65.0,47.51,$45.00,$-3.19,$51.14,https://quickchart.io/chart/render/sf-18240437-45dc-4a1d-831a-cbcc820ee98e
2022 holiday barbie doll hby07,15,2024-05-30,22.49,54.99,38.02,$45.00,$-11.54,$51.14,https://quickchart.io/chart/render/sf-9fcd7e87-3184-484c-8322-25280a6f5efc
2022 holiday barbie doll hby08,15,2024-05-30,20.99,54.99,37.09,$45.00,$-12.36,$51.14,https://quickchart.io/chart/render/sf-65823f30-50f3-4836-a67d-fb903dcf28e3
2022 ken dia de muertos doll hby10,15,2024-05-19,44.95,79.99,57.86,$80.00,$-29.08,$90.91,https://quickchart.io/chart/render/sf-0d2c15d8-7fa7-4a9e-8ca2-e21d0396dbfa
barbie birthday wishes doll hjx02,17,2024-05-29,25.0,75.0,37.76,$30.00,$3.23,$34.09,https://quickchart.io/chart/render/sf-e3454f04-63c2-461b-8574-660a659b813a
2023 barbie lunar new year doll hjx35,15,2024-05-26,45.99,119.99,74.67,$55.00,$10.71,$62.50,https://quickchart.io/chart/render/sf-964f7976-db11-4618-b264-1b95aea4d51b
2023 barbie lunar new year doll designed by guo pei hjx03,10,2024-05-26,74.99,125.0,96.28,$80.00,$4.73,$90.90,https://quickchart.io/chart/render/sf-10c5742e-7628-424e-a5bb-bcb0943f6679
2023 dia de muertos barbie doll hjx14,13,2024-05-30,105.93,245.95,201.07,$75.00,$101.94,$85.22,https://quickchart.io/chart/render/sf-888cd9d7-9246-46e3-99a8-52d41b904161
2023 dia de muertos barbie x pink magnolia doll hjx16,20,2024-05-30,190.5,275.0,215.87,$100.00,$89.97,$113.63,https://quickchart.io/chart/render/sf-d6873c1f-e9c0-43ce-bc7e-4481db8da909
2023 dia de muertos ken doll hjx15,6,2024-05-29,40.0,144.99,62.66,$75.00,$-19.86,$85.23,https://quickchart.io/chart/render/sf-f1eb6aa5-918b-4773-8488-680158b10c90
2023 holiday barbie doll hjx09,18,2024-05-24,32.0,95.0,45.25,$45.00,$-5.18,$51.14,https://quickchart.io/chart/render/sf-467a1f6c-088e-4f3a-bd4c-657f359881d4
2023 holiday barbie doll hjx11,19,2024-05-24,32.0,95.0,45.76,$45.00,$-4.73,$51.14,https://quickchart.io/chart/render/sf-b25db5d2-0ec0-4b48-aa4d-a23f3dcae1d0
2023 holiday barbie doll hjx08,20,2024-05-24,32.0,95.0,43.63,$45.00,$-6.61,$51.14,https://quickchart.io/chart/render/sf-86c2de4c-1e41-4271-9f35-7172d45d0250
