searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
ALIENWARE 27 INCH 240HZ GAMING MONITOR AW2721D,16,2024-08-16,270.0,450.0,353.81,$750.00,$-438.65,$852.28,https://quickchart.io/chart/render/sf-98f3c92f-7cda-4d13-ab79-4283d4c3181c
ASUS B250 LGA1151 MINING MOTHERBOARD,18,2024-08-16,47.95,145.0,77.26,$225.00,$-157.01,$255.69,https://quickchart.io/chart/render/sf-84402488-4a51-43b0-a0a7-8db4c538d034
ASUS GEFORCE RTX 3080 STRIX EVA,18,2024-08-16,379.5,1049.99,554.47,$850.00,$-362.07,$965.91,https://quickchart.io/chart/render/sf-86cfc3ea-5d28-4fc6-95ad-87a8a49df834
ASUS GEFORCE RTX 3080 STRIX OC WHITE V2,16,2024-08-16,390.0,649.0,440.5,$1100.00,$-712.36,$1250.01,https://quickchart.io/chart/render/sf-becf9134-4343-4878-83c1-d48c484c1ec5
ASUS GEFORCE RTX 3090 STRIX OC,18,2024-08-12,699.99,1200.0,876.09,$1300.00,$-529.04,$1477.28,https://quickchart.io/chart/render/sf-d22f6bf3-d0bc-4f8f-a72b-0df32590e9c5
ASUS GEFORCE RTX 3090 TI STRIX OC EVA,20,2024-08-15,549.0,1019.99,704.74,$1350.00,$-729.83,$1534.10,https://quickchart.io/chart/render/sf-c1b84841-c2aa-47a9-b7a2-10a9f5cd9c46
ASUS GEFORCE RTX 3090 TUF,19,2024-08-16,686.0,999.99,767.52,$1200.00,$-524.58,$1363.64,https://quickchart.io/chart/render/sf-1e1d43b0-1ca8-4e06-a8e4-6e812b7c024f
ASUS GEFORCE RTX 4080 SUPER STRIX,22,2024-08-06,875.0,1581.31,1138.52,$1500.00,$-498.10,$1704.55,https://quickchart.io/chart/render/sf-84b0d0a4-7e85-42d1-b5b2-07f83f3fbd82
ASUS GEFORCE RTX 4090 EVA V2,20,2024-08-17,799.99,3097.73,1465.56,$3000.00,$-1710.31,$3409.10,https://quickchart.io/chart/render/sf-83d52334-3b13-4b64-8358-d42e0c7d44b5
ASUS GEFORCE RTX 4090 STRIX,21,2024-08-17,1575.5,4100.0,2151.34,$2200.00,$-306.82,$2500.00,https://quickchart.io/chart/render/sf-8e2ca9cd-33c7-4265-bf48-91249f46eb5c
ASUS GEFORCE RTX 4090 STRIX LC OC,21,2024-08-15,1399.99,3061.28,1747.99,$2200.00,$-661.77,$2500.00,https://quickchart.io/chart/render/sf-5b89cbe7-05d9-4d3b-9f63-5e6b71153671
ASUS GEFORCE RTX 4090 STRIX WHITE,24,2024-08-16,1799.99,3563.99,2225.82,$2200.00,$-241.28,$2500.00,https://quickchart.io/chart/render/sf-14608f24-39c4-4be4-ac35-7ee2bb17a65d
ASUS GEFORCE RTX 4090 TUF,23,2024-08-17,1099.0,2099.95,1589.77,$2200.00,$-801.00,$2500.00,https://quickchart.io/chart/render/sf-2f553899-ae17-4c7a-b996-ef30ad3ecad7
ASUS GEFORCE RTX 4090 TUF OG,6,2024-08-12,1500.0,2000.0,1721.91,$3000.00,$-1484.72,$3409.10,https://quickchart.io/chart/render/sf-1500f596-0f74-4c7d-b0d5-9dcb9af6f8f4
ASUS ROG FLOW Z13-ACRNM RMT02 GAMING LAPTOP TABLET,10,2024-08-04,1136.11,3550.0,2152.51,$2800.00,$-905.79,$3181.82,https://quickchart.io/chart/render/sf-9b1c614c-498a-4df0-8365-4ea678500732
ASUS ROG STRIX X570-I GAMING MINI-ITX MOTHERBOARD,21,2024-08-14,151.99,350.0,205.78,$300.00,$-118.91,$340.91,https://quickchart.io/chart/render/sf-8aad8734-1775-4f5f-9d56-fcbc635765b3
AUSSTRALIAN GOLD DARK TANNING ACCELERATOR LOTION,17,2024-08-14,13.75,29.35,19.7,$1.00,$16.34,$1.13,https://quickchart.io/chart/render/sf-044b256c-4201-429d-a20d-bc93ba3c7dd5
BARBIE 50TH ANNIVERSARY BARBIE GLAMOUR AFRICAN AMERICAN DOLL,22,2024-08-16,46.0,83.0,57.81,$175.00,$-124.13,$198.87,https://quickchart.io/chart/render/sf-5342bec5-fc7f-4981-bc40-4ae77d58beef
BARBIE DIA DE LOS MUERTOS DOLL,9,2024-08-17,165.0,475.0,306.66,$120.00,$149.86,$136.36,https://quickchart.io/chart/render/sf-fa443af3-96a4-428b-8172-ffc09ff4bbdf
BARBIE IN INLINE SKATING OUTFIT THE MOVIE EXCLUSIVE,15,2024-08-17,18.0,49.99,24.7,$40.00,$-18.26,$45.46,https://quickchart.io/chart/render/sf-12452800-cdfd-4360-9f72-8ede131fe0e3
BARBIE INSPIRING WOMEN DOLL WILMA MANKILLER COLLECTIBLE TURQUOISE DRESS,26,2024-08-15,130.0,205.0,150.16,$100.00,$32.14,$113.63,https://quickchart.io/chart/render/sf-531d09a2-1e58-4cc9-b0c7-ab974fc0f4c9
BARBIE PRINCESS LEIA STAR WARS DOLL,18,2024-08-14,199.13,519.95,262.71,$110.00,$121.18,$124.99,https://quickchart.io/chart/render/sf-8de38769-af3c-41f3-94f5-50234ae1c0b7
BARBIE SIGNATURE DOLL MARIA FELIX WEARING ELEGANT GLIMMERING GOLD,7,2024-08-17,45.0,65.0,52.97,$60.00,$-13.39,$68.19,https://quickchart.io/chart/render/sf-db0fd64f-7ed0-44d4-9044-389af382ba62
