searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
1 year barbie signature membership hnb07,1,2024-03-16,75.0,75.0,75.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6fd13d9b-7e00-44ae-a752-051a8e8cedc5
1 year mhc digital membership hwv35,0,nan,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a07786e6-a1c9-4896-9bef-424de2ff1e2f
1 year rlc digital membership hnb06,0,nan,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-788cb424-6af7-464b-993d-a947d27aac2d
18 dodge challenger srt demon hww83,26,2024-04-15,65.0,99.99,84.07,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d2fbf4fb-5f75-4890-9e39-1e29aa7a382b
1977 superstar barbie doll reproduction hby11,17,2024-04-16,39.89,100.0,56.9,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-eb44142c-2015-495f-9577-bef832b69bda
1988 jeep wagoneer hww85,24,2024-04-17,1.25,175.0,52.79,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d683c3f7-7a5d-4990-b7b4-8149138f47e8
1 64 hot wheels cybertruck r c gxg30,11,2024-04-16,18.75,25.19,22.7,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c11b512d-85dd-4810-969d-a176278fb20c
2019 hot wheels team transport c case pack of 4 cflf56,3,2024-04-18,48.99,99.99,74.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e246d875-6942-4eda-8b24-b6c24c61582a
2019 hot wheels team transport d case pack of 4 dflf56,7,2024-04-01,65.0,84.9,73.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bd5505d4-6981-4941-9d2f-33788668be61
2019 hot wheels team transport e case pack of 4 aflf56,26,2024-04-18,61.99,89.99,73.21,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4e877b6b-1499-44df-8130-165cae9d39c8
2019 hot wheels team transport f case pack of 4 bflf56,4,2024-04-17,48.99,84.9,66.21,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4d3d54dd-4294-4b82-a55a-c36a81a53dc3
2020 holiday barbie doll blonde long hair gnr92,9,2024-04-10,17.0,38.0,25.42,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d656d573-fc43-4c0b-93c0-ad96a4b4af55
