searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Transformation Mask Japanese Booster Box,11,2024-04-18,57.39,79.99,61.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0cf0c0d3-3cfb-473e-a7cc-677b85f387fa
Crimson Haze Japanese Booster Box,18,2024-04-19,46.99,99.0,57.95,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2f32d48e-da69-4553-aba1-a702f81a532b
Wild Force Japanese Booster Box,10,2024-04-18,51.03,109.99,81.92,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-02f25a3c-cfe1-4e2d-9cb7-c688c9e6ba8f
Cyber Judge Japanese Booster Box,8,2024-04-18,65.0,109.99,90.05,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6f2bae1f-ffae-4e4f-840b-7153a8a00423
Shiny Treasure ex Japanese Booster Box,7,2024-04-18,47.49,147.5,78.9,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8c49fa08-e4e0-4345-9f52-806856d3919a
Future Flash Japanese Booster Box,11,2024-04-17,39.99,84.99,49.08,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d6c411ee-13b9-441e-8b9c-4fc9c59ed6d7
Ancient Roar Japanese Booster Box,13,2024-04-19,42.0,84.99,53.01,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1b6a4129-f12b-4e60-80b4-1063e3ab99b0
Raging Surf Japanese Booster Box,9,2024-04-18,40.0,75.0,52.57,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-408f9af1-51e1-4b08-8121-e36bd8579d85
Ruler of the Black Flame Japanese Booster Box,7,2024-04-17,53.69,99.0,68.21,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d6b2db29-fa5b-43a7-a86d-fd0b0f57e67d
Pokemon 151 Japanese Booster Box,12,2024-04-19,97.88,199.0,123.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5a990c15-70fc-488b-a5b6-396b70ca440c
