searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Scarlet & Violet - Twilight Masquerade Booster Box,25,74.99,199.99,105.68,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-dedf1503-6000-4c73-8470-cb2ec5005a1a
Scarlet & Violet - Temporal Forces Booster Box,32,86.0,165.99,105.24,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-404eda9b-1be1-4f85-99bc-8826dec602af
Scarlet & Violet - Paldean Fates Booster Box,16,29.0,99.0,47.16,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-47aa0f55-3ef0-4f14-8ea0-02ab9b5755bc
Scarlet & Violet - Paradox Rift Booster Box,24,70.0,116.19,86.08,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-085daf31-8eb4-4b31-a437-cbe5e718ea8f
Scarlet & Violet - 151 Booster Box,14,135.0,198.5,161.49,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d8b33f53-dfd9-49b6-844e-34049047840d
Scarlet & Violet - Obsidian Flames Booster Box,28,80.0,187.5,103.3,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2e6e1011-bc51-4d86-88b6-b01e937e72c7
Scarlet & Violet - Paldea Evolved Booster Box,13,88.0,574.99,175.8,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5feb3c86-33cf-4cda-82d7-c8d187328dbf
Scarlet & Violet Booster Box,6,89.99,198.5,142.35,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-283016f2-6f87-4f28-a32e-f58e323921c4
Crown Zenith Booster Box,8,42.71,97.0,62.02,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-dda619f6-c87a-4fc0-b0aa-2cd44bc07da4
Sword & Shield - Silver Tempest Booster Box,11,107.5,300.0,139.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cda96557-ff8b-4ab6-b398-08767dd8d5c9
Sword & Shield - Lost Origin Booster Box,10,94.66,270.09,166.2,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-96c0434f-4cd8-42e1-a74e-7ae7a5539409
Pokémon TCG: Pokémon GO Booster Box,8,20.0,69.99,39.01,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e24368cb-9e64-4619-97ec-1d638dc686dc
Sword & Shield - Astral Radiance Booster Box,14,118.09,220.71,141.36,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ee5bbb76-530f-4fe0-830f-db2035c7791c
Sword & Shield - Brilliant Stars Booster Box,14,145.0,211.01,166.09,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0699a5b2-fe65-4fbe-bd40-286d5ad2d860
Sword & Shield - Fusion Strike Booster Box,25,200.0,350.0,243.24,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7e40b728-2d1f-4c4c-9d3a-c91ad922e561
Celebrations Booster Box,29,65.0,324.95,122.04,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f9872fda-eca2-451c-ab54-73caccfc5908
Sword & Shield - Evolving Skies Booster Box,17,405.0,688.88,643.38,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-85a7c268-75b9-4e5e-8705-12939d406001
Sword & Shield - Chilling Reign Booster Box,20,162.06,450.0,216.63,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f74f1770-8607-4d77-b005-b73a23758e31
Sword & Shield - Battle Styles Booster Box,15,105.0,138.19,115.97,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f0a984b5-a667-4eea-87a2-10a31a78f549
Shining Fates Booster Box,32,6.75,162.0,34.75,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-71f9cbfc-dfd2-44a1-b558-2ff4374246d9
Sword & Shield - Vivid Voltage Booster Box,21,99.99,163.3,129.9,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-28f97c51-3113-4306-86c3-6d2ef7279f99
Champion's Path Booster Box,18,56.55,129.79,86.18,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3c4b2f65-6003-4e8d-854e-d0cfd5e955ac
Sword & Shield - Darkness Ablaze Booster Box,27,124.72,300.0,167.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-549b992f-4abd-46e4-a0bd-822b5f71623f
Sword & Shield - Rebel Clash Booster Box,37,149.98,357.08,208.49,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7dba82b4-8bae-4a51-9c46-4f1b09915c33
Sword & Shield Booster Box,13,145.0,675.0,292.67,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-00f1cd3c-cae1-4c00-bbbc-bad8618e2de7
