searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
monster high clawdeen wolf reproduction doll hgc30,https://streamline1175.github.io/130-Search-Results/monster_high_clawdeen_wolf_reproduction_doll_hgc30.html,28,26.0,130.52,62.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8df3a2b3-2ada-414b-a29c-8111d3d01414
monster high skullector the nightmare before christmas dolls hnf99,https://streamline1175.github.io/130-Search-Results/monster_high_skullector_the_nightmare_before_christmas_dolls_hnf99.html,15,200.0,249.99,222.14,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0bf8663e-a88a-422e-b211-94058ea77514
monster high fang vote rochelle goyle doll hky89,https://streamline1175.github.io/130-Search-Results/monster_high_fang_vote_rochelle_goyle_doll_hky89.html,45,164.5,326.8,191.64,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d5cd26dc-7b71-4176-b22b-8a04eb82f51b
beetlejuice lydia deetz monster high collector dolls gwf82,https://streamline1175.github.io/130-Search-Results/beetlejuice_lydia_deetz_monster_high_collector_dolls_gwf82.html,8,489.95,600.51,532.6,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a7040bea-e210-4b9c-87a6-1902a714d509
monster high freak du chic draculaura figure hlp90,https://streamline1175.github.io/130-Search-Results/monster_high_freak_du_chic_draculaura_figure_hlp90.html,12,114.99,202.5,137.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f3b006bf-7120-4dd6-855c-e24811c29585
monster high haunt couture draculaura doll hgk10,https://streamline1175.github.io/130-Search-Results/monster_high_haunt_couture_draculaura_doll_hgk10.html,30,395.0,595.0,443.24,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f655fe9f-364e-4a4c-9b90-fc13c8581442
monster high clawdeen haunt couture doll hgk11,https://streamline1175.github.io/130-Search-Results/monster_high_clawdeen_haunt_couture_doll_hgk11.html,19,102.5,149.95,127.28,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d2fd6233-9cc5-4168-8cfb-948731f7b859
dracula monster high skullector doll hdw24,https://streamline1175.github.io/130-Search-Results/dracula_monster_high_skullector_doll_hdw24.html,9,107.0,348.88,152.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-53cfccfa-3474-4dba-af21-baa267fea9cb
monster high skullector elvira doll hlp89,https://streamline1175.github.io/130-Search-Results/monster_high_skullector_elvira_doll_hlp89.html,16,179.0,215.0,194.21,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-74ec1a4b-7c27-4c09-80a8-54725ca29192
monster high reel drama frankie stein doll hkn29,https://streamline1175.github.io/130-Search-Results/monster_high_reel_drama_frankie_stein_doll_hkn29.html,12,95.0,202.28,127.09,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3475a8fb-48d0-4081-ac1a-33b7ecbef1b2
