searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
rlc exclusive 2023 mainline factory sealed set hkl75,14,2024-05-16,950.0,1155.0,1074.21,$600.00,$345.30,$681.81,https://quickchart.io/chart/render/sf-204487a8-733d-42ce-868b-131ded8bb9b3
monster high haunt couture draculaura doll hgk10,10,2024-05-10,380.0,499.99,440.85,$75.00,$312.95,$85.22,https://quickchart.io/chart/render/sf-9361055f-21ce-4240-b28d-5a15a93e30f2
2022 dia de muertos benito santos barbie doll hby01,13,2024-05-26,399.99,464.24,422.93,$100.00,$272.18,$113.63,https://quickchart.io/chart/render/sf-2f37f706-e4e7-4fe3-bab1-29e365d66348
rlc exclusive rwb porsche 930 w akira nakai figurine,11,2024-05-22,295.0,375.0,319.45,$30.00,$251.12,$34.09,https://quickchart.io/chart/render/sf-4503dda1-2232-41c4-b56a-4b9b66289008
2022 hot wheels super treasure hunt set hgk86,11,2024-05-22,439.99,1195.0,595.8,$250.00,$274.30,$284.09,https://quickchart.io/chart/render/sf-88a5019a-bf60-4c26-b75c-4fa669344695
hot wheels rlc treasure hunt set hnl32,25,2024-05-27,410.0,649.99,471.8,$250.00,$165.18,$284.09,https://quickchart.io/chart/render/sf-4ff3d8f7-08cc-440d-992d-8ac69557b57d
rlc exclusive 2020 super treasure hunt set glh99,20,2024-05-27,444.44,549.99,469.86,$249.99,$163.49,$284.07,https://quickchart.io/chart/render/sf-6587da7d-eca1-470b-a564-ee67e895786b
weird barbie barbie the movie hyb84,14,2024-05-27,71.0,99.99,83.25,$50.00,$23.26,$56.81,https://quickchart.io/chart/render/sf-1688d2f1-6b69-424e-a22d-97d11c8a7125
barbie inspiring women principal chief wilma mankiller doll hmt92,15,2024-05-10,165.0,209.99,183.8,$35.00,$126.74,$39.77,https://quickchart.io/chart/render/sf-f02fbb2e-00a4-4399-8b31-f86bd2564c3a
barbie signature music series doll hcb98,8,2024-05-26,150.0,230.0,176.94,$55.00,$100.71,$62.49,https://quickchart.io/chart/render/sf-4c34c9b6-ade7-4948-a0c1-5b7fa376ce5f
rlc exclusive lamborghini countach lp500 s,10,2024-05-24,44.0,170.0,86.64,$30.00,$46.24,$34.09,https://quickchart.io/chart/render/sf-f64db63e-ed5d-4f75-860c-f04d0520a73d
rlc exclusive nissan skyline gt r hgk73,18,2024-05-25,94.99,150.5,116.16,$25.00,$77.22,$28.40,https://quickchart.io/chart/render/sf-05418f1a-598a-40b1-b669-0f38d3ba8d1a
rlc exclusive kawa bug a 49 vw beetle hgk76,16,2024-05-27,90.0,149.99,136.12,$30.00,$89.79,$34.09,https://quickchart.io/chart/render/sf-7f3ba693-b62d-4377-9341-c277b5a1dc3b
jurassic world hammond collection ceratosaurus figure hfg71,14,2024-05-25,70.0,199.0,115.85,$22.00,$79.95,$25.00,https://quickchart.io/chart/render/sf-62acc2c7-03e1-46e2-acd7-706af3f9f031
nissan skyline gt r glh90,17,2024-05-28,22.0,231.12,62.27,$30.00,$24.80,$34.09,https://quickchart.io/chart/render/sf-6e4e356a-3ef4-4c98-bf12-3e299df1581f
monster high reel drama clawdeen wolf doll hkn28,12,2024-05-12,86.97,199.95,113.82,$27.00,$73.16,$30.68,https://quickchart.io/chart/render/sf-8ff40e79-b6f0-4c09-9fcb-9b54ff41e858
mattel creations monster high x figure8 gwv47,3,2024-05-09,124.95,200.0,154.63,$30.00,$106.07,$34.09,https://quickchart.io/chart/render/sf-3367453a-2f55-4e87-90ee-65680e393352
masters of the universe origins thunder punch he man deluxe action figure hkm81,7,2024-05-24,79.0,129.95,100.12,$22.00,$66.11,$25.00,https://quickchart.io/chart/render/sf-8f5f944e-85c8-43a0-a9f0-5535c954cdca
bape hot wheels 1955 mercedes benz 300 sl hjp38,14,2024-05-23,120.0,200.0,132.63,$50.00,$66.71,$56.81,https://quickchart.io/chart/render/sf-3512b555-6e99-444c-a5a3-e6393176fa8c
mattel creations hot wheels x figure8 gwv45,11,2024-05-28,100.0,199.99,165.53,$30.00,$115.67,$34.09,https://quickchart.io/chart/render/sf-b81f7880-3794-4780-8388-5984bcaa9211
rlc exclusive holiday 64 impala,10,2024-05-24,83.0,133.19,103.61,$30.00,$61.18,$34.09,https://quickchart.io/chart/render/sf-d01fb2db-fa88-4b11-b38a-ff709028ba88
rlc exclusive 1969 chevy c 10 glh94,7,2024-05-25,77.0,115.0,92.29,$29.99,$51.23,$34.07,https://quickchart.io/chart/render/sf-c2365fd7-6f0a-4f6f-a971-072690be3d4d
rlc exclusive volkswagen drag bus glh95,14,2024-05-26,65.0,188.86,85.26,$24.99,$50.04,$28.39,https://quickchart.io/chart/render/sf-95ddc4bd-27f7-4135-bd1f-aee5853c6982
jurassic world hammond collection dr alan grant figure hfg57,11,2024-05-27,59.99,89.5,71.76,$15.00,$48.15,$17.04,https://quickchart.io/chart/render/sf-023992ef-93ce-4904-80f1-d28810ab549b
rlc exclusive 2020 convention 70 mustang boss 302 glh81,11,2024-05-26,58.0,94.99,80.14,$25.00,$45.52,$28.40,https://quickchart.io/chart/render/sf-091d4957-8708-4b61-85ed-1f03317bb83d
rlc exclusive pink editions nissan skyline gt r hnl06,11,2024-05-22,84.99,89.99,88.53,$28.00,$49.91,$31.81,https://quickchart.io/chart/render/sf-e71639e0-6bed-47cc-a2b6-9e50415f2012
60th anniversary midge vintage reproduction doll hjx25,15,2024-05-22,74.99,199.99,111.73,$55.00,$43.32,$62.50,https://quickchart.io/chart/render/sf-cd9f439a-5fa3-482e-8b43-4b291a6161eb
jurassic world hammond collection dinosaur figure irritator hlt28,14,2024-05-27,33.2,159.99,77.13,$22.00,$45.87,$25.00,https://quickchart.io/chart/render/sf-46f84e78-6935-4b02-8d5a-deb0f756f1a8
rlc exclusive 1991 bmw m3 gxj17,24,2024-05-24,59.0,150.0,78.53,$30.00,$39.11,$34.09,https://quickchart.io/chart/render/sf-61217709-f59d-4b2e-9a6b-5c4bf2965f91
jurassic world hammond collection triceratops figure hfg72,17,2024-05-27,27.6,129.99,53.85,$22.00,$25.39,$24.99,https://quickchart.io/chart/render/sf-e2552e99-fd57-4eda-a262-1e116fb616b8
star wars x barbie darth vader inspired doll ght80,11,2024-05-13,134.99,180.0,160.22,$100.00,$40.99,$113.63,https://quickchart.io/chart/render/sf-956a27f0-3a24-42bf-aae0-7a91e93a705f
barbie fashion photo p j doll reproduction hjx24,21,2024-05-11,89.99,125.0,102.1,$55.00,$34.85,$62.50,https://quickchart.io/chart/render/sf-f844c09d-385a-47d3-a44f-3cc5f90626fc
wwe elite collection cm punk returns action figure jdw50,9,2024-05-17,69.97,225.0,124.33,$25.00,$84.41,$28.40,https://quickchart.io/chart/render/sf-ede28f00-042a-4ebd-a370-babb693e78c4
mattel creations masters of the universe x figure8 gwv43,16,2024-05-25,39.99,109.99,56.84,$30.00,$20.02,$34.09,https://quickchart.io/chart/render/sf-a43f1cea-ad59-44f6-b577-cc59c36deeca
rlc exclusive 1969 dodge charger r t glh82,11,2024-05-16,54.99,99.99,71.26,$24.99,$37.72,$28.39,https://quickchart.io/chart/render/sf-acdca5cf-e0fd-4df1-9b74-ebe09b12f696
rlc exclusive 71 datsun 510 glh93,13,2024-05-25,55.0,249.99,119.59,$24.98,$80.26,$28.38,https://quickchart.io/chart/render/sf-f4066283-4cda-44bf-85f7-0dcadf91a4a1
masters of the universe origins snake trooper action figure hkm74,9,2024-05-26,41.95,79.99,53.21,$18.00,$28.82,$20.45,https://quickchart.io/chart/render/sf-e815b77e-a1cf-4ad2-b235-f07d79dac9bc
masters of the universe origins tung lashor action figure hkm70,9,2024-05-16,43.0,79.99,54.97,$18.00,$30.37,$20.45,https://quickchart.io/chart/render/sf-38d514da-f714-44ea-b519-a80f5380cdc0
rlc exclusive honda s2000 hgw15,17,2024-05-27,49.0,149.99,67.0,$25.00,$33.96,$28.40,https://quickchart.io/chart/render/sf-ed9f13c4-51e7-4e77-8d0a-108f8747948b
jurassic world hammond collection velociraptor figure hfg65,6,2024-05-26,19.99,29.95,24.59,$15.00,$6.64,$17.04,https://quickchart.io/chart/render/sf-4e6533a3-a787-4947-af4d-1d2c2e2efa29
