searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
1 year barbie signature membership hnb07,1,2024-03-16,75.0,75.0,75.0,$9.99,$56.01,$11.35,https://quickchart.io/chart/render/sf-fa11b58c-1d65-4705-9fca-c2b9688bbeba
1 year mhc digital membership hwv35,0,nan,nan,nan,nan,$9.99,$nan,$nan,https://quickchart.io/chart/render/sf-97e35b7b-08d4-4551-8508-a428692a03d3
1 year rlc digital membership hnb06,0,nan,nan,nan,nan,$9.99,$nan,$nan,https://quickchart.io/chart/render/sf-94658222-91cd-4364-9dfc-0d016ffbdccd
18 dodge challenger srt demon hww83,26,2024-04-15,65.0,99.99,84.45,$99.99,$-25.67,$113.63,https://quickchart.io/chart/render/sf-878d1e38-a1d3-42a4-8cac-dceffeb8c4b9
1977 superstar barbie doll reproduction hby11,17,2024-04-16,39.89,100.0,56.9,$40.00,$10.07,$45.45,https://quickchart.io/chart/render/sf-f2055dbf-665e-47a5-8a57-d59e465ae38e
1988 jeep wagoneer hww85,24,2024-04-17,1.25,149.0,45.78,$99.99,$-59.70,$113.63,https://quickchart.io/chart/render/sf-6cde7b13-ce3a-42eb-ba8f-28a151fae094
1 64 hot wheels cybertruck r c gxg30,11,2024-04-16,18.75,25.19,22.7,$23.00,$-3.02,$26.14,https://quickchart.io/chart/render/sf-c58fa27b-a9ff-4a23-b56f-d5c4c1ea2194
2019 hot wheels team transport c case pack of 4 cflf56,3,2024-04-18,48.99,99.99,77.96,$52.00,$16.60,$59.09,https://quickchart.io/chart/render/sf-d7a0d233-3c98-4795-9b17-e58d5fef23c0
2019 hot wheels team transport d case pack of 4 dflf56,8,2024-04-01,65.0,84.9,73.71,$52.00,$12.86,$59.09,https://quickchart.io/chart/render/sf-d5f3b3ec-ccbb-4a10-8bfc-fcc50c8e6c09
2019 hot wheels team transport e case pack of 4 aflf56,26,2024-04-18,61.99,89.99,73.21,$51.99,$12.43,$59.07,https://quickchart.io/chart/render/sf-ef430d6b-297e-4244-a057-c1129bb81cc3
2019 hot wheels team transport f case pack of 4 bflf56,4,2024-04-16,48.99,84.9,64.71,$51.99,$4.95,$59.07,https://quickchart.io/chart/render/sf-f89ae379-501e-4447-b646-fbd5d6e121c5
2020 holiday barbie doll blonde long hair gnr92,9,2024-04-10,17.0,38.0,25.42,$40.00,$-17.63,$45.46,https://quickchart.io/chart/render/sf-21f4e83d-a15c-4632-bce6-1352feaeeca7
2021 car culture mix 4 exotic envy fpy86d,10,2024-04-19,17.98,43.99,30.97,$54.99,$-27.74,$62.49,https://quickchart.io/chart/render/sf-1fe58033-1d6c-46bc-8093-9bd786824ba0
2021 car culture mix 7 modern classics fpy86g,4,2024-04-18,12.99,13.99,13.36,$55.00,$-43.24,$62.51,https://quickchart.io/chart/render/sf-80524854-c02c-49b1-8ef6-f76689f7363f
2021 holiday barbie doll gxl22,19,2024-04-13,19.99,52.99,28.97,$36.00,$-10.51,$40.91,https://quickchart.io/chart/render/sf-2b30a762-7899-4ac0-80fb-8e9e6ba48868
2021 holiday barbie doll gxl23,19,2024-04-13,19.99,39.99,27.5,$36.00,$-11.80,$40.91,https://quickchart.io/chart/render/sf-4c1830d6-1d08-4f94-b905-8285a1951a0b
2021 hot wheels car culture british horsepower fpy86a,10,2024-04-11,9.59,30.0,14.9,$54.99,$-41.88,$62.49,https://quickchart.io/chart/render/sf-1b4d0eb3-4d33-44e6-a5dc-3d6f904652c3
2022 barbie dia de muertos doll hby09,20,2024-04-19,39.0,109.37,55.07,$80.00,$-31.54,$90.91,https://quickchart.io/chart/render/sf-a5e8502c-f508-4515-8511-74cd93d96080
2022 dia de muertos benito santos barbie doll hby01,7,2024-04-14,410.0,464.24,436.5,$100.00,$284.12,$113.63,https://quickchart.io/chart/render/sf-7c7e12bf-208b-4414-ab0a-6c4a0f48ec5c
2022 holiday barbie doll hby06,17,2024-03-25,17.95,52.99,34.18,$45.00,$-14.92,$51.14,https://quickchart.io/chart/render/sf-66e30f5a-9299-48e4-b47d-0e644efcf382
2022 holiday barbie doll hcc05,14,2024-03-25,19.99,52.5,33.18,$45.00,$-15.80,$51.14,https://quickchart.io/chart/render/sf-d5fae2fa-5523-4bee-bacc-497d5e330756
2022 holiday barbie doll hby07,13,2024-03-25,20.52,63.7,39.32,$45.00,$-10.40,$51.14,https://quickchart.io/chart/render/sf-480fc1be-b5c0-4436-bdd7-33d07ca232d6
2022 holiday barbie doll hby08,15,2024-04-06,22.72,74.99,41.24,$45.00,$-8.71,$51.14,https://quickchart.io/chart/render/sf-801a2a6b-bb25-41db-82c9-59b420cf3e6c
2022 hot wheels car culture mix 1 american scene case pack hff44,10,2024-04-17,10.0,32.75,15.67,$38.00,$-24.21,$43.19,https://quickchart.io/chart/render/sf-7bf7b370-c19e-4935-85d5-dbb2bb4cd77b
2022 hot wheels car culture mix 2 deutschland design case pack hff41,6,2024-04-17,19.49,39.49,30.78,$38.00,$-10.91,$43.19,https://quickchart.io/chart/render/sf-db96130b-7a5c-46bb-b55c-098430de71fd
2022 car culture mix 3 mountain drifters case pack hff43,4,2024-04-18,29.49,69.99,40.12,$35.00,$0.31,$39.77,https://quickchart.io/chart/render/sf-a864ecea-2af8-48d8-bf04-725191bf4918
hot wheels premium car culture speed machines 5 pack of toy cars hhf42,8,2024-04-19,30.0,109.99,55.49,$38.00,$10.83,$43.18,https://quickchart.io/chart/render/sf-795d3923-f666-4f24-bfd3-832b0a8f0c04
2022 ken dia de muertos doll hby10,18,2024-04-06,43.95,137.99,71.74,$80.00,$-16.87,$90.91,https://quickchart.io/chart/render/sf-f30bf134-16ac-4682-917f-ca6a71b239ef
2022 matchbox working rigs 4 pack hcc07,3,2024-04-12,17.99,24.77,20.92,$24.00,$-5.59,$27.28,https://quickchart.io/chart/render/sf-64db1871-c854-404c-9c77-714b021665d2
