searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
2022 RLC Membership 72 Nissan Skyline HT 2000 GTR HWCRLC2022,4,2024-04-10,34.0,45.0,39.25,$25.00,$9.54,$28.40,https://quickchart.io/chart/render/sf-e624035b-93e8-4334-8362-4a1bb2bd21d2
2023 RLC Membership 93 Ford Cobra R HWRLC2023,11,2024-04-27,33.99,42.9,36.72,$25.00,$7.31,$28.40,https://quickchart.io/chart/render/sf-9c222ff6-68fb-4423-846d-620e8ef0fb0d
2023 RLC Membership 93 Ford Cobra R HNL15,14,2024-04-25,32.95,60.0,41.66,$25.00,$11.66,$28.40,https://quickchart.io/chart/render/sf-00a3bd7a-37be-4849-b79c-fc1757a9f4db
Hot Wheels RLC 1972 Skyline HT 2000GTR HNL24,8,2024-04-22,37.05,58.57,42.45,$25.00,$12.36,$28.40,https://quickchart.io/chart/render/sf-1417b508-ae18-4aa6-bfbe-5d6bb0428e17
Hot Wheels RLC MercedesAMG G 63 4x4 HMY21,17,2024-04-26,41.97,66.25,49.53,$25.00,$18.59,$28.40,https://quickchart.io/chart/render/sf-f48edc17-ef76-4f7a-a2fd-47f154e2b566
Hot Wheels RLC Nissan Skyline GTR R34 HWF14,16,2024-04-27,84.99,174.95,112.33,$25.00,$73.85,$28.40,https://quickchart.io/chart/render/sf-c9efa743-0c08-4921-908c-aa5712fde7ce
Hot Wheels RLC 1955 MercedesBenz 300 SL  'Oxblood' HNL27,6,2024-04-25,35.0,49.99,41.58,$30.00,$6.59,$34.09,https://quickchart.io/chart/render/sf-6db7cba6-d28c-47a2-b7b0-2e8eeecb2aa2
RLC Exclusive '32 Ford HGW19,6,2024-04-13,43.84,59.99,50.14,$30.00,$14.12,$34.09,https://quickchart.io/chart/render/sf-26e3eb44-4455-41ce-9a39-aa6d48cf16a2
RLC Exclusive '68 Custom Plymouth Barracuda HWF13,17,2024-04-26,45.99,69.99,52.16,$25.00,$20.90,$28.40,https://quickchart.io/chart/render/sf-78c0edbb-d1ec-4b34-b478-fb4482868c5f
RLC Exclusive 1944 Willys MB GXJ27,17,2024-04-26,32.0,55.0,38.81,$35.00,$-0.85,$39.78,https://quickchart.io/chart/render/sf-84bd8c0d-bf37-405c-8589-c847156a8b9d
RLC Exclusive 1952 Dodge Power Wagon GXJ19,16,2024-04-26,32.0,65.0,39.55,$35.00,$-0.20,$39.78,https://quickchart.io/chart/render/sf-c4e817e7-8f94-437f-8551-4c29dd20faaa
RLC Exclusive 1962 Ford F100 GXJ18,19,2024-04-27,38.0,68.53,47.93,$25.00,$17.18,$28.40,https://quickchart.io/chart/render/sf-6a8f14f1-86d2-4479-a01c-3466f47cb640
RLC Exclusive 1962 Ford F100 HGW23,9,2024-04-09,36.0,68.54,48.29,$25.00,$17.50,$28.40,https://quickchart.io/chart/render/sf-d3b9b203-c746-45e3-b607-c446884f65f4
