searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Transformation Mask Japanese Booster Box card cards pack packs,5,2024-05-03,49.99,64.99,54.19,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9c0b2a2b-8c20-420d-a00d-52ce7c8d27c4
Crimson Haze Japanese Booster Box card cards pack packs,16,2024-05-02,33.34,69.9,49.72,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-683a1822-1fd3-433e-a311-903a674ed4fc
Wild Force Japanese Booster Box card cards pack packs,6,2024-04-24,12.25,43.0,28.79,N/A,N/A,N/A,https://quickchart.io/chart/render/zf-65dde9a1-dde3-4b2e-b02d-af2ac4d9a425
Cyber Judge Japanese Booster Box card cards pack packs,25,2024-05-01,12.47,147.5,35.41,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-448f9051-917b-463e-8a5b-1eff761e2e26
Shiny Treasure ex Japanese Booster Box card cards pack packs,6,2024-05-03,124.97,800.0,552.29,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-29acbee0-3cf3-430f-aaff-b1ce2a042c1f
Future Flash Japanese Booster Box card cards pack packs,6,2024-04-29,24.49,52.99,39.79,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8daf46a7-1502-4b3a-87e1-5e7ab0501208
Ancient Roar Japanese Booster Box card cards pack packs,6,2024-04-21,16.5,41.0,26.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a5cee6eb-91f2-45c1-8ea9-3d9b7b8cea6f
Raging Surf Japanese Booster Box card cards pack packs,9,2024-04-11,46.0,75.0,58.03,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c28b2042-4fb9-4955-a6db-c0d43f34c4ad
Ruler of the Black Flame Japanese Booster Box card cards pack packs,19,2024-04-30,32.0,52.0,41.47,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-007aaca9-63b6-41ff-b4f5-e152ee404b5a
Pokemon 151 Japanese Booster Box card cards pack packs,10,2024-05-03,4.51,355.0,109.43,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-58fb2822-93d4-4fcd-82b9-1b37c14e83aa
Clay Burst Japanese Booster Box card cards pack packs,20,2024-04-20,26.0,38.0,30.1,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7ecf891d-fb53-4870-a118-4c872fa2177e
