searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
barbie signature collectible fashion pack hrm19,3,2024-04-11,20.5,63.0,36.16,$25.00,$6.82,$28.40,https://quickchart.io/chart/render/sf-5e092d0e-3591-4c35-9eee-1e7fdc43ac2e
barbiestyle barbie and ken doll 2 pack hjw88,13,2024-04-23,85.0,186.91,134.85,$110.00,$8.67,$124.99,https://quickchart.io/chart/render/sf-345de1d0-3323-4d3d-ac71-cf877c4b14fc
1 64 hot wheels cybertruck r c gxg30,8,2024-04-16,19.95,25.19,23.38,$23.00,$-2.43,$26.14,https://quickchart.io/chart/render/sf-fb7817f7-e0fe-455e-becf-0176cc09a9d6
1977 superstar barbie doll reproduction hby11,19,2024-04-24,39.89,100.0,60.02,$40.00,$12.82,$45.45,https://quickchart.io/chart/render/sf-4e113bed-dd4e-4b42-9126-6ea0e55fd838
2019 hot wheels team transport c case pack of 4 cflf56,1,2024-04-26,21.99,21.99,21.99,$52.00,$-32.65,$59.10,https://quickchart.io/chart/render/sf-fa85a62b-8092-4c9e-9a1b-459b95c940e4
2019 hot wheels team transport d case pack of 4 dflf56,6,2024-03-24,69.0,84.9,75.79,$52.00,$14.70,$59.09,https://quickchart.io/chart/render/sf-8ae2ec39-eb93-4c85-81c6-6f0a3483cde0
2019 hot wheels team transport e case pack of 4 aflf56,26,2024-04-27,61.99,89.99,73.15,$51.99,$12.38,$59.07,https://quickchart.io/chart/render/sf-53b50c95-4e42-49c1-9393-52a72c8ad7ee
2019 hot wheels team transport f case pack of 4 bflf56,1,2024-03-14,84.9,84.9,84.9,$51.99,$22.72,$59.07,https://quickchart.io/chart/render/sf-6059d55d-ca10-4831-9cfb-a1531e7cbb55
2020 holiday barbie doll blonde long hair gnr92,9,2024-04-24,17.0,39.99,27.14,$40.00,$-16.12,$45.46,https://quickchart.io/chart/render/sf-8fc3fc87-6ff4-455c-92bc-2eb51d491a87
2021 car culture mix 4 exotic envy fpy86d,13,2024-04-27,19.99,45.0,35.57,$54.99,$-23.69,$62.49,https://quickchart.io/chart/render/sf-fa2a573e-b83e-4d40-b358-ac6b33a91216
