searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
2023 Panini Select Football Fat Pack,20,2024-08-15,15.8,735.88,153.44,$17.00,$118.03,$19.31,https://quickchart.io/chart/render/sf-31eca3cb-a56c-4e91-82a4-c4d0ed0bbc3d
2023 Panini Donruss Optic NFL Premium Box Set,22,2024-08-14,50.0,805.0,160.08,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-db9071b3-8630-47cb-a835-8b779014ccda
2024 Panini NFL Score-A-Treat Football Halloween Bundle,25,2024-08-15,32.99,95.0,45.79,$22.00,$18.30,$24.99,https://quickchart.io/chart/render/sf-024c5f8b-6bc3-425c-93a2-188db32c97ad
2023 Panini Donruss Optic NFL Hobby Box,29,2024-08-15,30.01,825.0,165.38,$780.00,$-634.47,$886.37,https://quickchart.io/chart/render/sf-fdf09c90-0453-4b28-aec5-fc45481ab83b
2024 Donruss Optic Football Trading Card Retail Box,14,2024-08-12,135.0,280.0,155.67,$100.00,$36.99,$113.63,https://quickchart.io/chart/render/sf-267fb778-7771-40a2-8674-59776b160313
NFL Panini 2024 Prizm Football Trading Card Retail Box,10,2024-08-13,124.5,184.99,150.34,$110.00,$22.30,$124.99,https://quickchart.io/chart/render/sf-ee328b25-4d61-47c0-a4c1-edb590c0764b
Fanatics Authentic Under Wraps 2024 NFL Single Football,7,2024-08-03,158.48,314.95,209.18,$500.00,$-315.92,$568.19,https://quickchart.io/chart/render/sf-e3ee0958-1d46-4b23-b9bf-9d9b163506c4
2022 Panini Select Football Blaster Box,10,2024-08-15,35.0,67.0,45.25,$30.00,$9.82,$34.09,https://quickchart.io/chart/render/sf-abaa1b10-b491-4a28-892e-d47fd9e4021b
2022 Panini Chronicles NFL Football Mega Box,7,2024-08-15,20.27,61.0,36.75,$40.00,$-7.66,$45.46,https://quickchart.io/chart/render/sf-85e27a77-eef7-4b80-9fdc-53166a252b84
2023 Panini Donruss Football Single NFL Fat Pack,28,2024-08-14,2.99,169.99,25.09,$8.00,$14.08,$9.09,https://quickchart.io/chart/render/sf-f46bdfd9-de97-4cf1-93ae-73e76da854f8
23 NFL Championship Collection Tin,15,2024-08-08,29.99,74.96,45.58,$25.00,$15.11,$28.40,https://quickchart.io/chart/render/sf-96d95b89-0b66-4353-9240-37e9a6043a1f
2023 Panini Select Football Hanger Box,9,2024-08-15,34.99,45.0,42.81,$22.00,$15.67,$24.99,https://quickchart.io/chart/render/sf-f4c249fb-e803-4db1-846e-e2646b2ead10
