searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
ASUS GEFORCE RTX 3090 TI STRIX OC EVA,7,2024-10-19,700.0,1000.0,835.43,$1350.00,$-614.82,$1534.10,https://quickchart.io/chart/render/sf-520af257-880d-4fb5-9a9b-d2b188a9a35b
ASUS GEFORCE RTX 3090 TI STRIX OC LC,9,2024-10-22,798.0,1300.95,963.54,$1500.00,$-652.08,$1704.55,https://quickchart.io/chart/render/sf-98a15a56-8b2d-4dde-9544-2ac0aba35646
ASUS GEFORCE RTX 3090 TUF,24,2024-10-23,625.0,919.99,760.37,$1200.00,$-530.87,$1363.64,https://quickchart.io/chart/render/sf-8f019c93-accd-48b0-bbb7-2f12c73228e2
ASUS GEFORCE RTX 3090 TUF OC,25,2024-10-23,625.0,919.99,759.95,$1200.00,$-531.24,$1363.64,https://quickchart.io/chart/render/sf-5a4a6623-25e3-42a8-80ff-7c4dccf16906
ASUS GEFORCE RTX 4080 SUPER STRIX,18,2024-10-22,818.76,1400.0,1103.4,$1500.00,$-529.01,$1704.55,https://quickchart.io/chart/render/sf-b739cf8d-9436-4f08-989f-0f46248a4321
ASUS GEFORCE RTX 4080 SUPER TUF,19,2024-10-24,449.99,1249.99,878.71,$1500.00,$-726.74,$1704.55,https://quickchart.io/chart/render/sf-b30b88a5-1249-48a6-ad41-b8f967269ad0
ASUS GEFORCE RTX 4090 EVA V2,21,2024-10-24,799.99,1975.0,1304.93,$3000.00,$-1851.66,$3409.10,https://quickchart.io/chart/render/sf-be6a0c0b-9215-4230-86f9-0e654f5db613
ASUS GEFORCE RTX 4090 MATRIX PLATINUM,18,2024-10-23,899.99,4799.0,1954.61,$3500.00,$-1779.94,$3977.28,https://quickchart.io/chart/render/sf-05203779-4ac6-4ca3-afe4-aaebfbc37bd6
ASUS GEFORCE RTX 4090 STRIX,20,2024-10-24,1200.0,3034.84,1850.5,$2200.00,$-571.56,$2500.00,https://quickchart.io/chart/render/sf-1bd688de-eb11-4a63-922e-16fc49f3c3d9
ASUS GEFORCE RTX 4090 STRIX LC,19,2024-10-24,930.0,3034.84,1522.09,$2200.00,$-860.56,$2500.00,https://quickchart.io/chart/render/sf-4ba12081-bbba-46c3-9ce7-cc39f9c3e998
ASUS GEFORCE RTX 4090 STRIX LC OC,19,2024-10-24,1025.0,3034.84,1558.43,$2200.00,$-828.58,$2500.00,https://quickchart.io/chart/render/sf-75a66370-9d0d-4ef9-82fb-07be832b0b6b
ASUS GEFORCE RTX 4090 STRIX OC,18,2024-10-24,1400.0,3499.0,2069.83,$2200.00,$-378.55,$2500.00,https://quickchart.io/chart/render/sf-89c0d55b-6f5d-4213-aeaa-5f9fc57d98e1
ASUS GEFORCE RTX 4090 STRIX WHITE,20,2024-10-24,1600.0,2369.0,1979.65,$2200.00,$-457.91,$2500.00,https://quickchart.io/chart/render/sf-c7932d30-1b02-4a34-8cff-b67cad07562e
ASUS GEFORCE RTX 4090 STRIX WHITE OC,22,2024-10-20,1600.0,3949.49,2049.66,$2200.00,$-396.30,$2500.00,https://quickchart.io/chart/render/sf-847f2e21-22b6-4f55-83bb-68c169e961b3
ASUS GEFORCE RTX 4090 TUF,16,2024-10-24,495.0,2434.95,1582.02,$2200.00,$-807.82,$2500.00,https://quickchart.io/chart/render/sf-f05d344e-30c2-495e-928a-ac30dc973009
ASUS GEFORCE RTX 4090 TUF OC,16,2024-10-24,495.0,2434.95,1578.84,$2200.00,$-810.62,$2500.00,https://quickchart.io/chart/render/sf-75e75b3e-fa5f-4a24-bcd3-d4f0668ce690
ASUS GEFORCE RTX 4090 TUF OG,25,2024-10-23,1500.0,1949.99,1728.59,$3000.00,$-1478.84,$3409.10,https://quickchart.io/chart/render/sf-34c16793-93be-4fc2-a3c4-e40a8ec666a1
ASUS ROG ALLY 7 120 HZ GAMING HANDHELD,20,2024-10-24,369.95,899.9,506.8,$600.00,$-154.02,$681.82,https://quickchart.io/chart/render/sf-00c02c7b-9fe4-450e-8b84-35298665b3e8
ASUS ROG FLOW Z13-ACRNM RMT02 GAMING LAPTOP TABLET,11,2024-10-23,825.0,3199.95,1708.31,$2800.00,$-1296.69,$3181.82,https://quickchart.io/chart/render/sf-b3accda5-a2fc-43b0-8817-84394ade52b8
ASUS ROG MAXIMUS Z790 MAXIMUS APEX MOTHERBOARD,16,2024-10-23,499.0,975.96,615.32,$750.00,$-208.52,$852.28,https://quickchart.io/chart/render/sf-a33708f3-f4c4-4c91-9a9b-5895a08d9c2a
ASUS ROG STRIX X570-I GAMING MINI-ITX MOTHERBOARD,10,2024-10-18,163.0,339.99,212.19,$300.00,$-113.27,$340.91,https://quickchart.io/chart/render/sf-8d8b1369-5bdf-4468-9538-831ff5950cbf
ASUS ROG SWIFT 32 4K OLED OLED MONITOR PG32UCDM,17,2024-10-24,949.0,2027.98,1238.51,$1400.00,$-310.11,$1590.91,https://quickchart.io/chart/render/sf-3ab4c9a1-28c6-4a6f-bd02-c538201485cd
AUSSTRALIAN GOLD DARK TANNING ACCELERATOR LOTION,15,2024-10-23,13.75,26.9,18.7,$1.00,$15.46,$1.13,https://quickchart.io/chart/render/sf-10348e40-adf1-44a8-91a6-5c59e8b8644e
BANDAI NAMCO ONE PIECE TCG ROMANCE DAWN BOOSTER BOX,16,2024-10-22,190.0,249.99,218.71,$100.00,$92.46,$113.63,https://quickchart.io/chart/render/sf-95aca871-67cf-4383-9cfd-e228b017dd6f
BARBIE 50TH ANNIVERSARY BARBIE GLAMOUR AFRICAN AMERICAN DOLL,23,2024-10-22,45.0,76.0,55.96,$175.00,$-125.76,$198.87,https://quickchart.io/chart/render/sf-76eaca38-b100-45da-9740-6bd28ec9e63b
BARBIE COLLECTOR STAR WARS DARTH VADER DOLL,17,2024-10-20,125.9,300.0,162.28,$150.00,$-7.19,$170.46,https://quickchart.io/chart/render/sf-5cdc440a-87e5-401d-acf5-37705d27c66e
