searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
1 year barbie signature membership hnb07,5,29.99,75.0,40.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e13d6476-c4b3-4d6c-878e-c12cf34142cd
1 year mhc digital membership hwv35,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c1266148-3b5b-46b4-9785-a037eed8eddf
1 year rlc digital membership hnb06,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e0814fa5-995e-4f48-9360-a7640f728515
18 dodge challenger srt demon hww83,64,1.0,120.0,42.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b1ae8481-e641-4783-86a0-b7ee9bf4c16c
1961 brownette bubble cut barbie doll reproduction gxl25,10,123.45,145.0,130.69,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7f734947-851a-4d72-8184-1b486af6e6f7
1977 superstar barbie doll reproduction hby11,37,38.99,107.43,58.51,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b22b9f4c-03fc-4996-92dc-e05fad2aad7d
1977 superstar christie barbie doll gxl28,15,55.0,245.0,90.32,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7887e82a-8160-4ba8-9d24-bf576c45f883
1988 jeep wagoneer hww85,53,1.25,175.0,51.15,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1f1135c7-0df5-4140-b26d-1f635c210e09
1 64 hot wheels cybertruck r c gxg30,18,18.75,34.99,24.7,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9d7d96a3-1515-4cef-9775-c96d07506c45
2019 hot wheels team transport c case pack of 4 cflf56,8,49.99,84.9,66.08,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a61e759a-bf05-4f48-b0c5-1502032202bd
2019 hot wheels team transport d case pack of 4 dflf56,11,65.0,89.99,75.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-64f2a510-2013-47cc-bb3c-d88492dc1c60
2019 hot wheels team transport e case pack of 4 aflf56,27,61.99,89.99,72.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f79252ba-cafc-4e3b-ab31-a436f8fa6232
