searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
ASUS ROG ALLY 7 120 HZ GAMING HANDHELD,37,440.0,649.99,506.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-345ecc9d-ba8c-4d3b-9224-42360ba490d7
SONY PLAYSTATION 5 DIGITAL,12,299.99,500.0,385.73,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9a7c62e0-4d06-4456-91cd-541afee3eedf
SONY PLAYSTATION 5 DISC SPIDER MAN 2 BUNDLE,18,524.99,892.03,676.82,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9e3c4266-57a3-49d8-89dc-28d1f8f1caea
SONY PLAYSTATION PORTAL REMOTE PLAYER - PS5,45,195.5,324.99,252.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2738fa3b-94e7-4314-80c6-4d124909f3cc
XBOX SERIES X HALO INFINITE LIMITED EDITION,43,495.0,1399.99,698.1,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ac7d7135-174e-491d-a4f4-9934cc042e45
ACER CB242Y 23.8 FULL HD MONITOR,29,59.99,112.5,81.06,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4152a056-3cb8-485d-bbd2-9329b215b866
ALIENWARE 27 INCH 240HZ GAMING MONITOR AW2721D,12,300.0,779.9,440.56,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-32afdb43-cb35-4880-9518-6fbb2cb5f7c4
ASROCK H110 PRO MINING MOTHERBOARD,32,49.99,115.26,80.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a5b4834a-24fc-4ba1-8a30-58365a0e3a7d
ASUS B250 LGA1151 MINING MOTHERBOARD,35,65.0,187.0,92.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-590ec0a5-37b7-4b28-bfbb-d35db26d9ba3
ASUS GC33Y-021 EXTERNAL GPU,3,2791.92,3350.0,2977.97,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e273ddbd-1407-4bee-9eb4-315acc698214
ASUS ROG FLOW Z13-ACRNM RMT02 GAMING LAPTOP TABLET,14,899.0,3200.0,1647.48,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5dc26230-346c-47b5-8bab-64244cf89f76
ASUS ROG MAXIMUS Z790 MAXIMUS APEX MOTHERBOARD,10,550.0,1042.22,716.54,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-001ffe02-205d-4c75-9c12-ffd1942e55d6
ASUS ROG STRIX X570-I GAMING MINI-ITX MOTHERBOARD,7,76.0,250.0,158.42,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-406ea434-db97-4572-aee1-690611f5b27c
ASUS ROG SWIFT 32 4K OLED OLED MONITOR - PG32UCDM,10,949.99,2699.99,1829.13,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6bb38912-d082-4978-b083-1d1a9579ff09
AUSSTRALIAN GOLD DARK TANNING ACCELERATOR LOTION,16,14.99,38.0,22.36,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b8c5360d-90ce-48a8-8f23-0d59acf1c5e6
BANDAI NAMCO ONE PIECE TCG ROMANCE DAWN BOOSTER BOX,24,515.49,1188.0,801.95,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d2496476-dee2-4735-8c61-cbc1c4d2dc9d
BROOK WINGMAN FGC CONVERTER - ARCADE JOYSTICK CONVERTER,14,43.94,109.0,56.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-78130cdb-f8ae-43c1-a19e-95a708390d81
CANON MAXIFY GX7021 WIRELESS PRINTER,17,229.0,549.99,390.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e91a874c-f9c9-4eb9-bace-6b5a322f6a03
CESAR SOFT WET DOG FOOD GRILLED STEAK AND EGGS - PACK OF 24,2,26.99,28.99,27.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1e5cf81d-05ee-4fc6-a5c3-b9fe9929bcce
CHEETOS DUSTER BUNDLE,20,17.99,80.0,34.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8a460c05-640c-43c7-b3a8-af0f5ce522d8
COCOMELON UNISEX BUS WITH STORAGE SPACE,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-246b7fad-0ae2-48c4-a946-80d22bbb6378
CORSAIR AX1600I POWER SUPPLY,12,270.0,519.99,400.75,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2bebf581-cb85-4c83-bd24-87db74cbe856
CORSAIR VENGENCE RGB PRO 128 GB DDR4 3200 RAM,13,59.99,275.0,168.55,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4966be2e-a729-45f8-861b-f9c0f947481f
CRAYOLA COLOR WONDER MAGIC LIGHT BRUSH,27,34.99,54.99,41.08,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d56fd330-668f-475a-a77f-92b41a6ee58b
ELDEN RING COLLECTOR'S EDITION - PS5,11,333.23,568.0,409.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-74e509c2-8396-46fd-9f0c-fb4d648c3b33
ELDEN RING COLLECTOR'S EDITION - XBOX SERIES X,43,9.99,59.57,36.59,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-53bc07c5-5c07-47bc-9e25-43a16dfbd33d
FINAL FANTASY VII REBIRTH - DELUXE EDITION PS5,36,128.93,195.24,147.75,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4c96bf9c-9983-407a-85ce-76501fbf76c9
FIRE EMBLEM ENGAGE DIVINE EDITION,4,59.99,99.99,80.74,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-03f9c54d-3833-4398-8f7f-b5021cbd4a43
FITCRUNCH SNACK SIZE PROTEIN BAR,8,27.05,58.5,38.67,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-751b43ea-797f-427d-8bc2-5fa743942828
FRACTAL DESIGN NORTH CHALK WHITE,18,89.0,229.99,128.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d71238dd-76cf-4479-97a6-16a5a392f54d
FRACTAL DESIGN NORTH CHALK WHITE TG CLEAR,7,89.97,139.99,111.34,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7058ed11-07b0-49f3-a910-964aa1bb7029
FRACTAL DESIGN NORTH CHARCOAL BLACK,40,75.0,219.05,113.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-33803428-39c1-42ce-a0f9-00ee28f5e140
FRACTAL DESIGN NORTH CHARCOAL BLACK TG CASE,11,84.99,253.1,137.34,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2422be24-5174-4d9c-bb52-32cf4147f881
FRACTAL DESIGN RIDGE BLACK CASE,27,70.0,151.39,102.95,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-59b97e8f-9bbb-4f3f-888d-6dd0d060f549
FRACTAL DESIGN RIDGE WHITE CASE,12,89.0,144.14,112.26,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f0da6c76-e010-4310-9272-0ecdf2327590
FRISKIES DRY CAT FOOD SURFIN TURFIN,22,19.7,51.2,28.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-320567d3-e4fb-4fcb-a014-07b7cd2e1565
FUJIFILM X100V DIGITAL CAMERA - BLACK,17,1500.0,2801.44,2200.95,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3314bcc4-dfb6-4970-901b-b5c70015e783
FUJIFILM X100V DIGITAL CAMERA - SILVER,11,1500.0,2275.0,1759.89,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-54bbf21e-7baa-4b89-91c8-7a7e6adbbf98
FUJIFILM X100VI DIGITAL CAMERA - BLACK,19,1849.99,3140.61,2406.8,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-92d09b84-1d6b-4b35-9e77-9bb79b6131a2
FUJIFILM X100VI DIGITAL CAMERA - SILVER,14,2249.99,2826.55,2424.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3c7c66a9-7fe0-421d-8134-22273b527c33
GILLETTE SENSOR3 COOL MEN DISPOSABLE RAZOR 3 COUNT - PACK OF 12,17,13.95,28.95,20.84,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-234cff2a-c57d-4e5a-be43-6d9dcd2fc2f9
GOD OF WAR RAGNAROK JOTNAR EDITION,35,125.0,450.0,270.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4be31112-0269-4480-80cb-5cfe5db3e348
GOD OF WAR RAGNAROK PLAYSTATION 5 CONTROLLER,17,86.0,187.0,118.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bddb7ced-d76a-48be-adb3-dcfd72c8a83a
HAPPY BABY FREEZE-DRIED YOGURT - MANGO,4,20.0,25.99,22.74,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f4f119d4-b1ae-4d84-9b0f-19a7245ee6b5
