searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Pokemon Y - Nintendo 3DS,16,2024-04-16,27.0,49.99,33.0,$44.99,$-15.95,$51.13,https://quickchart.io/chart/render/sf-c1ea46b8-94c6-403c-92f6-52385d191b98
Pokemon Ultra Sun - Nintendo 3DS,15,2024-04-16,34.98,66.66,45.78,$49.99,$-9.70,$56.81,https://quickchart.io/chart/render/zf-da98483c-835a-427f-8fc6-445e4724c0bf
Pokemon Omega Ruby - Nintendo 3DS,8,2024-04-16,24.99,39.0,33.08,$54.99,$-25.88,$62.49,https://quickchart.io/chart/render/sf-85898ad9-132a-4ca2-a292-1c4b78ae9dc9
Pokemon Alpha Sapphire - Nintendo 3DS,11,2024-04-16,32.67,75.0,43.1,$44.99,$-7.06,$51.13,https://quickchart.io/chart/render/sf-9f8a39ad-e8a3-4036-8e31-e4e4a69f4249
Pokemon X - Nintendo 3DS,20,2024-04-16,24.99,49.99,31.38,$44.99,$-17.38,$51.13,https://quickchart.io/chart/render/sf-b78550c0-1962-4295-af62-0a14de753087
Pokemon Ultra Moon - Nintendo 3DS,16,2024-04-16,27.0,66.66,40.05,$49.99,$-14.75,$56.81,https://quickchart.io/chart/render/sf-0da9d172-cce1-4720-b44a-aeac29740320
Pokemon White - Nintendo DS,15,2024-04-16,86.0,184.99,122.41,$74.99,$32.73,$85.21,https://quickchart.io/chart/render/sf-e6acb39e-277f-47ba-9076-c40ca46fbb62
Pokemon Diamond - Nintendo DS,7,2024-04-16,44.5,94.99,59.05,$74.99,$-23.03,$85.22,https://quickchart.io/chart/render/sf-44308141-3ad9-4a3a-9bca-043bf905b13e
Pokemon Sun - Nintendo 3DS,15,2024-04-16,20.95,66.66,39.66,$29.99,$4.91,$34.07,https://quickchart.io/chart/render/sf-fd44a07f-7243-44be-8176-b61ac8b6e93f
Pokemon Super Mystery Dungeon - Nintendo 3DS,15,2024-04-15,24.99,39.99,32.06,$37.99,$-9.78,$43.18,https://quickchart.io/chart/render/sf-a9dfe5b3-dfd1-4d26-8ab6-41fe1520e98c
