searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
barbiestyle barbie and ken doll 2 pack hjw88,13,2024-04-23,85.0,186.91,134.85,$110.00,$8.67,$124.99,https://quickchart.io/chart/render/sf-405eb76e-401f-4353-81be-5f47476b1c0f
1 64 hot wheels cybertruck r c gxg30,8,2024-04-28,19.95,25.19,23.75,$23.00,$-2.10,$26.14,https://quickchart.io/chart/render/sf-5cc320a3-b24e-4f15-8295-931b19d701cc
1977 superstar barbie doll reproduction hby11,18,2024-04-24,39.89,100.0,59.19,$40.00,$12.09,$45.45,https://quickchart.io/chart/render/sf-6fb9a272-7170-4080-bf7a-2cb51796a23f
2019 hot wheels team transport d case pack of 4 dflf56,6,2024-03-24,69.0,84.9,75.79,$52.00,$14.70,$59.09,https://quickchart.io/chart/render/sf-dcd4abbf-def9-4122-9ad4-35dc00ab2232
2019 hot wheels team transport e case pack of 4 aflf56,26,2024-04-27,61.99,89.99,73.15,$51.99,$12.38,$59.07,https://quickchart.io/chart/render/sf-0a18a486-f2a4-4eb3-9a00-82ce3d3bfddc
2019 hot wheels team transport f case pack of 4 bflf56,1,2024-03-14,84.9,84.9,84.9,$51.99,$22.72,$59.07,https://quickchart.io/chart/render/sf-24a437a9-65a8-40f1-bb8d-c678707521b1
2020 holiday barbie doll blonde long hair gnr92,10,2024-04-24,15.0,39.99,25.92,$40.00,$-17.19,$45.46,https://quickchart.io/chart/render/sf-1cb79aa7-321e-402d-bae4-62036cbd96d9
2021 car culture mix 4 exotic envy fpy86d,13,2024-04-27,19.99,45.0,35.57,$54.99,$-23.69,$62.49,https://quickchart.io/chart/render/sf-b26525ee-a2ec-4af4-88fd-c2269ccc2458
2021 car culture mix 7 modern classics fpy86g,5,2024-04-24,12.99,54.99,21.69,$55.00,$-35.91,$62.51,https://quickchart.io/chart/render/sf-bd57fa86-e965-4d07-81e9-701cc688c11f
2021 holiday barbie doll gxl22,17,2024-04-13,17.99,52.99,27.26,$36.00,$-12.01,$40.91,https://quickchart.io/chart/render/sf-7de366db-b245-4211-a53e-7ef0b7949e2f
2021 holiday barbie doll gxl23,19,2024-04-13,17.99,52.99,27.29,$36.00,$-11.98,$40.91,https://quickchart.io/chart/render/sf-824190ba-3aa9-44c3-a9e9-f76429045176
2021 hot wheels car culture british horsepower fpy86a,9,2024-04-24,8.99,30.0,13.61,$54.99,$-43.01,$62.49,https://quickchart.io/chart/render/sf-ae7ad1dc-e8c2-4ee7-b1c3-475ca741107e
2022 barbie dia de muertos doll hby09,24,2024-04-27,29.99,110.94,50.16,$80.00,$-35.86,$90.91,https://quickchart.io/chart/render/sf-6c72bd40-6907-4244-96e9-1e0acfcf0883
2022 dia de muertos benito santos barbie doll hby01,14,2024-04-21,399.0,464.24,423.72,$100.00,$272.87,$113.63,https://quickchart.io/chart/render/sf-36c4d19a-23fb-46f6-827e-b7128b5b4608
2022 holiday barbie doll hby06,14,2024-04-24,18.99,52.5,34.35,$45.00,$-14.77,$51.14,https://quickchart.io/chart/render/sf-bab11217-b3fa-4c9d-9fef-abb85c332580
2022 holiday barbie doll hcc05,14,2024-04-26,19.99,69.99,34.92,$45.00,$-14.27,$51.14,https://quickchart.io/chart/render/sf-f1254fe5-1307-48d5-8eb8-5e95635eda89
2022 holiday barbie doll hby07,15,2024-04-26,19.99,64.61,36.57,$45.00,$-12.82,$51.14,https://quickchart.io/chart/render/sf-dd79c5a7-7c8c-4f41-88d3-02beff540988
2022 holiday barbie doll hby08,15,2024-04-26,20.99,52.5,37.53,$45.00,$-11.97,$51.14,https://quickchart.io/chart/render/sf-5beaacb3-55a2-4ffe-8dbc-fe7d6dcdce02
2022 hot wheels car culture mix 1 american scene case pack hff44,11,2024-04-26,9.99,32.75,15.18,$38.00,$-24.64,$43.19,https://quickchart.io/chart/render/sf-a329f85f-9358-425b-9069-36ce623e6ae4
2022 hot wheels car culture mix 2 deutschland design case pack hff41,5,2024-04-17,24.95,39.49,33.03,$38.00,$-8.93,$43.19,https://quickchart.io/chart/render/sf-6b8142fa-c996-4675-941d-463f5b3b2026
hot wheels premium car culture speed machines 5 pack of toy cars hhf42,9,2024-04-28,30.0,109.99,52.33,$38.00,$8.05,$43.18,https://quickchart.io/chart/render/sf-6080e002-8c36-45d8-9d0f-a9e100f0e50a
2022 ken dia de muertos doll hby10,17,2024-04-28,49.95,137.99,72.6,$80.00,$-16.11,$90.91,https://quickchart.io/chart/render/sf-92db6fc3-ae88-4618-a28d-960c907b4a24
2022 matchbox working rigs 4 pack hcc07,3,2024-04-12,17.99,24.77,20.92,$24.00,$-5.59,$27.28,https://quickchart.io/chart/render/sf-ed31acdf-d2a7-4d27-9f4d-a56ec1e969dc
2022 premium collector set 1 classic pickups gmh39,5,2024-04-24,59.99,162.5,102.7,$30.00,$60.38,$34.09,https://quickchart.io/chart/render/sf-2dac371c-1674-491d-b317-431e4ecd0bc7
2022 premium collector set 2 exotic hypercars gmh39k,3,2024-03-26,21.75,49.97,36.57,$30.00,$2.18,$34.09,https://quickchart.io/chart/render/sf-8533af5f-d9a2-43d1-bcd7-2760cc2b6d9b
2022 premium collector set 3 bmw m team gmh39l,9,2024-04-19,34.99,68.22,44.13,$30.00,$8.83,$34.09,https://quickchart.io/chart/render/sf-42747e58-2cad-4e80-975c-017c3535be50
2022 rlc membership 72 nissan skyline h t 2000 gt r,11,2024-04-27,36.99,53.99,42.99,$25.00,$12.83,$28.40,https://quickchart.io/chart/render/sf-9c2bdf83-8f26-4a8e-8f38-cb73ff13ae57
2023 12 days of christmas barbie doll hjx13,8,2024-04-22,169.0,475.0,227.85,$150.00,$50.51,$170.45,https://quickchart.io/chart/render/sf-bb240936-a6c2-4790-bed9-d40bc23a9452
barbie birthday wishes doll hjx02,15,2024-04-27,36.95,99.99,50.28,$30.00,$14.25,$34.09,https://quickchart.io/chart/render/sf-858f6845-d86e-4b9f-bcff-4cfb7f5f12e0
2023 barbie lunar new year doll hjx35,14,2024-04-15,38.75,99.99,71.51,$55.00,$7.93,$62.50,https://quickchart.io/chart/render/sf-2c91b8fd-8455-451f-aa19-1e6aefe2f636
2023 barbie lunar new year doll designed by guo pei hjx03,11,2024-04-15,79.99,139.99,95.62,$80.00,$4.15,$90.90,https://quickchart.io/chart/render/sf-0636d48a-bde1-4dcf-99a4-6f2e99de8988
2023 dia de muertos barbie doll hjx14,11,2024-04-25,104.42,250.0,205.55,$75.00,$105.88,$85.22,https://quickchart.io/chart/render/sf-f275da3f-85a5-4846-ac79-4c1cc84565c2
2023 dia de muertos barbie x pink magnolia doll hjx16,12,2024-04-25,201.0,250.0,237.19,$100.00,$108.73,$113.63,https://quickchart.io/chart/render/sf-ad7fecde-cdf2-4d56-be8a-6ef7f09a50cd
2023 dia de muertos ken doll hjx15,9,2024-04-25,44.99,129.97,74.3,$75.00,$-9.62,$85.23,https://quickchart.io/chart/render/sf-e232feec-0ea0-4566-8e34-ad9a1995c1c8
2023 holiday barbie doll hjx09,20,2024-04-26,29.99,95.0,45.32,$45.00,$-5.12,$51.14,https://quickchart.io/chart/render/sf-d502ac15-d835-4fe4-95f3-ce0393b8b189
2023 holiday barbie doll hjx11,19,2024-04-26,33.99,95.0,52.95,$45.00,$1.60,$51.13,https://quickchart.io/chart/render/sf-e17c75b6-a3a5-4397-bf33-d0bdc51ffe3a
2023 holiday barbie doll hjx08,20,2024-04-26,34.94,95.0,49.72,$45.00,$-1.25,$51.14,https://quickchart.io/chart/render/sf-ec6a2c5d-0495-4eba-9838-94278afd900d
2023 holiday barbie doll hjx10,19,2024-04-26,29.99,95.0,44.53,$45.00,$-5.81,$51.14,https://quickchart.io/chart/render/sf-57a160ab-1789-4ca6-abea-f331e211f9be
2023 rlc membership 93 ford cobra r hwrlc2023,12,2024-04-28,33.0,42.9,36.41,$25.00,$7.04,$28.40,https://quickchart.io/chart/render/sf-2f5e6ee4-fcc9-466d-a434-77b25fb3437c
2023 rlc membership 93 ford cobra r hnl15,15,2024-04-28,32.95,60.0,41.08,$25.00,$11.15,$28.40,https://quickchart.io/chart/render/sf-c611306c-1c73-478b-9f34-5b2f089e68f5
2024 barbie lunar new year doll hrm57,12,2024-04-19,59.9,108.94,70.78,$55.00,$7.29,$62.50,https://quickchart.io/chart/render/sf-e34a7fcb-c809-4152-b747-ec8a1df1f3b0
60th anniversary allan vintage reproduction doll hrm87,17,2024-04-19,84.99,143.29,100.32,$55.00,$33.28,$62.50,https://quickchart.io/chart/render/sf-db97606d-df8e-4e39-9f45-05502bc56f21
60th anniversary midge vintage reproduction doll hjx25,18,2024-04-20,85.0,199.99,114.83,$55.00,$46.05,$62.50,https://quickchart.io/chart/render/sf-fe75b991-b183-4eba-b5b3-c5b620cffc15
60th anniversary skipper doll hrm86,11,2024-04-23,95.0,149.99,113.35,$55.00,$44.75,$62.50,https://quickchart.io/chart/render/sf-c6945416-cf8e-4717-80bc-d1048df54835
annabelle monster high skullector doll hnd85,20,2024-04-28,99.0,155.76,108.48,$65.00,$30.46,$73.86,https://quickchart.io/chart/render/sf-5142d6b0-bb57-48c1-8f0e-7e3d2accc83d
bad robot premium action figure hjg24,13,2024-04-24,119.0,165.0,137.22,$100.00,$20.75,$113.63,https://quickchart.io/chart/render/sf-ed9e7675-3126-4dea-833e-1babc6658637
bape hot wheels 1955 mercedes benz 300 sl hjp38,10,2024-04-23,115.99,149.99,129.38,$50.00,$63.85,$56.81,https://quickchart.io/chart/render/sf-e4048828-e722-4c66-99df-934ba6ac140c
barbie barbiestyle doll gtj82,7,2024-04-27,285.0,350.0,312.93,$100.00,$175.38,$113.63,https://quickchart.io/chart/render/sf-6db77c34-0034-43ed-806b-4e7d8b30540e
barbiestyle doll 2 gtj83,10,2024-04-27,79.0,307.5,169.64,$100.00,$49.28,$113.63,https://quickchart.io/chart/render/sf-47e3e7a1-9df4-44d4-85dd-5e8bca047ba4
barbie barbiestyle doll 3 gtj84,5,2024-04-27,59.99,89.99,73.8,$100.00,$-35.06,$113.64,https://quickchart.io/chart/render/sf-2dd9a317-2365-4d37-a07d-2a753a4287b7
barbie barbiestyle doll 4 hcb75,11,2024-04-27,45.99,135.0,80.96,$110.00,$-38.76,$125.00,https://quickchart.io/chart/render/sf-3438910d-6d08-499f-9ab8-f17e8d8bad8d
barbie 12 days of christmas doll and accessories hby18,9,2024-04-22,219.0,475.0,301.0,$160.00,$104.88,$181.81,https://quickchart.io/chart/render/sf-fdef415d-aa09-4d3f-9dd4-ef0cd2e61869
barbie 12 days of spring doll and accessories hrm27,8,2024-04-08,209.99,299.98,253.12,$160.00,$62.75,$181.81,https://quickchart.io/chart/render/sf-23c8e303-d32a-460e-9a0a-f5e479f802c5
barbie 2021 dia de muertos doll gxl27,25,2024-04-28,20.5,150.0,63.19,$75.00,$-19.39,$85.23,https://quickchart.io/chart/render/sf-0151f297-b9c5-4e8f-a91a-9ecd7f7f758e
barbie 2021 dia de muertos ken doll gxl26,15,2024-04-28,57.99,131.24,80.36,$75.00,$-4.28,$85.23,https://quickchart.io/chart/render/sf-f5bc7f43-3d29-4184-816c-d00954e780ac
barbie 35th anniversary teresa doll hjx32,7,2024-04-15,38.0,70.0,54.85,$55.00,$-6.73,$62.51,https://quickchart.io/chart/render/sf-362f8f07-e737-45cc-9914-f2ccc4104e9f
barbie 65th anniversary doll with blonde hair hrm58,10,2024-04-22,56.0,103.99,68.48,$60.00,$0.26,$68.18,https://quickchart.io/chart/render/sf-31517a5e-ce0d-41f6-98eb-03df6e89459e
barbie 65th anniversary doll with brunette hair hrm59,8,2024-04-05,54.88,115.0,75.35,$60.00,$6.31,$68.18,https://quickchart.io/chart/render/sf-dc433b6d-44be-4b5f-8de3-9fd56582fcf7
barbie after 5 silkstone doll hby14,8,2024-04-17,146.85,200.0,168.98,$75.00,$73.70,$85.22,https://quickchart.io/chart/render/sf-8cae2d7d-f4b3-434e-a73c-37e334a52594
barbie ballet wishes doll hcb88,17,2024-04-20,19.93,64.99,34.29,$27.00,$3.18,$30.68,https://quickchart.io/chart/render/sf-36149db2-e1da-4f7e-811f-4e5335ab594f
barbie bee mark ryden x barbie doll hjn30,13,2024-04-22,224.83,373.85,270.01,$150.00,$87.61,$170.45,https://quickchart.io/chart/render/sf-925d5c1c-291e-4adf-b473-3dec21cd2e9d
copy of barbie birthday wishes doll hcb90,1,2024-03-31,46.5,46.5,46.5,$30.00,$10.92,$34.09,https://quickchart.io/chart/render/sf-bfa1fdb9-314b-43ef-b635-be112ea0b00d
barbie collector mattel 75th anniversary doll 12 in blonde in red gown gmm98,2,2024-04-10,225.0,350.0,287.5,$60.00,$193.00,$68.18,https://quickchart.io/chart/render/sf-baf9184b-1565-401d-803d-ead1caf5055a
barbie crystal fantasy collection doll,16,2024-04-24,68.0,103.77,84.7,$100.00,$-25.46,$113.64,https://quickchart.io/chart/render/sf-aeb1cc0a-6939-4e35-81d9-75285774c6a9
barbie crystal fantasy collection rose quartz doll hcb95,13,2024-04-24,68.0,103.77,81.71,$100.00,$-28.10,$113.64,https://quickchart.io/chart/render/sf-86abf8e5-c1d2-43d1-9eac-21a3e60ae3cc
barbie dream house by mattel inc doll house and accessories gnc38,1,2024-03-31,449.88,449.88,449.88,$200.00,$195.89,$227.27,https://quickchart.io/chart/render/sf-5b401d64-10f7-47af-9b1f-894c7012072b
barbie fashion photo p j doll reproduction hjx24,18,2024-04-19,98.0,155.77,109.99,$55.00,$41.79,$62.50,https://quickchart.io/chart/render/sf-ab539a75-4159-435a-8c65-9d8135764759
barbie gold medal barbie doll gpc77,13,2024-04-24,14.99,52.33,25.59,$25.00,$-2.48,$28.41,https://quickchart.io/chart/render/sf-c2339ff3-eb40-4e61-bf38-d6956d85c945
barbie the movie doll hpj99,11,2024-04-23,67.29,84.99,76.48,$50.00,$17.30,$56.81,https://quickchart.io/chart/render/sf-03c9681d-17a8-44c5-ba4c-face561aa51b
barbie in inline skating outfit barbie the movie hrb04,15,2024-04-26,22.95,48.0,31.31,$25.00,$2.55,$28.40,https://quickchart.io/chart/render/sf-10e3570d-88a7-40af-8116-e3a684d3e27f
barbie the movie doll hpj96,19,2024-04-27,14.99,35.0,22.95,$25.00,$-4.80,$28.41,https://quickchart.io/chart/render/sf-7c6a97f7-fc3d-4deb-bd18-4383000babc7
barbie in pink power jumpsuit barbie the movie hrf29,24,2024-04-28,19.97,49.99,27.19,$25.00,$-1.07,$28.41,https://quickchart.io/chart/render/sf-5e689f25-0d84-45ba-a708-b12156b93dca
barbie the movie doll hpk00,22,2024-04-28,59.0,149.95,71.43,$50.00,$12.86,$56.81,https://quickchart.io/chart/render/sf-00b49384-5aa7-42c4-8b6b-21921f0fae7b
barbie the movie doll hrf26,7,2024-03-30,32.49,50.0,40.21,$50.00,$-14.62,$56.82,https://quickchart.io/chart/render/sf-6aaecfaa-042d-43e6-8c2e-cd49ea85c9be
barbie inspiring women anna may wong doll hmt98,14,2024-04-24,40.0,59.99,48.85,$35.00,$7.99,$39.77,https://quickchart.io/chart/render/sf-82d7eccf-271f-4d23-855e-7ff43accfb06
barbie inspiring women celia cruz doll hjx31,19,2024-04-27,19.99,38.99,28.75,$35.00,$-9.70,$39.78,https://quickchart.io/chart/render/sf-27911a2b-f07d-4728-b207-b92af256458d
barbie inspiring women helen keller doll gyh02,13,2024-04-25,25.0,69.99,38.5,$35.00,$-1.12,$39.78,https://quickchart.io/chart/render/sf-133f792a-b1b2-44d5-af35-7b1371da2bc1
barbie inspiring women maya angelou doll gyh04,17,2024-04-28,34.95,55.0,39.63,$35.00,$-0.13,$39.78,https://quickchart.io/chart/render/sf-9ee2b3a0-fd31-4f46-b461-3a09ea7b7d61
barbie inspiring women principal chief wilma mankiller doll hmt92,20,2024-04-27,145.5,209.99,169.57,$35.00,$114.22,$39.77,https://quickchart.io/chart/render/sf-8b304b03-9632-483a-82f1-cfe50bf9e856
barbie ken 60th anniversary doll gtj89,16,2024-04-24,46.04,80.99,69.28,$50.00,$10.97,$56.81,https://quickchart.io/chart/render/sf-63408033-b8bc-4a3d-b3ba-3a1f3c2a769a
barbie looks doll curvy brunette gtd91,16,2024-04-22,69.99,119.99,86.43,$22.00,$54.06,$25.00,https://quickchart.io/chart/render/sf-fb92c074-d951-4f38-807d-8c2ead874ca9
barbie looks doll ken doll long brunette hair hcb79,10,2024-04-20,35.0,121.5,50.33,$22.00,$22.29,$24.99,https://quickchart.io/chart/render/sf-bd3d4697-f51a-48b0-8508-969bb5bdc79e
barbie looks doll original brunette wavy hair gtd89,11,2024-04-15,67.99,180.0,95.53,$22.00,$62.07,$25.00,https://quickchart.io/chart/render/sf-9e84ea85-9f47-46e9-b5d2-1ae381440f1f
barbie looks 13 red hair red skirt hjw80,7,2024-04-18,17.49,34.99,26.27,$22.00,$1.12,$25.00,https://quickchart.io/chart/render/sf-251445e6-7e55-49d2-9165-899a38a29b71
barbie looks doll petite curly red hair hcb77,14,2024-04-25,19.99,36.09,28.66,$22.00,$3.22,$25.00,https://quickchart.io/chart/render/sf-50dc0d64-76c4-4cc4-a9f9-aa4f01d0f02a
barbie looks doll tall blonde gxb28,15,2024-04-28,34.99,99.68,50.55,$22.00,$22.48,$24.99,https://quickchart.io/chart/render/sf-ae6b3b32-6da0-474d-a688-2a4449aad79e
barbie looks doll 20 hrm12,11,2024-04-27,34.95,85.0,48.71,$25.00,$17.86,$28.40,https://quickchart.io/chart/render/sf-fde1d821-b999-4b4c-80f7-f75e7b3e659b
barbie looks doll 21 hrm13,15,2024-04-27,22.49,98.52,36.91,$25.00,$7.48,$28.40,https://quickchart.io/chart/render/sf-387d06f0-1755-4146-92dd-3b77d0b31da1
barbie looks doll 22 hrm14,17,2024-04-28,26.55,69.99,39.21,$25.00,$9.50,$28.40,https://quickchart.io/chart/render/sf-2825c054-7c41-44ca-913f-9e4dfedfea53
barbie looks doll 23 hrm15,7,2024-04-24,24.99,50.0,36.7,$25.00,$7.30,$28.40,https://quickchart.io/chart/render/sf-f2b766c8-7aa9-41c2-82c7-34d4359445cb
barbie looks doll 24 hrm16,8,2024-04-27,34.95,55.0,40.92,$25.00,$11.01,$28.40,https://quickchart.io/chart/render/sf-c8d8fab5-0b21-440e-ad08-cfd5cbed0180
barbie looks doll 25 hrm17,18,2024-04-28,34.95,60.0,41.35,$25.00,$11.39,$28.40,https://quickchart.io/chart/render/sf-aa1200e1-729c-423d-8030-1599a7517258
barbie looks doll with mix and match fashions hjx28,8,2024-04-20,47.95,64.9,55.7,$30.00,$19.02,$34.09,https://quickchart.io/chart/render/sf-88cfe1a5-0608-47da-af82-9ff2e1d006f8
barbie looks ken doll blonde with facial hair gtd90,12,2024-04-21,55.0,99.0,79.77,$22.00,$48.20,$25.00,https://quickchart.io/chart/render/sf-03ae520e-ecef-4201-9f20-3c9c7fd94cdb
barbie lunar new year doll gtj92,17,2024-04-12,34.95,99.99,55.09,$50.00,$-1.52,$56.82,https://quickchart.io/chart/render/sf-50f29868-8f78-43e7-9287-0b1ceebdd349
barbie lunar new year doll designed by guo pei hcb86,8,2024-04-15,79.99,139.99,101.48,$80.00,$9.30,$90.90,https://quickchart.io/chart/render/sf-40fe5949-ada1-4fc5-9c1b-25737f651681
barbie music series stevie nicks doll hmv00,14,2024-04-23,198.0,235.0,204.42,$55.00,$124.89,$62.49,https://quickchart.io/chart/render/sf-c9e3159c-1eb0-49fc-8b0e-8e59f8a17f6a
superbowl champion x barbie nfc jff35,1,2024-03-29,28.0,28.0,28.0,$30.00,$-5.36,$34.10,https://quickchart.io/chart/render/sf-99405cc8-0a03-4c95-ad39-30af87b7ad96
barbie nfl super bowl champion doll hrm76,22,2024-04-23,58.0,89.99,71.49,$30.00,$32.91,$34.09,https://quickchart.io/chart/render/sf-b6abd96b-1777-43c8-882b-c4c28a834e2c
barbie pink collection doll pink premiere gtj76,11,2024-04-26,125.0,199.95,156.01,$100.00,$37.29,$113.63,https://quickchart.io/chart/render/sf-beff7e4a-29e5-4353-bbca-17d2e3e634c9
barbie pink collection doll 2 gxl13,12,2024-04-27,85.0,175.0,132.16,$125.00,$-8.70,$142.05,https://quickchart.io/chart/render/sf-94383361-8b2f-4464-b633-07bd62592f6d
barbie pink collection doll 3 hcb74,6,2024-04-22,110.0,200.0,166.5,$100.00,$46.52,$113.63,https://quickchart.io/chart/render/sf-5834233a-337e-4d0e-994d-0bca136de926
barbie pink collection doll 4 hbx96,10,2024-04-26,110.0,329.0,192.59,$125.00,$44.48,$142.04,https://quickchart.io/chart/render/sf-d2ee1d09-8240-4ea4-b265-a57965da7a25
barbie pink collection doll 5 hjw86,10,2024-04-15,99.0,175.0,148.19,$110.00,$20.41,$124.99,https://quickchart.io/chart/render/sf-2523afe1-0740-4487-bdb4-dbd8ce564589
barbie rewind doll career girl gxl24,20,2024-04-25,38.0,89.99,53.09,$45.00,$1.72,$51.13,https://quickchart.io/chart/render/sf-d18cf10a-6ee1-494a-9989-5aa597c4335e
barbie rewind doll night out gtj88,21,2024-04-28,16.99,32.63,22.6,$45.00,$-25.11,$51.14,https://quickchart.io/chart/render/sf-ff57b659-3544-44d9-90c4-bae5ecdf750a
barbie rewind doll workin out gtj87,10,2024-04-12,13.99,34.99,24.57,$45.00,$-23.38,$51.14,https://quickchart.io/chart/render/sf-fb5a8813-ac6f-4424-ad01-60f9d06d9ecd
barbie rewind doll schoolin around hby13,17,2024-04-14,14.99,49.85,30.95,$45.00,$-17.76,$51.14,https://quickchart.io/chart/render/sf-3c8c0490-d057-4c8e-ad61-711daf345ef6
barbie rewind doll slumber party hjx19,5,2024-04-14,26.95,35.0,31.02,$45.00,$-17.70,$51.14,https://quickchart.io/chart/render/sf-27bf26ee-048f-457b-abad-e979ac8a28e0
barbie signature barbie looks doll curvy brunette hbx95,8,2024-04-21,45.0,119.99,81.45,$22.00,$49.68,$25.00,https://quickchart.io/chart/render/sf-5441261e-d3b2-4937-b7e1-5b5453e1198d
barbie signature barbie looks doll original red hbx94,18,2024-04-15,24.99,39.99,31.62,$22.00,$5.83,$25.00,https://quickchart.io/chart/render/sf-14dfea1f-ab2d-40c6-a0f7-36158bbcf17a
barbie signature barbie looks doll tall dark brown hbx93,10,2024-04-23,28.0,49.95,34.96,$22.00,$8.76,$25.00,https://quickchart.io/chart/render/sf-f2f01274-24f5-418e-8b31-50e242c1a482
barbie signature david bowie barbie doll 2 gxh59,17,2024-04-24,46.95,175.0,72.02,$55.00,$8.38,$62.50,https://quickchart.io/chart/render/sf-e861c9a5-7a2a-4ee2-bcb5-6511bf5bddff
barbie signature inspiring women doll hjx37,17,2024-04-26,22.0,50.0,30.23,$35.00,$-8.40,$39.78,https://quickchart.io/chart/render/sf-1ee1f683-43cd-4bbe-8089-e4aba0e23df7
