searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Pokemon Japanese Stellar Miracle Booster Box,25,2024-07-27,46.0,240.0,59.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bdb5d7ff-ad99-4063-9e36-34cd4747c590
Pokemon Japanese Night Wanderer Booster Box,16,2024-07-27,44.95,148.0,76.19,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-036c3b82-cfbe-4b73-91fa-1aae2738437f
Pokemon Japanese Transformation Mask Booster Box,18,2024-07-24,80.0,120.0,102.72,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-422b930a-bea3-42ba-8b47-a15d1f6dbb25
Pokemon Japanese Crimson Haze Booster Box,16,2024-07-27,41.77,125.97,57.48,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a50ea56a-dd2e-4e54-9ed8-da3e9df2ad87
Pokemon Japanese Wild Force Booster Box,14,2024-07-26,44.99,109.87,61.2,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7719e575-51f7-4944-9d55-b3610db54dd7
Pokemon Japanese Cyber Judge Booster Box,9,2024-07-26,46.27,109.87,67.34,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-26d6f4b7-c4c0-40dd-a9fb-7eaf06addab6
Pokemon Japanese Shiny Treasure ex Booster Box,10,2024-07-27,37.98,127.19,52.02,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8d0635a0-e429-41f9-8e1c-83c9e111581a
Pokemon Japanese Future Flash Booster Box,18,2024-07-27,32.0,135.0,54.72,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6afc561c-1638-4bd8-91d2-62c602b3f7e5
Pokemon Japanese Ancient Roar Booster Box,3,2024-07-27,611.55,690.0,655.94,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4d809a6f-3e3d-4615-aa18-c67525812345
Pokemon Japanese Raging Surf Booster Box,16,2024-07-26,42.0,100.0,53.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4e8943b9-3e8b-4dd9-a3e4-84367d24b92b
Pokemon Japanese Ruler of the Black Flame Booster Box,12,2024-07-26,41.0,57.54,47.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-88ee2103-e0e4-4604-82c1-d86d73676395
Pokemon Japanese Pokemon 151 Booster Box,13,2024-07-27,65.0,129.8,80.43,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-63857080-434c-461d-93c3-81f1323f709e
Pokemon Japanese Clay Burst Booster Box,8,2024-07-18,60.99,225.0,103.46,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6f2710f3-6559-4d6e-99bc-618b839bdbea
Pokemon Japanese Snow Hazard Booster Box,14,2024-07-16,38.54,270.0,92.3,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b61043f4-46b4-4238-a06d-243b9779823c
Pokemon Japanese Triplet Beat Booster Box,16,2024-07-26,49.39,141.12,70.44,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-187f7698-63a8-4e31-b2bc-96493421099d
Pokemon Japanese Violet ex Booster Box,8,2024-07-26,35.0,98.3,47.91,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7afe9ead-8a87-462e-810c-7bad3b9da544
Pokemon Japanese Scarlet ex Booster Box,7,2024-07-26,32.99,98.3,47.04,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-89232fd6-e3e8-43e7-83bc-a975b866bd54
Pokemon Japanese VSTAR Universe Booster Box,8,2024-07-26,69.95,84.44,78.77,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6d54d8e5-a7bd-45a1-a4ca-96ab3352296a
Pokemon Japanese Paradigm Trigger Booster Box,22,2024-07-25,46.0,202.5,69.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e2c2f3a5-4416-49c8-b43c-5f06a9e3ba00
Pokemon Japanese Incandescent Arcana Booster Box,8,2024-07-08,57.2,141.13,88.49,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6ab294dc-375d-4583-9f77-290cb726b83c
Pokemon Japanese Lost Abyss Booster Box,10,2024-07-26,75.0,109.95,86.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3fbf7fb7-f008-4769-a1d6-8923e1966cfa
Pokemon Japanese Pokemon GO Booster Box,12,2024-07-23,41.0,64.99,52.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-48f46318-b963-4894-93b1-50e956d7d1b7
Pokemon Japanese Dark Phantasma Booster Box,16,2024-07-26,45.0,70.99,58.07,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-82cda632-e66c-4f49-ac19-9d5341c1841c
Pokemon Japanese Time Gazer Booster Box,5,2024-07-27,60.29,115.0,89.04,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fe2ec599-cea8-4230-ba6b-3a42194a7def
Pokemon Japanese Space Juggler Booster Box,7,2024-07-27,53.52,115.0,77.02,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-291a9dc3-72db-445e-961d-c689db83202e
Pokemon Japanese Battle Region Booster Box,16,2024-07-20,44.0,100.0,57.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bd07b676-e527-4d93-8aa2-b40094613e51
Pokemon Japanese Star Birth Booster Box,13,2024-07-27,50.0,99.97,72.46,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bc702005-c3e0-4bb4-911d-75a66a59b18b
Pokemon Japanese VMAX Climax Booster Box,7,2024-07-26,99.95,143.49,117.42,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5cf9cfec-2d90-48a4-86d9-c9629999c5ee
Pokemon Japanese 25th Anniversary Collection Booster Box,14,2024-07-27,85.0,160.66,114.62,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5aa94efb-875d-4e97-867b-8467b9da8a62
Pokemon Japanese Fusion Arts Booster Box,13,2024-07-25,112.97,308.48,156.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e6db0c97-86ce-47b9-9199-ef942896a336
Pokemon Japanese Blue Sky Stream Booster Box,13,2024-07-23,250.0,514.14,352.02,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ca3f3d9d-1bb2-437a-b6e9-574b280be065
Pokemon Japanese Skyscraping Perfection Booster Box,18,2024-07-27,15.0,142.5,51.97,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-afb8217e-1b45-412f-8136-dd01b27070f9
Pokemon Japanese Eevee Heroes Booster Box,9,2024-07-27,315.0,910.0,420.69,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b09bf854-4419-409c-a380-cbf9c08ecca4
Pokemon Japanese Jet Black Spirit Booster Box,13,2024-07-26,26.0,104.98,70.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-25f4e717-b657-4d99-8182-534c5b095fce
Pokemon Japanese Silver Lance Booster Box,8,2024-07-07,51.0,89.96,71.49,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-105b1149-d4d4-40f7-9be3-26a86f93b645
Pokemon Japanese Peerless Fighters Booster Box,24,2024-07-27,20.0,871.0,113.93,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-add70e5a-2261-4e83-80df-31ec3b580464
Pokemon Japanese Rapid Strike Master Booster Box,15,2024-07-21,100.0,350.0,172.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2364e98e-0c56-4f98-ae78-59ab96be37cc
Pokemon Japanese Single Strike Master Booster Box,16,2024-07-21,100.0,275.0,143.2,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5c5e8cf7-6b0e-4029-8253-54757669a437
Pokemon Japanese Shiny Star V Booster Box,12,2024-07-20,78.99,255.0,128.23,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-264d7e4c-afa6-4392-af4b-0f4b7e1c282c
Pokemon Japanese Amazing Volt Tackle Booster Box,7,2024-07-25,84.95,120.0,96.9,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d3b22358-6d1a-4c66-b9ae-29eff447e90f
Pokemon Japanese Legendary Heartbeat Booster Box,9,2024-07-08,99.99,168.0,112.38,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2c851526-390a-40a8-959f-4d9773607369
Pokemon Japanese Infinity Zone Booster Box,20,2024-07-27,29.0,299.99,93.61,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0a968c3e-8b86-49e0-8a65-ad04822a22fe
Pokemon Japanese Explosive Walker Booster Box,24,2024-07-27,2.65,238.0,47.39,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-932f058f-9b01-47cb-85ba-c9de27d9cd58
Pokemon Japanese Rebellion Crash Booster Box,21,2024-07-27,15.0,274.95,63.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c51ba0d9-451f-4fcb-90e5-a2a1a2fb7e65
Pokemon Japanese VMAX Rising Booster Box,22,2024-07-26,92.12,250.0,133.44,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-15d3ddc8-6fa6-4d4b-935b-fd24c03d7585
Pokemon Japanese Sword Booster Box,9,2024-07-27,51.97,325.0,126.17,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6416483d-1bb4-49d4-adc5-9523201a85cb
Pokemon Japanese Shield Booster Box,9,2024-07-27,51.97,325.0,126.17,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ef71f1c4-6e11-4d9d-9d1e-3e97a40847b3
