searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
2021 PANINI NFL DONRUSS OPTIC FOOTBALL TRADING CARD MEGA BOX,16,2024-04-22,75.0,182.5,98.39,$75.00,$11.58,$85.22,https://quickchart.io/chart/render/sf-0481a623-34ae-4d95-9e9f-d49c334ff479
2022 PANINI FIFA WORLD CUP PRIZM SOCCER BLASTER BOX,25,2024-04-23,20.5,235.0,52.61,$40.00,$6.30,$45.45,https://quickchart.io/chart/render/sf-8fe87233-a5d7-4f2f-926f-ec5cfe2bfa08
2022 PANINI NFL SELECT FOOTBALL TRADING CARD MEGA BOX,19,2024-04-22,35.0,686.0,112.84,$75.00,$24.30,$85.22,https://quickchart.io/chart/render/sf-9b55ee7a-e3b5-41fc-ab68-112ce36d43ff
2023 PANINI NFL ABSOLUTE FOOTBALL TRADING CARD MEGA BOX,11,2024-04-22,79.99,330.0,165.22,$50.00,$95.39,$56.81,https://quickchart.io/chart/render/sf-8a655e49-6545-4d03-a436-2e43bd2b80fa
2023 PANINI NFL DONRUSS FOOTBALL TRADING CARD MEGA BOX,21,2024-04-21,135.0,450.0,203.89,$50.00,$129.42,$56.81,https://quickchart.io/chart/render/sf-1c72b47d-870d-4864-9705-2518aeec6ed9
2023 PANINI NFL PRIZM FOOTBALL MEGA BOX,14,2024-04-23,67.99,124.99,87.62,$75.00,$2.11,$85.22,https://quickchart.io/chart/render/sf-37ae506a-a390-4e93-98e2-fbe428a99009
2023 PANINI NFL ROOKIES AND STARS FOOTBALL TRADING CARD MEGA BOX,9,2024-04-20,89.99,249.97,208.77,$75.00,$108.72,$85.22,https://quickchart.io/chart/render/sf-5737658d-b761-4806-9270-f9e012e625b5
2023-24 PANINI NBA PRIZM BASKETBALL TRADING CARD MEGA BOX,4,2024-04-22,355.0,499.99,392.5,$75.00,$270.40,$85.22,https://quickchart.io/chart/render/sf-3fd8c052-9459-4c9c-bc9b-94ce46bfea79
2023-24 UPPER DECK NHL SERIES 2 HOCKEY MEGA BOX,11,2024-04-23,77.99,240.0,142.57,$50.00,$75.46,$56.81,https://quickchart.io/chart/render/sf-d82bbe5c-d032-434b-a9e3-a563b04fdb71
2023-24 UPPER DECK SERIES 2 HOCKEY TIN,23,2024-04-22,85.0,290.0,162.78,$75.00,$68.25,$85.22,https://quickchart.io/chart/render/sf-237bf926-f98c-4ec0-a4ef-9660af405c8d
2024 PANINI PRIZM FOOTBALL HANGER BOX,9,2024-04-14,59.93,144.99,101.98,$35.00,$54.74,$39.77,https://quickchart.io/chart/render/sf-df261fdb-e9a3-41d8-94ba-78abf08172d6
BAKUGAN EVOLUTIONS PRISMA DRAGONOID,8,2024-04-19,19.95,115.0,87.49,$10.00,$66.99,$11.36,https://quickchart.io/chart/render/sf-60043839-c393-497c-bbc5-92b4f350ea3a
BARBIE 12 DAYS OF CHRISTMAS DOLL,4,2024-04-22,169.0,475.0,267.24,$160.00,$75.17,$181.81,https://quickchart.io/chart/render/sf-471a9d2f-3a24-42dc-a836-852ee508755a
BARBIE COLLECTIBLE DOLL MARGOT ROBBIE AS BARBIE IN PINK GINGHAM OUTFIT,11,2024-04-19,24.95,69.99,50.46,$40.00,$4.40,$45.45,https://quickchart.io/chart/render/sf-e8395fe1-0272-42b2-a91a-8a00de8fe3b6
BARBIE COLLECTIBLE DOLL MARGOT ROBBIE AS BARBIE IN PINK WESTERN OUTFIT,22,2024-04-21,64.0,133.31,72.17,$60.00,$3.51,$68.18,https://quickchart.io/chart/render/sf-398b94a1-6472-48ea-909b-52e8b7d3f4f3
BARBIE DOLL KEN DOLL WEARING BLACK AND WHITE WESTERN OUTFITT,15,2024-04-22,39.99,68.0,51.79,$60.00,$-14.42,$68.19,https://quickchart.io/chart/render/sf-c41b1fdf-7177-4f09-b23a-33280b88aa06
BARBIE DOLL MARGOT ROBBIE AS BARBIE IN PINK POWER JUMPSUIT,16,2024-04-19,19.97,39.95,25.74,$30.00,$-7.35,$34.10,https://quickchart.io/chart/render/sf-269dc51e-aff4-4ea7-88c4-a53c583647a9
BARBIE DOLL MARGOT ROBBIE AS BARBIE WEARING BLUE PLAID SET,8,2024-04-21,49.99,65.0,57.22,$60.00,$-9.65,$68.19,https://quickchart.io/chart/render/sf-e081833c-327e-4718-a737-5eb4b6575a7c
BARBIE DOLL STEVIE NICKS MUSIC COLLECTOR,8,2024-04-23,177.5,299.24,214.39,$80.00,$108.66,$90.90,https://quickchart.io/chart/render/sf-a07ce3d1-1bc5-436f-aee0-8848e8f02848
BARBIE MARIAH CAREY HOLIDAY,19,2024-04-22,42.95,74.99,51.39,$150.00,$-104.78,$170.46,https://quickchart.io/chart/render/sf-2ce884ce-e8ee-483e-86d6-eefd33e10d1f
BARBIE QUEEN OF SALSA CELIA CRUZ COLLECTOR DOLL,17,2024-04-19,19.69,38.99,30.2,$70.00,$-43.42,$79.55,https://quickchart.io/chart/render/sf-54557fe2-52fa-4f80-b12f-1450af745aaf
BARBIE SIGNATURE MARIA FELIX COLLECTOR DOLL,12,2024-04-13,47.0,67.95,60.19,$50.00,$2.97,$56.81,https://quickchart.io/chart/render/sf-0f4380b6-6fe8-4398-b051-f4521e4417c1
BARBIE SKIPPERS FIRST JOB TARGET DOLL,6,2024-04-03,19.99,33.75,28.85,$30.00,$-4.61,$34.10,https://quickchart.io/chart/render/sf-88528a49-0ba2-4c80-9940-8b066bb3fdcb
BARBIE THE MOVIE FASHION PACK WITH THREE ICONIC FILM OUTFITS,7,2024-04-16,59.0,109.99,88.73,$60.00,$18.08,$68.18,https://quickchart.io/chart/render/sf-4eaa0a7d-db7e-4366-bc62-a65803273b62
BLOX FRUITS 8 DELUXE MYSTERY PLUSH,25,2024-04-21,28.99,69.99,35.06,$30.00,$0.85,$34.09,https://quickchart.io/chart/render/sf-49e94b65-eaf9-405f-980b-372c9d4b359b
BORED APE NFTY FIGS SERIES 1,17,2024-04-08,45.0,100.0,78.26,$140.00,$-71.13,$159.10,https://quickchart.io/chart/render/sf-b0ecc151-9215-4f0a-af26-f8c5d390cfbe
CARE BEARS HELLO KITTY CHEER BEAR 9 FUN SIZE PLUSH,18,2024-04-04,24.5,63.98,33.68,$150.00,$-120.36,$170.46,https://quickchart.io/chart/render/sf-82581658-c291-4260-830a-91e24f289462
CERAMIC TARGET CHRISTMAS TREE ORNAMENT SET 6 PC RED WHITE,10,2024-04-21,15.0,31.99,24.98,$30.00,$-8.02,$34.10,https://quickchart.io/chart/render/sf-09a58147-7216-4c22-8abe-acef8e8cbcfc
DIA DE MUERTOS WOOD OFRENDA BOX,15,2024-04-13,34.95,52.94,42.67,$30.00,$7.55,$34.09,https://quickchart.io/chart/render/sf-cb53f603-f599-4b1d-b99a-77f188dc4f6f
DRAGON BALL SUPER SON GOKU KAIO KEN ACTION FIGURE,13,2024-04-22,64.99,150.0,105.9,$40.00,$53.19,$45.45,https://quickchart.io/chart/render/sf-6084c8f1-fbd6-4d4f-adc0-0ff21ddef5aa
FEATHERLY FRIENDS FABRIC BIRD CHRISTMAS NATIVITY SET - WONDERSHOP,11,2024-04-15,25.0,52.95,38.84,$30.00,$4.18,$34.09,https://quickchart.io/chart/render/sf-41127a41-ce52-419b-8f57-a690cc248691
FEATHERLY FRIENDS GINGERBREAD FABRIC BIRD CHRISTMAS FIGURINE SET - WONDERSHOP,10,2024-04-15,34.95,52.95,41.68,$30.00,$6.68,$34.09,https://quickchart.io/chart/render/sf-bf632a00-2cb9-4cb5-8450-eea1928ae388
FUNKO POP AD ICONS - BULLSEYE DRESSED AS JOHN HAMMOND,10,2024-03-31,16.0,29.99,21.51,$20.00,$-1.07,$22.73,https://quickchart.io/chart/render/sf-74d0ec12-cb5a-45ff-bac9-d281f30b98e0
FUNKO POP AD ICONS BULLSEY AS SPIDEY,8,2024-04-02,19.99,29.99,25.12,$15.00,$7.11,$17.04,https://quickchart.io/chart/render/sf-01f75b10-cfc1-49d5-81b3-3e9ed53a1416
FUNKO POP STRANGER THINGS - EDDIE,14,2024-04-22,15.5,72.86,30.5,$16.00,$10.84,$18.18,https://quickchart.io/chart/render/sf-d90b9da4-a1f5-43f9-a18c-c187bb048938
