searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Transformation Mask Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Transformation_Mask_Japanese_Booster_Box.html,55,5.5,542.88,182.97,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ebae9b01-f28b-4cc1-b1f8-a1211b3ad574
Crimson Haze Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Crimson_Haze_Japanese_Booster_Box.html,39,54.96,139.59,69.78,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-53b69566-2bd1-43ba-9aca-17c56f963f95
Wild Force Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Wild_Force_Japanese_Booster_Box.html,27,59.99,184.99,99.32,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c11b982c-54bd-483f-861c-99815149287e
Cyber Judge Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Cyber_Judge_Japanese_Booster_Box.html,23,71.0,184.99,107.68,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4b7709ee-b482-461a-8a2d-fa5985363692
Shiny Treasure ex Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Shiny_Treasure_ex_Japanese_Booster_Box.html,19,48.39,149.75,73.51,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5f4cbe97-e74a-4904-9b78-4f1391c00146
Future Flash Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Future_Flash_Japanese_Booster_Box.html,36,31.0,162.5,61.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f4c432f0-da9f-4993-8b3e-37c7979278fd
Ancient Roar Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Ancient_Roar_Japanese_Booster_Box.html,47,26.0,128.68,52.13,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-942a8b7b-607d-48aa-a9a1-ddea9707d72f
Raging Surf Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Raging_Surf_Japanese_Booster_Box.html,29,38.0,154.99,74.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-45cdb982-4d65-48c9-bfba-5728a63432df
Ruler of the Black Flame Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Ruler_of_the_Black_Flame_Japanese_Booster_Box.html,20,55.98,161.97,74.02,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ebeefb21-03ac-467e-85e8-73e637edc9cd
Pokemon 151 Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Pokemon_151_Japanese_Booster_Box.html,33,137.89,419.99,202.16,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a2442614-cb09-4173-9838-efd5b4d42225
