Item,Total Sales,Avg Price,Median Price,Min Price,Max Price,Std Dev,Latest Sale,Market Sentiment,Velocity (per day),Price Change %,MSRP,Profit,ROI %,Breakeven Price
Pokemon Japanese Stellar Miracle Booster Box,22,$48.87,$49.48,$44.95,$54.99,$3.11,2025-06-28,📈 Active Market,0.7,+0.0%,N/A,N/A,N/A,N/A
Pokemon Japanese Night Wanderer Booster Box,29,$53.67,$50.00,$40.00,$98.00,$13.35,2025-06-28,📈 Active Market,0.9,+0.0%,N/A,N/A,N/A,N/A
Pokemon Japanese Transformation Mask Booster Box,29,$52.08,$51.31,$40.00,$72.99,$6.49,2025-06-28,🔥 Hot Market,0.4,+3.8%,N/A,N/A,N/A,N/A
Pokemon Japanese Crimson Haze Booster Box,28,$67.10,$64.50,$43.78,$155.00,$21.20,2025-06-28,📈 Active Market,0.8,+0.0%,N/A,N/A,N/A,N/A
Pokemon Japanese Wild Force Booster Box,20,$62.91,$59.49,$49.99,$104.48,$14.38,2025-06-28,📈 Active Market,0.7,+0.0%,N/A,N/A,N/A,N/A
Pokemon Japanese Cyber Judge Booster Box,27,$53.69,$51.99,$43.99,$100.00,$11.11,2025-06-26,📈 Active Market,0.9,+0.0%,N/A,N/A,N/A,N/A
Pokemon Japanese Shiny Treasure ex Booster Box,28,$78.07,$71.50,$40.99,$200.00,$32.27,2025-06-28,📈 Active Market,0.9,+0.0%,N/A,N/A,N/A,N/A
Pokemon Japanese Future Flash Booster Box,19,$67.79,$60.00,$50.00,$119.99,$22.85,2025-06-27,📈 Active Market,0.6,+8.6%,N/A,N/A,N/A,N/A
Pokemon Japanese Ancient Roar Booster Box,23,$61.25,$54.99,$39.99,$119.99,$21.85,2025-06-28,📈 Active Market,0.7,+0.0%,N/A,N/A,N/A,N/A
Pokemon Japanese Raging Surf Booster Box,22,$77.61,$71.00,$61.00,$145.34,$21.01,2025-06-28,📈 Active Market,0.6,+0.0%,N/A,N/A,N/A,N/A
Pokemon Japanese Ruler of the Black Flame Booster Box,25,$83.37,$79.99,$47.99,$149.80,$27.79,2025-06-28,📈 Active Market,0.7,+0.0%,N/A,N/A,N/A,N/A
Pokemon Japanese Pokemon 151 Booster Box,18,$141.12,$137.82,$115.00,$170.00,$15.81,2025-06-28,📈 Active Market,0.6,+0.0%,N/A,N/A,N/A,N/A
Pokemon Japanese Clay Burst Booster Box,28,$82.01,$75.44,$51.00,$212.50,$37.83,2025-06-23,📈 Active Market,0.8,+59.8%,N/A,N/A,N/A,N/A
Pokemon Japanese Snow Hazard Booster Box,28,$53.22,$51.00,$37.50,$139.99,$18.08,2025-06-26,📈 Active Market,0.9,+0.0%,N/A,N/A,N/A,N/A
Pokemon Japanese Triplet Beat Booster Box,21,$110.46,$92.99,$63.00,$364.80,$66.87,2025-06-27,🔥 Hot Market,0.4,+29.6%,N/A,N/A,N/A,N/A
Pokemon Japanese Violet ex Booster Box,22,$63.72,$61.86,$40.99,$114.99,$15.83,2025-06-28,📈 Active Market,0.7,+0.0%,N/A,N/A,N/A,N/A
Pokemon Japanese Scarlet ex Booster Box,21,$67.01,$65.69,$44.98,$114.99,$14.18,2025-06-28,📈 Active Market,0.7,+0.0%,N/A,N/A,N/A,N/A
Pokemon Japanese VSTAR Universe Booster Box,12,$121.67,$115.85,$94.00,$185.00,$22.73,2025-06-27,📈 Active Market,0.4,+0.0%,N/A,N/A,N/A,N/A
Pokemon Japanese Paradigm Trigger Booster Box,26,$99.61,$89.64,$53.99,$254.99,$41.83,2025-06-27,🔥 Hot Market,0.6,+38.1%,N/A,N/A,N/A,N/A
Pokemon Japanese Incandescent Arcana Booster Box,21,$74.04,$69.99,$51.00,$166.55,$25.34,2025-06-28,📉 Slow Market,0.2,-20.9%,N/A,N/A,N/A,N/A
Pokemon Japanese Lost Abyss Booster Box,20,$164.71,$159.97,$119.99,$285.00,$43.34,2025-06-28,📈 Active Market,0.4,-2.2%,N/A,N/A,N/A,N/A
Pokemon Japanese Pokemon GO Booster Box,18,$69.56,$63.50,$44.95,$124.00,$22.60,2025-06-28,📈 Active Market,0.6,+0.0%,N/A,N/A,N/A,N/A
Pokemon Japanese Dark Phantasma Booster Box,16,$104.31,$86.84,$67.01,$169.50,$36.13,2025-06-24,❄️ Cold Market,0.0,-31.4%,N/A,N/A,N/A,N/A
