searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
GradedGuard Metallic PSA,14,2025-01-02,69.0,120.0,84.36,$15.00,$59.24,$17.04,https://quickchart.io/chart/render/sf-968452f5-e2af-4e86-a00a-678b72896419
GradedGuard Glow Glow-in-the-Dark,2,2025-01-01,19.95,24.99,22.47,$12.00,$7.77,$13.63,https://quickchart.io/chart/render/sf-65ddecc4-be8e-44b2-88e7-327d2ae646f6
GradedGuard Metallic BGS,10,2025-01-02,18.0,69.99,33.3,$15.00,$14.30,$17.04,https://quickchart.io/chart/render/sf-b10c4422-df3d-4641-93ec-b8771cd82cc3
GradedGuard Nebula PSA,20,2025-01-02,89.0,452.0,171.57,$15.00,$135.98,$17.04,https://quickchart.io/chart/render/sf-f3ddfc2f-810f-40a3-a65c-0bb011d1afda
GradedGuard Rainbow PSA,25,2025-01-02,75.0,155.0,93.72,$15.00,$67.47,$17.04,https://quickchart.io/chart/render/sf-0251d7e3-997c-41d0-a8f9-1f3bc81d679e
GradedGuard Metallic CGC,6,2025-01-02,18.0,36.0,21.33,$15.00,$3.77,$17.04,https://quickchart.io/chart/render/sf-169e518c-280d-44bc-bae4-57996663290f
GradedGuard x Oxley Grading BGS,3,2024-12-23,149.99,300.0,203.33,$15.00,$163.93,$17.04,https://quickchart.io/chart/render/sf-72e1f9d5-4832-47ca-95c8-5d5818fa1eb1
GradedGuard Sunset PSA,12,2025-01-02,79.99,109.0,91.25,$15.00,$65.30,$17.04,https://quickchart.io/chart/render/sf-f295cabc-4759-4c61-b4da-bce70ff7594f
GradedGuard Labyrinth PSA,17,2025-01-02,89.0,155.0,116.41,$15.00,$87.44,$17.04,https://quickchart.io/chart/render/sf-795ac8a8-388c-4415-b38b-3b80b30eaded
GradedGuard x Oxley Grading CGC,4,2024-12-23,110.0,300.0,180.0,$15.00,$143.40,$17.04,https://quickchart.io/chart/render/sf-b046c7c2-f991-4ce4-b827-c7aad3f5f224
GradedGuard Rainbow BGS,20,2024-12-31,32.0,300.0,94.88,$15.00,$68.49,$17.04,https://quickchart.io/chart/render/sf-6616b0ca-d93f-455c-be45-91d0eb1c2187
GradedGuard Rainbow CGC,25,2025-01-03,7.1,199.0,50.22,$15.00,$29.19,$17.04,https://quickchart.io/chart/render/sf-29cc8ed8-2012-40fe-982e-735793bfb00b
GradedGuard x Kryptik CGC,1,2024-12-13,59.99,59.99,59.99,$12.00,$40.79,$13.63,https://quickchart.io/chart/render/sf-0a15515f-0788-4ce6-90c2-b70a93ee2923
GradedGuard Nebula BGS,21,2024-12-31,36.0,912.6,189.62,$15.00,$151.87,$17.04,https://quickchart.io/chart/render/sf-b60942a2-46a1-44b0-a40d-5173f0c437f4
GradedGuard Nebula CGC,16,2024-12-31,28.0,155.0,90.28,$15.00,$64.45,$17.04,https://quickchart.io/chart/render/sf-4d2f6370-ae0a-4c56-963e-8b7f7b826079
