searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
8BITDO 64 BLUETOOTH CONTROLLER,16,2024-12-17,29.5,115.0,45.89,$300.00,$-259.62,$340.91,https://quickchart.io/chart/render/sf-43e86457-7f2a-4b66-bdad-3c1f8be8378a
ALIENWARE 27 INCH 240HZ GAMING MONITOR AW2721D,11,2024-11-14,299.99,425.0,339.48,$750.00,$-451.26,$852.28,https://quickchart.io/chart/render/sf-57b5ccce-5c58-49b6-b46e-1893c93b120a
AMD RYZEN 7 9800X3D DESKTOP PROCESSOR,18,2024-12-17,665.0,749.99,711.93,$2000.00,$-1373.50,$2272.73,https://quickchart.io/chart/render/sf-7da2437e-cc60-4990-9468-2f860f3013d1
ASROCK PHANTOM GAMING X870E NOVA WIFI MOTHERBOARD,16,2024-12-14,349.99,824.95,521.55,$500.00,$-41.04,$568.19,https://quickchart.io/chart/render/sf-f1bfdc3e-85c7-414a-8bce-82a6cb1a0934
ASROCK PHANTOM GAMING X870E TAICHI MOTHERBOARD,6,2024-12-13,399.99,874.95,509.65,$500.00,$-51.51,$568.19,https://quickchart.io/chart/render/sf-2d8f1afc-b0b4-4467-8c67-12d88e719d84
ASUS GEFORCE RTX 3080 STRIX EVA,18,2024-12-11,350.0,899.0,464.43,$850.00,$-441.30,$965.91,https://quickchart.io/chart/render/sf-feb05507-ac97-497f-b4d6-c1af592abd8e
ASUS GEFORCE RTX 3090 EKWB,20,2024-12-17,670.0,1299.0,826.8,$1200.00,$-472.42,$1363.64,https://quickchart.io/chart/render/sf-0cb444f4-2d92-4c24-a8fa-5d06ecdd5a42
ASUS GEFORCE RTX 3090 STRIX OC,25,2024-12-17,700.0,1299.0,859.56,$1300.00,$-543.59,$1477.28,https://quickchart.io/chart/render/sf-0659070a-1b90-482c-97cd-e6a358d25a73
ASUS GEFORCE RTX 3090 STRIX WHITE OC,19,2024-12-15,740.0,1300.0,937.98,$1300.00,$-474.58,$1477.28,https://quickchart.io/chart/render/sf-54299036-ed42-4c49-b441-aa7acb95dd8f
ASUS GEFORCE RTX 3090 TI STRIX OC EVA,13,2024-12-15,600.0,900.0,792.29,$1350.00,$-652.78,$1534.10,https://quickchart.io/chart/render/sf-f41f706d-2cb3-4cb2-ba28-b3d8b87ad5c1
ASUS GEFORCE RTX 3090 TI STRIX OC LC,14,2024-12-15,600.0,1100.0,804.34,$1500.00,$-792.18,$1704.55,https://quickchart.io/chart/render/sf-91cdab75-1afd-4339-8078-72e84d2fa8e1
ASUS GEFORCE RTX 3090 TUF,25,2024-12-17,675.0,1399.0,853.12,$1200.00,$-449.25,$1363.64,https://quickchart.io/chart/render/sf-1f5707a5-9a36-46f7-9e6e-43ee91596373
ASUS GEFORCE RTX 3090 TUF OC,25,2024-12-17,675.0,1299.0,807.43,$1200.00,$-489.46,$1363.64,https://quickchart.io/chart/render/sf-0cac25fc-1db8-4b97-87d8-9ce7382471ea
ASUS GEFORCE RTX 4080 NOCTUA OC,22,2024-12-17,736.22,1809.0,1050.63,$1500.00,$-575.45,$1704.55,https://quickchart.io/chart/render/sf-1dea2623-3b06-41ac-9561-5e6440a9bf9e
ASUS GEFORCE RTX 4080 SUPER STRIX,11,2024-12-15,1682.99,2799.0,1929.23,$1500.00,$197.72,$1704.54,https://quickchart.io/chart/render/sf-44b349f5-91ab-4ca0-acff-60ea45d43679
ASUS GEFORCE RTX 4080 SUPER STRIX OC,9,2024-12-15,1158.0,1989.34,1747.55,$1500.00,$37.84,$1704.54,https://quickchart.io/chart/render/sf-7279e455-3837-4ab4-a078-fb50b496ec25
ASUS GEFORCE RTX 4080 SUPER STRIX WHITE,10,2024-12-11,1199.99,2000.0,1617.23,$1500.00,$-76.84,$1704.55,https://quickchart.io/chart/render/sf-6868cfd1-2aa2-4564-bec0-0870f514563a
