searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
rlc exclusive 2023 mainline factory sealed set hkl75,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_2023_mainline_factory_sealed_set_hkl75.html,45,950.0,1250.0,1006.35,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c9e758b5-eee4-4fea-9761-b89d89dc6377
rlc exclusive 2022 mainline factory sealed set hcw16,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_2022_mainline_factory_sealed_set_hcw16.html,45,950.0,1250.0,1007.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-edf8975e-430c-465e-81d8-5005a2f8e86b
rlc exclusive 2021 mainline factory sealed set gtd82,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_2021_mainline_factory_sealed_set_gtd82.html,45,950.0,1250.0,1007.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-047455fb-e832-48b1-a428-f1de867b519b
hot wheels rlc treasure hunt set hnl32,https://streamline1175.github.io/130-Search-Results/hot_wheels_rlc_treasure_hunt_set_hnl32.html,31,232.5,725.0,446.73,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a06d33ab-3194-4e46-b63d-eefe331f4578
2022 hot wheels super treasure hunt set hgk86,https://streamline1175.github.io/130-Search-Results/2022_hot_wheels_super_treasure_hunt_set_hgk86.html,5,449.99,499.88,464.47,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-07cbec65-b93d-41e6-a5c3-3bad78ab14b5
rlc exclusive 2020 super treasure hunt set glh99,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_2020_super_treasure_hunt_set_glh99.html,21,430.0,716.1,476.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1d28c119-2eb0-4910-965f-7a15f936d605
hot wheels mainline 100 car case pack v6697,https://streamline1175.github.io/130-Search-Results/hot_wheels_mainline_100_car_case_pack_v6697.html,9,30.0,101.0,55.21,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7cb225a3-26f6-45bf-987f-e233ccaddc88
bape hot wheels 1955 mercedes benz 300 sl hjp38,https://streamline1175.github.io/130-Search-Results/bape_hot_wheels_1955_mercedes_benz_300_sl_hjp38.html,7,110.0,145.0,124.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-aa4e388d-e964-4ff7-991b-1e6ed934620c
rlc exclusive 70s dodge tradesman van hgk78,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_70s_dodge_tradesman_van_hgk78.html,15,63.5,80.0,71.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c06d9db0-a060-4a44-bf92-1ec347e19e41
hot wheels rlc 1975 chevrolet monte carlo hgk77,https://streamline1175.github.io/130-Search-Results/hot_wheels_rlc_1975_chevrolet_monte_carlo_hgk77.html,26,47.0,78.99,55.93,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bea550c4-6019-4c3b-8369-50c7712dffb7
rlc exclusive kawa bug a 49 vw beetle hgk76,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_kawa_bug_a_49_vw_beetle_hgk76.html,25,64.97,145.0,113.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9ae8b2b7-7347-4043-ba84-1414e8a1c60f
rlc selections 82 lamborghini countach lp500 s hgw25,https://streamline1175.github.io/130-Search-Results/rlc_selections_82_lamborghini_countach_lp500_s_hgw25.html,19,40.0,56.88,46.62,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-05793f94-3cb6-40c0-b43c-3e021d8c2eda
rlc exclusive datsun 150 hgw17,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_datsun_150_hgw17.html,8,44.0,59.5,50.39,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9dcc6708-e6a5-49f9-90a6-8e362c3b6798
rlc exclusive holiday 64 impala,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_holiday_64_impala.html,13,74.99,105.0,85.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4ae08df6-e662-4541-9d50-bbcb4d9d91bc
hot wheels ultimate challenge nissan skyline gt r r33 hyh22,https://streamline1175.github.io/130-Search-Results/hot_wheels_ultimate_challenge_nissan_skyline_gt_r_r33_hyh22.html,29,14.5,59.0,26.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9d2600e9-43ac-4b7b-9290-0187dac4fde4
rlc exclusive 71 datsun 510 glh93,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_71_datsun_510_glh93.html,15,60.99,235.0,119.98,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-102d6486-7cec-4e18-8e38-f52a42ba673b
rlc exclusive volkswagen drag bus glh95,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_volkswagen_drag_bus_glh95.html,18,65.0,145.0,85.1,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-315efdf1-d40c-4a1a-a94a-1b547065d5f8
rlc exclusive custom mustang,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_custom_mustang.html,20,26.55,70.0,38.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cd2129ba-d968-4951-971d-b960d2d0a255
rlc exclusive 2006 bmw m3 glh84,https://streamline1175.github.io/130-Search-Results/rlc_exclusive_2006_bmw_m3_glh84.html,10,50.0,57.7,52.92,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d415cca5-8ee0-4a3f-a21d-ef0aa03c5a42
