searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Scarlet & Violet - Twilight Masquerade Booster Box,8,2024-04-11,80.0,149.99,104.04,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2884193e-9e70-42cc-8e26-bf759067fd16
Scarlet & Violet - Temporal Forces Booster Box,14,2024-04-12,94.5,176.38,120.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3e55feb2-2fc0-448f-b9e1-58393e260a5b
Scarlet & Violet - Paldean Fates Booster Box,12,2024-04-11,29.12,120.0,53.58,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-15df94b2-9ad1-4b1b-999e-2898357aa195
Scarlet & Violet - Paradox Rift Booster Box,8,2024-04-10,89.99,495.0,263.19,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-36c77b65-b7d8-4582-9ea1-63df3a40015e
Scarlet & Violet - 151 Booster Box,21,2024-04-12,3.25,356.25,71.82,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-98941789-87c9-40ef-acca-acb0f158ad1d
Scarlet & Violet - Obsidian Flames Booster Box,8,2024-04-11,95.0,121.23,103.6,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c8caf397-ed3d-44b2-b356-5d116b186fc9
Scarlet & Violet - Paldea Evolved Booster Box,4,2024-04-11,569.99,599.99,583.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-08ed69d9-cff4-4248-b1eb-7d1109bb0179
Scarlet & Violet Booster Box,17,2024-04-12,4.99,145.98,58.61,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-39ed3d73-a5a3-46b4-b64b-92f47a88c53f
Crown Zenith Booster Box,5,2024-04-12,70.0,193.5,130.6,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ce4180f3-db54-47f7-b35d-fc522be6043e
Sword & Shield - Silver Tempest Booster Box,12,2024-04-11,116.5,249.9,157.76,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e23e64c0-299e-417c-bec5-e958c4906bdd
Sword & Shield - Lost Origin Booster Box,5,2024-04-11,910.0,1207.99,1088.6,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-190d2ddc-1886-4d43-aa1b-3b947ee7801f
Pokémon TCG: Pokémon GO Booster Box,3,2024-04-12,24.95,64.0,44.64,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cab5012e-37fe-4c61-8113-cba059e4ebae
Sword & Shield - Astral Radiance Booster Box,10,2024-04-11,125.18,227.43,166.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-52acc932-c99c-4fc3-a5a3-5136b6ae36a2
Sword & Shield - Brilliant Stars Booster Box,11,2024-04-11,165.0,249.99,196.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8058dedd-de55-4456-bafc-26b6c15b0fa2
Sword & Shield - Fusion Strike Booster Box,7,2024-04-11,995.0,1699.0,1234.14,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-81af88fd-f10d-4a29-86f0-4c2ddb9546b5
Celebrations Booster Box,18,2024-04-12,67.99,339.0,127.26,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a55adc89-34f6-48ec-8584-fb2fbc121842
Sword & Shield - Evolving Skies Booster Box,8,2024-04-11,599.0,680.0,639.26,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-349b6fc6-5132-4ae2-9f9e-92445a2ae47c
Sword & Shield - Chilling Reign Booster Box,3,2024-04-09,1299.0,1439.95,1379.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4bbc9e6a-7a09-497a-95a9-432b481135ac
Sword & Shield - Battle Styles Booster Box,12,2024-04-11,100.0,240.0,120.41,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3756bb8b-502f-4111-957d-087478bd6866
Shining Fates Booster Box,16,2024-04-12,21.5,164.99,53.72,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3013bb49-afa7-4170-8aa9-9e8a88059951
Sword & Shield - Vivid Voltage Booster Box,13,2024-04-11,108.62,162.74,128.74,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e242b10a-fad0-4e79-8ddb-48332dd1ecee
