searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
1Year Monster High Collectors Fang Club Membership HWV35,1,2024-04-14,93.0,93.0,93.0,$9.99,$71.85,$11.35,https://quickchart.io/chart/render/sf-9bf63be6-25a8-4684-940b-b5a155c27217
18 Dodge Challenger SRT Demon HWW83,27,2024-04-25,65.0,99.99,84.1,$99.99,$-25.98,$113.63,https://quickchart.io/chart/render/sf-5e39693b-cb9a-42ed-ae6e-44e91b2798b9
1988 Jeep Wagoneer HWW85,17,2024-04-26,30.0,155.0,79.4,$99.99,$-30.12,$113.63,https://quickchart.io/chart/render/sf-256bba21-e322-4260-9098-8ccc9b50cb03
164 Hot Wheels RC Cybertruck GXG30,7,2024-04-16,22.0,25.19,24.54,$23.00,$-1.40,$26.14,https://quickchart.io/chart/render/sf-a22df5b0-a5bb-4b14-9fc4-712ee53757fb
2020 Holiday Barbie Doll Blonde Long Hair GNR92,6,2024-04-24,17.5,37.77,25.88,$40.00,$-17.23,$45.46,https://quickchart.io/chart/render/sf-0507ab0c-98ba-4795-891a-fce4d829738c
2021 Car Culture Mix 4 Exotic Envy FPY86D,13,2024-04-26,17.98,43.99,32.52,$54.99,$-26.37,$62.49,https://quickchart.io/chart/render/sf-a9420f99-6a16-4dee-adab-d93c063040dd
2021 Car Culture Mix 7  Modern Classics FPY86G,5,2024-04-24,12.99,54.99,21.69,$55.00,$-35.91,$62.51,https://quickchart.io/chart/render/sf-2acfaa71-f675-4257-9369-f39378fd668d
2021 Holiday Barbie Doll Brunette Braids GXL22,13,2024-04-25,23.99,52.99,32.23,$36.00,$-7.64,$40.91,https://quickchart.io/chart/render/sf-0082e539-e2d5-443c-a6a7-d00f04dd56de
2021 Holiday Barbie Doll Brunette Curly Hair Product GXL23,5,2024-04-14,24.99,43.19,31.63,$36.00,$-8.17,$40.91,https://quickchart.io/chart/render/sf-93fb5ccf-105f-4c1b-ba2f-152a728eba17
2021 Hot Wheels Car Culture British Horsepower FPY86A,10,2024-04-24,8.99,30.0,14.2,$54.99,$-42.49,$62.49,https://quickchart.io/chart/render/sf-9c2cbec1-a007-4762-9e6d-ff2b14fa58d4
2022 Barbie Da De Muertos Doll HBY09,13,2024-04-19,45.0,110.49,59.36,$80.00,$-27.76,$90.91,https://quickchart.io/chart/render/sf-cc1fa444-a068-4c9c-82ff-23bdcbbb95ff
2022 Car Culture Mix 5 Jay Lenos Garage Case Pack HFF45,2,2024-03-17,16.99,34.99,25.99,$38.00,$-15.13,$43.19,https://quickchart.io/chart/render/sf-68d9f475-714a-4fa6-9118-78f3790bc64b
2022 Holiday Barbie Doll Blonde Hair HBY06,14,2024-04-25,14.99,32.99,21.7,$45.00,$-25.90,$51.14,https://quickchart.io/chart/render/sf-b8eb6ac0-9540-4583-aa0b-ab1b2b175ad0
2022 Holiday Barbie Black Hair HCC05,8,2024-04-26,19.99,52.99,32.06,$45.00,$-16.79,$51.14,https://quickchart.io/chart/render/sf-ac21b11f-df5a-496a-8ae3-763d1a4c0e2d
2022 Holiday Barbie DarkBrown Hair HBY07,15,2024-04-25,17.8,30.0,22.56,$45.00,$-25.15,$51.14,https://quickchart.io/chart/render/sf-c3155900-e364-47a4-a648-aadf0ceac04a
2022 Holiday Barbie LightBrown Hair HBY08,13,2024-04-15,16.99,50.99,25.18,$45.00,$-22.84,$51.14,https://quickchart.io/chart/render/sf-f4bfa6da-ce8c-48a0-8a10-eda7e7b6bd51
2022 Hot Wheels Car Culture Mix 1 American Scene Case Pack HFF44,11,2024-04-26,9.99,32.75,15.18,$38.00,$-24.64,$43.19,https://quickchart.io/chart/render/sf-68e8fafc-4440-4b20-b5b0-76d9e24ca328
2022 Hot Wheels Car Culture Mix 2 Deutschland Design Case Pack HFF41,6,2024-04-17,19.49,39.49,30.78,$38.00,$-10.91,$43.19,https://quickchart.io/chart/render/sf-c3251af0-5253-46bd-846d-cf0ef9f64b09
2022 Hot Wheels Car Culture Mix 3 Mountain Drifters Case Pack HFF43,5,2024-04-19,29.44,55.52,36.39,$35.00,$-2.98,$39.78,https://quickchart.io/chart/render/sf-92dafd6e-5200-4d3e-845a-e2a441ff6c5e
2022 Hot Wheels Premium Car Culture Mix 4 Exotic Envy HFF42,18,2024-04-22,18.0,35.0,26.52,$38.00,$-14.66,$43.19,https://quickchart.io/chart/render/sf-9e21b71d-4370-4fbb-839b-3c547a5abff5
