searching,github_webpage,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Transformation Mask Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Transformation_Mask_Japanese_Booster_Box.html,56,5.5,1042.0,190.7,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c0b6e103-cb99-4aae-b966-6e27bd952c07
Crimson Haze Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Crimson_Haze_Japanese_Booster_Box.html,14,59.99,149.99,77.04,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9670c148-d62a-4ad6-9532-36b9ddee22b7
Wild Force Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Wild_Force_Japanese_Booster_Box.html,27,59.99,184.99,98.37,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8bb00ee2-0f4e-491e-9e57-89c9e97dde1f
Cyber Judge Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Cyber_Judge_Japanese_Booster_Box.html,24,64.88,184.99,103.46,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b74da4a6-6859-408d-9398-dff8a8a224bc
Shiny Treasure ex Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Shiny_Treasure_ex_Japanese_Booster_Box.html,22,47.0,129.99,63.72,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5b8a3f1d-ec32-4c27-b1bc-ab4ce6302f3b
Future Flash Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Future_Flash_Japanese_Booster_Box.html,21,47.89,129.63,77.4,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a80009b3-c125-495e-bf7f-509e08df91d7
Ancient Roar Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Ancient_Roar_Japanese_Booster_Box.html,26,41.0,129.99,71.16,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-56af1d0a-e3d4-44a4-9bf8-be4759cd04f9
Raging Surf Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Raging_Surf_Japanese_Booster_Box.html,30,29.0,154.99,77.1,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-34d8d54b-d747-47a4-b6b0-b75b559d9860
Ruler of the Black Flame Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Ruler_of_the_Black_Flame_Japanese_Booster_Box.html,22,57.0,161.97,81.55,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9522a27c-c673-435d-8082-08d0c6636a7b
Pokemon 151 Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Pokemon_151_Japanese_Booster_Box.html,31,130.74,419.99,181.78,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-646e81f5-ca5c-4926-802c-44c3b6286f0b
Clay Burst Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Clay_Burst_Japanese_Booster_Box.html,23,89.0,259.97,124.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-265c8000-b466-4d62-85f6-3a3e083a69fa
Snow Hazard Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Snow_Hazard_Japanese_Booster_Box.html,16,68.39,254.78,127.09,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-750d9c0b-2bab-480b-934a-9d3bf01aa35c
Triplet Beat Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Triplet_Beat_Japanese_Booster_Box.html,22,52.0,131.97,78.43,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-42a7782f-7dc1-4c4f-a286-002aae9b350e
Violet ex Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Violet_ex_Japanese_Booster_Box.html,14,59.87,164.78,87.08,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7caebc32-8be9-4626-8c7b-f6ca58650204
Scarlet ex Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Scarlet_ex_Japanese_Booster_Box.html,12,59.87,164.78,86.67,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-81aab2e0-690d-4ce7-b978-1da35712a1a1
VSTAR Universe Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/VSTAR_Universe_Japanese_Booster_Box.html,20,68.0,139.99,87.92,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9bad4c76-a7ef-4dd4-85fa-9ce8713c7032
Paradigm Trigger Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Paradigm_Trigger_Japanese_Booster_Box.html,33,68.0,180.19,95.92,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2d90fa4a-f88b-4d1d-ba54-1f55a8479f5d
Incandescent Arcana Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Incandescent_Arcana_Japanese_Booster_Box.html,16,87.0,203.82,117.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1c426d2d-8a9a-4ae6-bba2-129e19c39131
Lost Abyss Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Lost_Abyss_Japanese_Booster_Box.html,18,145.0,359.88,181.43,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ddb1f867-d600-4ac6-b710-ba2afb83185e
Pokemon GO Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Pokemon_GO_Japanese_Booster_Box.html,17,57.32,129.0,76.12,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1f9ce28b-63be-4a1a-b887-fd41235a4280
Dark Phantasma Japanese Booster Box,https://streamline1175.github.io/130-Search-Results/Dark_Phantasma_Japanese_Booster_Box.html,29,56.0,118.6,70.75,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-035f0566-b641-49ef-8589-163a986b8c56
