searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Scarlet Violet Twilight Masquerade Booster Box,8,2024-05-01,70.0,137.95,87.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-dbbfc023-1d59-476b-b620-7964c14eab0c
Scarlet Violet Temporal Forces Booster Box,18,2024-05-04,85.0,217.95,113.15,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a50d13f3-5173-4021-ac62-ea5fceb48f5a
Scarlet Violet Paldean Fates Booster Box,12,2024-05-04,51.0,199.99,102.06,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-416b1229-1c7e-4402-90cf-dc27662f9166
Scarlet Violet Paradox Rift Booster Box,10,2024-05-04,57.72,95.4,85.46,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-602e1acc-743e-49b5-931e-7e352dd2b42f
Scarlet Violet 151 Booster Box,8,2024-05-04,87.0,118.0,100.2,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-dc94d90a-ed48-4ecc-a951-859de16aee15
Scarlet Violet Obsidian Flames Booster Box,14,2024-05-04,93.0,149.99,104.09,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2f822889-6ff0-4d14-bd33-3a49a77c9c20
Scarlet Violet Paldea Evolved Booster Box,20,2024-05-04,85.0,775.95,138.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1892c3bc-cdba-4d4d-802c-66de445768a4
Scarlet Violet Booster Box,15,2024-05-04,32.55,142.99,69.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-727b4840-3050-4d57-946c-3fe940cae4f3
Crown Zenith Booster Box,6,2024-05-04,44.99,99.94,59.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4ec5e0a6-1c40-4829-9f8e-5dc2c33855bb
Sword Shield Silver Tempest Booster Box,6,2024-05-03,135.0,160.79,149.26,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1e763669-c6b0-4e38-8307-3dcacf029052
Sword Shield Lost Origin Booster Box,11,2024-05-03,199.88,415.0,252.06,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-782dd374-5e86-4c78-a7f1-01e797e2e487
Pokemon TCG Pokemon GO Booster Box,13,2024-05-03,34.7,52.0,42.29,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-476e72c0-d6af-4125-952c-c7a947d61d4c
Sword Shield Astral Radiance Booster Box,11,2024-05-04,21.5,174.99,106.44,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9bc0566f-a620-4f1d-9cf4-97d26ce3a281
Sword Shield Brilliant Stars Booster Box,15,2024-05-03,155.99,249.0,182.61,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d4c9deae-576c-4d03-9623-6e03c9d4b0ed
Sword Shield Fusion Strike Booster Box,15,2024-05-03,214.54,279.95,240.26,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-eb256a31-b381-4fd8-a3a9-98836ed15d76
Celebrations Booster Box,12,2024-05-03,72.0,340.0,187.63,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7608a408-6f03-4215-aa70-563fa2675412
Sword Shield Evolving Skies Booster Box,5,2024-05-03,399.95,727.1,620.41,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e1b947e3-2deb-4c10-ba9f-b131983ddf0e
Sword Shield Chilling Reign Booster Box,15,2024-05-03,181.99,376.4,223.04,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e19a7045-605e-48b1-bbc7-f180139068ee
Sword Shield Battle Styles Booster Box,15,2024-05-03,100.0,149.5,118.88,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5e7de794-b265-4c9e-854a-b8b0c5389f2e
Shining Fates Booster Box,16,2024-05-04,18.5,68.0,35.95,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a754cdff-1033-48ea-9fb1-b5a3f481acee
Sword Shield Vivid Voltage Booster Box,13,2024-05-03,103.5,385.0,149.67,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-85cd7f8b-e6b7-4cc8-92a4-c33654c382a8
Champion's Path Booster Box,14,2024-05-04,72.0,199.99,97.38,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4aea4a02-cedf-43d1-bb3a-ce0a6383cbf2
Sword Shield Darkness Ablaze Booster Box,17,2024-05-03,115.99,165.0,134.78,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b3263cdd-7130-4fb0-9e7d-d0fca0ac8aca
Sword Shield Rebel Clash Booster Box,23,2024-05-03,182.0,264.4,214.78,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-31a40d87-e4a3-43b2-b33a-2d479b749182
Sword Shield Base Booster Box,20,2024-05-03,205.0,350.0,283.26,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c5d38d20-cc25-49e3-9512-5288b79c81de
Transformation Mask Japanese Booster Box,14,2024-05-03,51.99,65.0,57.39,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f6129a20-9c96-42c2-b3b7-404753c2f07b
Crimson Haze Japanese Booster Box,24,2024-05-04,43.99,146.8,61.21,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-156dc750-f3f8-4195-8275-e6c2dda26789
Wild Force Japanese Booster Box,15,2024-05-04,43.99,106.6,69.51,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-81a2b444-1d8e-430c-854a-7b19cf390634
Cyber Judge Japanese Booster Box,11,2024-05-04,50.19,106.6,78.76,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-362a69ff-29c8-48b9-bc04-0887a4e16cb0
Shiny Treasure ex Japanese Booster Box,10,2024-05-04,39.0,69.99,47.32,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9d20fcc8-8247-4ea1-8331-bc2de6e7ab69
Future Flash Japanese Booster Box,9,2024-05-03,40.0,79.99,52.19,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0d0090e5-a5b8-404e-b9f8-0af8263f530f
Ancient Roar Japanese Booster Box,11,2024-05-04,42.99,79.99,56.5,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8ed1479e-10d3-4515-bd32-9ed7a692fd77
Raging Surf Japanese Booster Box,6,2024-05-04,45.95,59.8,54.26,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-11e4183c-7815-4669-9031-ee7030fe8301
Ruler of the Black Flame Japanese Booster Box,7,2024-05-04,48.0,86.11,58.49,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8c4db784-5e40-4da8-93e7-b46f52e16151
Pokemon 151 Japanese Booster Box,18,2024-05-04,71.9,239.0,107.19,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ec59d697-ddde-4bb2-8c8c-f5c1b87a2643
