searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Pokemon Center Alola Collection,20,2024-05-31,16.99,72.99,32.53,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2aedfe28-e071-4fe8-aad8-612459551628
Pokemon Center Celebrations Pokmon Center Elite Trainer Box,26,2024-06-01,76.0,106.36,91.77,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bf97f9d6-a7b0-429c-a84e-5c217dae3b53
Pokemon Center Champion's Path Elite Trainer Box,21,2024-06-01,75.0,125.0,86.63,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-35702a34-41ac-4b25-9cee-ac81543bffcd
Pokemon Center Charizard-GX Premium Collection,20,2024-06-01,50.0,218.99,92.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3a9fc6cc-69a0-46a9-990f-bbb8dc12c6c6
Pokemon Center Dragon Majesty Elite Trainer Box,12,2024-05-30,305.0,399.99,360.61,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b3c3da63-d685-4e6b-9b88-1157db2bd388
Pokemon Center Dragon Majesty Figure Collection,8,2024-05-16,114.99,185.0,142.94,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6827727a-2658-4456-8b5e-a000cba32027
Pokemon Center Dragon Majesty Pin Collection,7,2024-05-16,120.5,140.0,131.55,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f984b982-c20e-484e-882d-e5e02a38f521
Pokemon Center Dragon Majesty Pin Collection,7,2024-05-16,120.5,140.0,131.55,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a5584741-d847-4151-81de-7a71ee177087
Pokemon Center Espeon-GX Premium Collection,8,2024-05-31,82.0,266.0,150.3,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-71e8e3bb-0337-4676-8341-10f89634085b
Pokemon Center Generations Elite Trainer Box,17,2024-05-31,76.0,370.5,117.57,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f9bf1a9c-c376-40ef-bbe9-25be128bbf5d
Pokemon Center Hidden Fates Elite Trainer Box,22,2024-06-01,137.55,213.0,162.46,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-888fb2f9-429e-44c4-b62f-519341281b96
Pokemon Center Hidden Fates Great Ball Collection,15,2024-05-23,29.99,349.0,125.03,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-62876f7e-b7b6-44e1-ad4c-e3b36ff7d8df
Pokemon Center Hidden Fates Ultra-Premium Collection,17,2024-05-27,74.99,750.0,276.15,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-73d34d2f-a1cd-4fa1-b41a-9854928f2868
Pokemon Center Lunala-GX Box,2,2024-04-02,419.99,3600.0,2010.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-014a586f-031a-42d9-a23d-8a21b01f8daa
Pokemon Center Mega Charizard X Collection,14,2024-05-22,18.0,79.81,38.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3d870a87-709f-4029-b5da-32db09a11156
Pokemon Center Scarlet Violet Booster Display Box,10,2024-06-01,99.9,515.0,273.65,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9c77da29-739c-4cde-ad7a-1ce823152e9a
Pokemon Center Scarlet Violet-Paldean Fates Pokmon Center Elite Trainer Box,18,2024-05-31,34.0,73.8,47.12,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cb70721c-47eb-4a46-a6d8-55259ba4598d
Pokemon Center Shining Legends Elite Trainer Box,11,2024-05-31,230.0,309.95,274.79,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-01a97fe2-4327-42e9-b9d9-80283c43ec3c
Pokemon Center Shining Legends Figure Collection,15,2024-05-31,65.0,405.0,155.03,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a3b285ef-23f5-4c58-9445-5416d859f308
Pokemon Center Shining Legends Pin Collection,20,2024-05-31,76.0,180.0,98.42,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-53aa63e0-3100-41ff-8468-2e088d509946
Pokemon Center Shining Legends Pin Collection,20,2024-05-31,76.0,180.0,98.21,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8d7b3644-abd6-4298-b0e8-6313e095d21f
