searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
TEMPTATIONS KITTEN TREATS SALMON AND DAIRY TREAT - PACK OF 10,9,17.09,52.78,33.04,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6f8bfce8-e658-4e8c-a97e-f52f481055bb
TEMPTATIONS TENDER FILLS CAT TREAT - CHICKEN PACK OF 12,18,14.8,51.32,23.36,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-73cf257c-7aaa-477d-8ec0-d34044bea54d
THE LEGEND OF ZELDA AMIIBO FIGURE - LINK,39,17.0,49.99,24.91,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b95872a8-299f-48a7-b709-264fa524ec74
THERMAL GIRZZLY AM5 MYCRO DIRECT DIE,1,99.99,99.99,99.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7884f86e-d901-44a3-b48a-77c458453e96
THERMAL GRIZZLY AM5 MYCRO DIRECT DIE RGB,2,99.99,150.32,125.16,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8d2ab53e-e422-4a00-9ad2-90426781362e
THRUSTMASTER TMX FORCE FEEDBACK RACING WHEEL,29,87.92,209.95,129.6,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-261eb957-e88d-4852-ad7a-da5d35bcaa7b
THRUSTMASTER TS-XW RACER W/ SPARCO P310,9,306.0,600.0,438.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-aac3b280-a811-4709-a102-3ae8bbe99fdb
TIC TAC FRUIT ADVENTURE MINTS - 8 COUNT,8,22.49,43.53,30.24,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-807008ed-0183-40f7-97dd-0112cb2f4128
TP-LINK ARCHER BE900 QUAD BAND WIFI 7 ROUTER,11,201.0,425.0,276.57,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-80dd9171-c603-4aac-b48a-8a7bd228dccd
TYLENOL EXTRA STRENGTH CAPLETS 500 MG 225 CT,18,15.49,33.1,20.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e89d1b7a-1d9c-4814-995e-4bbb2879e9c2
VOOHEK 5-PIECE OUTDOOR PATIO DINING SET,35,261.09,799.99,446.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a92fc6fe-5116-42a9-99d7-cd621476b1c8
AMIIBO SORA KINGDOM HEARTS - SUPER SMASH BROS SERIES,41,24.0,34.95,27.89,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f2bb45c2-69b9-4255-85cf-f4307dc25559
BARBIE 50TH ANNIVERSARY BARBIE GLAMOUR AFRICAN AMERICAN DOLL,29,44.95,200.0,84.47,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5ae6cff5-ccfe-4408-a662-54ac77c4e091
BARBIE COLLECTOR STAR WARS STORMTROOPER DOLL,22,94.0,450.0,146.18,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7f6abfa7-1e05-4064-a1d8-d3dd104c336c
BARBIE DIA DE LOS MUERTOS DOLL,24,64.99,400.0,128.63,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-49c6eb7f-0bb4-4c0d-9ffb-4d84778c87c3
BARBIE DOLL STEVIE NICKS MUSIC COLLECTOR,22,184.95,299.24,212.48,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9933daab-9645-46a0-a5ac-e7ee30b5305f
BARBIE IN INLINE SKATING OUTFIT THE MOVIE EXCLUSIVE,32,21.97,60.0,30.37,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-be658391-2f00-4bdf-a4d2-3a90829f96d6
BARBIE IN PINK POWER JUMPSUIT THE MOVIE EXCLUSIVE,36,19.97,49.99,28.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-dcd4c9cc-6879-4762-a28f-fcb646e0ef82
BARBIE INSPIRING WOMEN DOLL WILMA MANKILLER COLLECTIBLE TURQUOISE DRESS,11,141.99,268.0,165.22,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-624940ad-43d8-493f-b0f3-d285149741d2
BARBIE KEN DOLL IN INLINE SKATING OUTFIT THE MOVIE EXCLUSIVE,14,25.0,81.0,39.14,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3627edce-cc6e-4455-b8d8-acfa8cc7cdd8
BARBIE PRINCESS LEIA STAR WARS DOLL,18,182.5,500.0,272.14,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4aed87c8-bc85-47c9-bcc4-f77f6d687c97
BARBIE SIGANTURE TINA TURNER BARBIE DOLL,37,128.94,252.51,160.97,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1b2a361a-d1d9-46b7-922c-673f6496f92a
BARBIE SIGNATURE DOLL MARIA FELIX WEARING ELEGANT GLIMMERING GOLD,14,44.95,64.97,56.24,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-78b60185-8127-4028-b2b5-6c91f6208bcf
BARBIE SIGNATURE QUEEN ELIZABETH II PLATINUM DOLL,33,188.42,450.0,269.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-03c98d5f-a292-4931-bef7-b8222ba0e644
BLUEY NEW 2023 ULTIMATE MEGA SET - 40 PIECES,15,105.0,158.99,130.41,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-83836418-c1ab-49d8-b318-6d09e0be6996
CARE BEARS HELLO KITTY CHEER BEAR 9 FUN SIZE PLUSH,25,26.99,80.0,43.85,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ee1238aa-d3a2-483d-a825-32fb77f140f0
FUNKO POP ANIMATION ONE PIECE LUFFY GEAR FIVE WITH CHASE,12,74.99,150.0,115.2,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-678aed14-5a3b-4f66-8e3c-cda10e4c9cb5
FUNKO POP STAR WARS POWER OF THE GALAXY AHSOKA,27,33.0,49.99,39.44,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-93d6e18f-ae20-4db0-9d68-bec19c4c97ab
HALLMARK KEEPSAKE CHRISTMAS ORNAMENT 2023 STAR WARS,13,95.0,109.99,100.53,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bed910e2-89b5-4863-824c-f1025a6a41dd
HELLO KITTY AND FRIENDS PLUSH VALENTINE BOUTIQUE,33,45.0,100.0,72.79,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-0edc2e01-15dd-4a3e-9b59-4027b795b658
HOT WHEELS CARS FAST AND FURIOUS BUNDLE BOX,23,38.96,222.5,83.2,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-982d71dc-26ef-4ccd-8899-e01ad30353a6
HOT WHEELS RC BARBIE CORVETTE,46,32.0,90.0,52.6,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-421b8c55-ed45-4473-baf5-dbb3a81dac94
LEGO 10300 BACK TO THE FUTURE TIME MACHINE 1872 PIECES,33,119.95,180.0,133.63,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-091e4598-ee3c-49c5-8ee5-15f614055814
LEGO ART JIM LEE BATMAN COLLECTION SUPERHERO CANVAS WALL DECOR 31205,43,155.0,349.95,187.41,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2fed85b9-e0e8-4c93-a81c-1ea4cef485dd
LEGO ART WORLD MAP BUILDING SET 31203,44,355.0,429.67,384.78,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c5b2b862-5c5c-4817-a786-9e23aa112ab9
LEGO DC BATMAN 1989 BATMOBILE 76139 BUILDING KIT,8,379.99,449.99,424.56,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4637c085-331e-4cfe-8852-6a59385ba172
LEGO DC BATMAN 1989 BATWING 76161 MODEL,14,199.0,259.99,231.12,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9de42971-9a09-4ce7-925d-58e4a48bcfca
LEGO HOME ALONE EXCLUSIVE BUILDING SET,8,219.99,349.99,269.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-af0fd152-69a6-4019-a3fd-e673fbd4a73b
LEGO ICONS THE FRIENDS APARTMENTS 10292 FRIENDS TV SHOW GIFT,17,249.0,359.0,278.1,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1b6d7957-59db-4701-8a73-69df041aeb42
LEGO IDEAS 123 SESAME STREET 21324 BUILDING KIT,45,129.5,177.5,146.45,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-41f28c8e-aa85-43cd-8d8e-727c7695cd5d
LEGO IDEAS DISNEY WINNIE THE POOH 21326 BUILDING SET,8,94.99,149.99,117.36,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b92e78ca-9bf4-4e04-9ed0-cc9dfaf3ac06
LEGO IDEAS NASA APOLLO SATURN V 92176,36,147.5,210.0,172.05,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f14fb9a0-13ad-4e74-9bdb-7d3a15a2135f
LEGO STAR WARS A NEW HOPE IMPERIAL STAR DESTROYER 75252,11,995.0,1250.0,1072.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-27deee38-25fa-43c3-9969-0d8e65a7dff8
LEGO STAR WARS BOBA FETT HELMET BUILDING KIT,9,68.68,97.5,81.82,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d4741caa-9580-49de-92ca-6bfd47d212a6
LEGO STAR WARS CLONE WARS ARMORED ASSAULT TANK 75283,15,44.99,77.02,54.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-91c37d68-3e3a-4439-aed1-747c2672a9df
LEGO STAR WARS DAGOBAH 75330 SET,45,64.99,149.99,85.15,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-bbb78c93-8e1c-4c4a-b563-a6136d9adcb2
LEGO STAR WARS EWOK ATTACK 7956,18,35.0,80.0,60.56,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ef341ae3-7b8d-4ef5-ad4f-a047cea7f38d
LEGO STAR WARS MANDALORIAN STARFIGHTER 75316,27,49.0,90.0,65.44,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-503ff164-dbc9-4c0d-b06b-4ba5a7dd85b3
LEGO STAR WARS SCOUT TROOPER HELMET 75305,42,60.99,140.0,80.38,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d6f2a556-734a-41c6-86a6-7c0a8f0f14c4
LEGO STAR WARS SKYWALKER SAGA DELUXE EDITION - NINTENDO SWITCH,16,55.26,99.97,75.13,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b9691be4-b09b-46d7-91ef-fc4cd1ed49d2
LEGO STAR WARS SKYWALKER SAGA DELUXE EDITION - PS4,7,59.99,75.0,68.55,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-203900d8-e4b8-41b9-8a33-099967c02d16
LEGO STAR WARS SKYWALKER SAGA DELUXE EDITION - PS5,7,50.25,99.99,72.77,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ec00fb64-0a87-4aeb-a4a5-8deb3abfc7e4
LEGO TECHNIC PORSCHE 911 GT3 RS,40,460.0,1199.0,732.93,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9649c32d-77ac-4fde-a531-669a07bd50aa
LEGO VALENTINE LOVEBIRDS 40522 BUILDING TOY SET,8,29.0,40.0,33.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1140a64e-9b33-41f3-ba2a-0adff49e71d2
MCFARLANE DC MULTIVERSE THE FLASH MOVIE ACTION FIGURE - BATMAN,10,23.5,36.95,29.0,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-541675fc-f8db-4b13-a34a-5ad7c7c449b6
MCFARLANE DC MULTIVERSE THE FLASH MOVIE VEHICLE - BATMOBILE,14,59.0,89.99,72.36,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-778d8256-f8b3-45ca-bfc0-c1b7607cdd43
