searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Metazoo Bigfoot Cryptid Nation Pin Club Pin 1st Ed,5,2024-08-10,19.99,39.88,26.97,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-5dba1904-e0cf-4c70-829b-74ff61301b37
MetaZoo Nightfall 1st Edition Theme Deck Stikini Owl,9,2024-08-18,14.95,35.0,24.8,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-57f02293-b2c2-4fba-aab5-7bd3f383213b
MetaZoo 1st Edition Cryptid Nation Reverse Holo Hodag 5159,9,2024-08-19,11.99,39.99,24.55,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f13392cd-7af9-4ee8-af47-d600688cb32a
MetaZoo Babe The Blue Ox Pin Promo Card Set,7,2024-07-28,3.98,18.5,8.86,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3c7da276-38b9-49fc-816e-5fccc738b1e4
Metazoo Cards NIGHTFALL 1ST EDITION SpellBook Box 10 Booster Packs,6,2024-08-14,40.0,100.0,59.16,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d267e009-cb31-4507-9948-b74e02ec9154
Metazoo Cryptid Nation 1st Edition Walking Sam 9159 Reverse Holo,4,2024-08-19,9.5,49.99,24.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-68721a72-a8ce-4642-ab68-b1cf81cb6dcc
Metazoo Cryptid Nation 1st Edition Batsquatch 42159 Reverse Holo,6,2024-08-18,11.99,49.95,26.15,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6cd653b2-acd8-4da4-86d8-612db3a7c83f
Metazoo Cryptid Nation 1st Edition Holy Gem 36159 Full Holo,13,2024-08-18,18.0,103.49,56.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-95e57004-79b4-4b87-9a46-01672f955df5
MetaZoo Cryptid Nation 2021 Halloween Promo 1st Edition Pack,8,2024-08-08,9.19,19.99,13.27,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2767aee0-edfa-4588-9b85-cd74269e6a90
Metazoo Cryptid Nation Lightning Glass Reverse Holo 1st Edition 37159,8,2024-08-18,10.99,30.0,21.12,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-07ce4126-a5b1-434b-b58f-125aa4a9dfef
Metazoo Cryptid Nation Poker Cards,10,2024-08-11,9.95,21.5,14.57,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c54c11f8-4318-4174-886b-4163efc688f5
Metazoo Halloween Promo 2020 2nd Edition Pack,7,2024-08-08,9.99,23.99,15.42,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-fe18763e-2453-4160-b3e4-5ebdb11fe3e9
Metazoo Kickstarter Cryptid Nation Playing Poker SEALED Promo Card,7,2024-08-11,9.95,17.99,13.25,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9ad463ec-1297-4e08-9d0b-f3cc93f426eb
Metazoo Kickstarter Nightfall Playing Poker SEALED Promo Card,6,2024-07-29,5.0,22.14,13.8,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2bf5a86b-6488-4f0f-ac85-e3f99343a5d0
Metazoo Kickstarter Wilderness Playing Poker SEALED Promo Card,8,2024-07-29,5.0,17.99,11.22,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-655211e0-68d4-4f95-ae2b-5d1c7cfb0cbf
Metazoo Kickstarter WPT Poker Promo Box,12,2024-08-18,13.5,95.0,31.83,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cfa98922-b507-4074-9f9c-ba69926ba05c
MetaZoo Lizard Man of Scape Ore Swamp Cryptid Nation 1st Edition Full Holo 6159,7,2024-08-14,6.99,16.67,13.17,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-09b44512-169e-4c44-bae8-3ad1e2e37258
MetaZoo Magicast Promo Box Metazoo April Fools,12,2024-08-18,5.0,22.99,10.18,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-eaca3618-94a3-474a-81cb-49590fa401d9
MetaZoo Nightfall Theme Deck Flying Manta Ray 1st Edition Sealed,7,2024-07-19,14.95,34.99,24.26,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-716572d6-2dcc-4ef0-beeb-bda94b494c45
MetaZoo Nightfall Theme Deck The Ghost Marshall 1st Edition,9,2024-08-18,20.0,35.0,27.03,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cfbf969e-a781-4f85-b88e-e1792c1da1dd
MetaZoo Nightfall 1st Edition Booster Box Factory Sealed,14,2024-08-14,30.0,149.99,48.56,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3839b06e-d37b-4770-afa3-44fb22d9b17e
MetaZoo Nightfall 1st Edition Release Event Box Factory Sealed,13,2024-08-15,5.5,39.99,14.08,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e1a8b964-8a21-4e81-b124-9bd82532873e
MetaZoo Nightfall Jersey Devil Blister Pack 1st Edition Sealed,6,2024-08-16,9.0,49.99,24.83,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b2314dab-9ea1-4dcc-966d-b6bddb9fc325
Metazoo Nightfall Poker Cards,7,2024-08-11,4.48,14.95,10.46,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-01e8e27c-dfe3-4894-896f-24f702e945b2
Metazoo Piasa Bird Reverse Holo 17159 Cryptid Nation 1st Edition,6,2024-08-08,10.0,29.99,19.24,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-194b4daf-48ee-4c4f-98c8-bc9bfb35f2fa
MetaZoo TCG Nightfall 1st Edition Booster Box Display Sealed,17,2024-08-12,30.0,82.5,41.89,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-69df0c2c-9306-4093-9495-3d9b80f63ac8
Metazoo Wilderness 1st Edition Release Event Box NEW Factory Sealed,12,2024-08-10,6.0,16.14,9.87,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d3d03d7e-fdc7-4434-9240-02631dff7fd1
MetaZoo Wilderness 1st Edition Spell Book,12,2024-08-16,15.99,30.0,24.13,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b6bf0a69-8424-4c71-8df7-5ae3e95dd137
Metazoo Wilderness Poker Cards,9,2024-08-11,7.99,19.95,13.29,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d675bfa8-ceed-46e0-992f-417d7b4a106f
100 Soft Dumpster Fire This Is Fine Vinyl Figure,21,2024-08-21,34.95,62.0,41.17,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e8339c32-5988-4c7d-ad3b-3fb5e2708acd
METAZOO ELDER MATLOX NIGHTFALL THEME DECK 1ST EDITION NEW SEALED,13,2024-08-21,16.99,51.0,32.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-2985709e-4e84-4a5f-a05c-a03d9bb760dc
Nintendo Amiibo Metroid Dread Samus and EMMI Figures 2 Pack Set BRAND NEW,7,2024-08-16,12.99,19.99,15.99,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-1e4ccaec-ce21-426e-8201-9074a7d3bbff
Pink Gold Peach Hot Wheels Mario Kart Princess SDCC 2022 New Sealed,9,2024-08-11,32.69,84.7,51.2,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-254e890c-8d38-47b2-aa7f-b7d34a5343f0
Prototype Boba Fett Retro Vintage Collection Star Wars Target Exclusive,6,2024-08-14,15.0,25.99,19.64,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-ca1dfa84-20a6-44b9-9874-8545bd7627d0
