searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Pokemon Center Sword Shield Fusion Strike Booster Display Box,24,2024-08-07,199.0,279.88,230.49,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7077e5e7-c21a-4941-9f77-215d5db15f36
Pokemon Center Sword Shield Evolving Skies Booster Display Box,24,2024-08-07,500.0,710.12,636.73,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-f6aa9705-64ec-4897-aee9-d53ac80ee977
Pokemon Center Sword Shield Brilliant Stars Booster Display Box,20,2024-08-07,119.99,202.5,167.89,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b842c6e0-60a2-4085-9544-0f24a85c9cd5
Pokemon Center Sword Shield Lost Origin Booster Display Box,19,2024-08-07,152.0,215.0,190.77,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-cadb3d1a-bf83-4cf7-98e5-61f326a8e182
Pokemon Center Sword Shield Rebel Clash Booster Display Box,19,2024-08-01,126.18,324.99,195.51,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-63ec4262-4788-4ca2-b987-80f385b2cc0c
Pokemon Center Sword Shield Booster Display Box,14,2024-08-07,151.0,690.17,428.28,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8e8b7519-1a7c-43b0-b67b-fa295d956902
Pokemon Center Sword Shield Vivid Voltage Booster Display Box,6,2024-08-07,135.0,313.2,215.51,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-d04ac400-0dd8-4e9b-8ef1-40c11fc6aabf
Pokemon Center Sword Shield Astral Radiance Booster Display Box,14,2024-08-07,115.0,180.0,156.81,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-7eed4cd6-ec35-4193-a4fc-9dd3c1e7701b
Pokemon Center Sword Shield Chilling Reign Booster Display Box,20,2024-08-06,189.99,228.0,207.77,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-944175a6-d3c3-48e4-a196-ee8f54ace406
Pokemon Center Scarlet Violet Booster Display Box,14,2024-08-08,89.98,460.0,160.75,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9cf3f712-7d74-4284-9bad-5d167ea7f22e
Pokemon Center Sword Shield Battle Styles Booster Display Box,24,2024-08-07,99.99,148.88,119.76,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-660b2cd8-fb1d-4b40-aec5-5126e52b688a
Pokemon Center Sword Shield Darkness Ablaze Booster Display Box,13,2024-08-01,120.5,159.99,138.52,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-c9c66f8d-955b-41b1-ad24-2aabf54a6d31
Pokemon Center Scarlet Violet Paldea Evolved Booster Display Box,18,2024-08-06,108.99,649.99,160.78,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-8ade23e2-0d74-4b50-8b34-f3d215f523dc
