searching,total_results,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
Switch Limited Run #199: Rose and Camellia Collection Collector's Edition,4,225.0,785.95,492.23,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-3dedb6dd-b4d0-448b-8ea8-5e1da54711ee
Switch Limited Run #199: Rose and Camellia Collection,8,45.99,117.84,64.42,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-86b0cecc-01e1-4679-b8d8-76becec18ed8
Limited Run #555: Russian Subway Dogs (PS4),0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-b6e07b08-72b0-4a03-bad8-e96377e5d847
Xbox Limited Run #18: Grounded Fully Yoked Edition Collector's Edition,3,179.0,499.99,314.66,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-933697ed-9c3a-4918-a85a-363aa5bb5da8
Xbox Limited Run #18: Grounded Fully Yoked Edition,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-4a825180-3f62-4c51-a41b-9ce0f48756b1
PS5 Limited Run #97: Grounded Fully Yoked Edition Collector's Edition,25,64.99,299.99,108.33,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-9da33dff-c166-46b8-bf9d-442109836e85
PS5 Limited Run #97: Grounded Fully Yoked Edition,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-a5c9acbf-c758-4ee3-b7d5-df08aaf9c795
Switch Limited Run #231: Grounded Fully Yoked Edition Collector's Edition,16,110.0,247.5,166.96,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-e69e65e2-ebc8-46e8-88da-4e0e403183eb
Switch Limited Run #231: Grounded Fully Yoked Edition,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-254452f4-e398-46e1-86d9-e8831c7c9dbb
Switch Limited Run #233: RollerCoaster Tycoon 3 Complete Edition,0,nan,nan,nan,N/A,N/A,N/A,https://quickchart.io/chart/render/sf-6f59c45f-ee02-4538-a28e-f345d2654779
