searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
ASROCK PHANTOM GAMING X870E NOVA WIFI MOTHERBOARD,9,2025-01-30,473.0,647.99,521.22,$500.00,$-41.33,$568.19,https://quickchart.io/chart/render/sf-971642a8-79a8-4b87-a488-ee7d95141956
ASROCK PHANTOM GAMING X870E TAICHI LITE MOTHERBOARD,6,2025-01-29,399.99,539.0,482.83,$500.00,$-75.11,$568.19,https://quickchart.io/chart/render/sf-3b31ccc4-ce5b-4414-94c5-cc46a5b3e91a
ASROCK PHANTOM GAMING X870E TAICHI MOTHERBOARD,17,2025-01-29,449.99,665.79,565.34,$500.00,$-2.50,$568.19,https://quickchart.io/chart/render/sf-0152181e-91b3-4a88-8ee3-5c963f2a0dc0
ASUS GEFORCE RTX 5090 ASTRAL,10,2025-01-30,5899.99,6750.0,6308.9,$3000.00,$2551.83,$3409.09,https://quickchart.io/chart/render/sf-cb1b1c01-737b-4c37-9b75-25fdb2fb53bc
ASUS GEFORCE RTX 5090 ASTRAL OC,10,2025-01-30,5899.99,6750.0,6308.9,$3000.00,$2551.83,$3409.09,https://quickchart.io/chart/render/sf-9f0aec0d-c788-4c75-857c-16687278f91c
ASUS GEFORCE RTX 5090 TUF,9,2025-01-30,750.5,2500.0,1457.72,$3000.00,$-1717.21,$3409.10,https://quickchart.io/chart/render/sf-da1b3467-911b-4847-a8bd-3d658db0ea9a
ASUS GEFORCE RTX 5090 TUF OC,13,2025-01-30,359.99,1999.0,821.42,$3000.00,$-2277.15,$3409.10,https://quickchart.io/chart/render/sf-0baf7076-c202-46a5-abe7-d3c727f92ea0
BANDAI NAMCO ONE PIECE TCG ROMANCE DAWN BOOSTER BOX,25,2025-01-28,1.49,775.99,239.07,$100.00,$110.38,$113.63,https://quickchart.io/chart/render/sf-c2918f55-f374-4e77-bcb9-3d3e9e2e7057
BARBIE 50TH ANNIVERSARY BARBIE GLAMOUR AFRICAN AMERICAN DOLL,15,2025-01-30,46.99,119.99,63.79,$175.00,$-118.86,$198.87,https://quickchart.io/chart/render/sf-f1637b57-552d-4146-add2-7e973e3a47da
BARBIE COLLECTOR STAR WARS DARTH VADER DOLL,17,2025-01-26,99.0,189.85,135.15,$150.00,$-31.07,$170.46,https://quickchart.io/chart/render/sf-958fee40-3567-42dc-88b7-ac053a662d45
BARBIE DIA DE LOS MUERTOS DOLL,11,2025-01-29,115.0,280.4,168.21,$120.00,$28.02,$136.36,https://quickchart.io/chart/render/sf-0d3c34ed-34d1-4f05-b83e-76e87e5942f8
BARBIE DIWALI DOLL WEARING FESTIVAL OF LIGHTS,7,2025-01-25,65.8,136.0,80.1,$120.00,$-49.51,$136.37,https://quickchart.io/chart/render/sf-d7be7300-15ce-4c9b-923a-b6a9ff9e04a2
BARBIE DOLL STEVIE NICKS MUSIC COLLECTOR,16,2025-01-26,84.99,129.0,102.4,$80.00,$10.11,$90.90,https://quickchart.io/chart/render/sf-e8e51c22-10ab-4469-9672-d08ff61b902f
BARBIE IN PINK POWER JUMPSUIT THE MOVIE EXCLUSIVE,19,2025-01-30,13.99,26.99,19.19,$100.00,$-83.11,$113.64,https://quickchart.io/chart/render/sf-8011f0d6-06f6-4ae4-b34a-fab0a33d22ec
BARBIE INSPIRING WOMEN DOLL WILMA MANKILLER COLLECTIBLE TURQUOISE DRESS,22,2025-01-29,153.49,368.0,221.16,$100.00,$94.62,$113.63,https://quickchart.io/chart/render/sf-aae06d98-301a-4556-92e8-8daddef3a267
BARBIE KEN DOLL IN INLINE SKATING OUTFIT THE MOVIE EXCLUSIVE,10,2025-01-28,19.53,44.5,27.31,$40.00,$-15.97,$45.46,https://quickchart.io/chart/render/sf-d72a8cd0-f828-465a-a9c0-0f3c39459d63
BARBIE PRINCESS LEIA STAR WARS DOLL,13,2025-01-28,150.0,299.99,215.27,$110.00,$79.44,$124.99,https://quickchart.io/chart/render/sf-6d536aea-3576-47e6-95ce-434e1345d934
BARBIE SIGANTURE TINA TURNER BARBIE DOLL,23,2025-01-30,172.5,225.0,195.33,$80.00,$91.89,$90.90,https://quickchart.io/chart/render/sf-54eecfb9-cbf1-4b0b-afe4-3a89893e35a7
BARBIE SIGNATURE DOLL MARIA FELIX WEARING ELEGANT GLIMMERING GOLD,7,2025-01-18,50.0,79.49,67.21,$60.00,$-0.86,$68.19,https://quickchart.io/chart/render/sf-a980fc62-a434-4712-831d-7481addd0208
BARBIE SIGNATURE QUEEN ELIZABETH II PLATINUM DOLL,20,2025-01-29,199.0,298.0,230.08,$50.00,$152.47,$56.81,https://quickchart.io/chart/render/sf-7787d26f-d50e-4cbf-99db-5840a6d097ed
BETHESDA FALLOUT SPECIAL ANTHOLOGY EDITION PC,11,2025-01-26,89.0,139.0,110.26,$75.00,$22.03,$85.22,https://quickchart.io/chart/render/sf-570e02fc-a0ad-4d1f-9ee8-ce1176077bdc
BLUEY NEW 2023 ULTIMATE MEGA SET 40 PIECES,8,2025-01-25,150.0,250.0,188.0,$150.00,$15.44,$170.45,https://quickchart.io/chart/render/sf-087c244d-89d9-4bb0-beb2-28d2d03e1acd
BRATZ CELEBRITY ARTIST DOLL,4,2025-01-29,140.0,169.99,154.87,$100.00,$36.29,$113.63,https://quickchart.io/chart/render/sf-1e302f28-c914-4ae5-a837-5468e9d5916a
BROOK WINGMAN FGC CONVERTER ARCADE JOYSTICK CONVERTER,18,2025-01-25,39.99,55.0,46.22,$60.00,$-19.33,$68.19,https://quickchart.io/chart/render/sf-e18d7ded-7100-4fed-b612-e9c59b60dfc0
CANON POWERSHOT G7 X DIGITAL CAMERA,14,2025-01-30,866.9,1554.01,1085.6,$800.00,$155.33,$909.09,https://quickchart.io/chart/render/sf-126bc203-8a49-467a-872c-e069d0fa2cee
CANON POWERSHOT G7X MARK III DIGITAL CAMERA,18,2025-01-30,1050.0,1554.01,1183.48,$1500.00,$-458.54,$1704.55,https://quickchart.io/chart/render/sf-7dafec28-5eac-4166-82e9-9a2c3fa3716d
CHEETOS DUSTER BUNDLE,17,2025-01-29,9.99,205.0,31.03,$35.00,$-7.69,$39.78,https://quickchart.io/chart/render/sf-96629d03-e990-42a6-917f-0ecbaaac4339
COCOMELON UNISEX BUS WITH STORAGE SPACE,1,2024-12-11,55.0,55.0,55.0,$45.00,$3.40,$51.13,https://quickchart.io/chart/render/sf-e2e16b84-2411-44be-beca-e8b41654c687
CORSAIR VENGENCE RGB PRO 128 GB DDR4 3200 RAM,5,2024-12-26,157.5,209.0,184.5,$70.00,$92.36,$79.54,https://quickchart.io/chart/render/sf-1c9be077-a631-4bc2-9352-43fc6e09400d
DISCOVERY INTERSTELLA 5555 EDITION,14,2025-01-29,204.95,279.99,222.33,$120.00,$75.65,$136.36,https://quickchart.io/chart/render/sf-0bf50acd-7be1-4f71-88b3-66c2f8f9d2f6
DISNEY EPIC MICKEY REBRUSHED COLLECTORS EDITION PS5,20,2025-01-26,199.99,320.0,254.98,$400.00,$-175.62,$454.55,https://quickchart.io/chart/render/sf-727002a9-0550-486c-bdc9-66657c70b249
