searching,total_results,latest_sale_date,min_sale_price,max_sale_price,avg_sale_price_overall,msrp_value,profit_value,min_sale_price_embed,chart_url
2024 PANINI NFL DONRUSS FOOTBALL TRADING CARD MEGA BOX,14,2025-05-04,99.95,350.0,211.06,$75.00,$110.73,$85.22,https://quickchart.io/chart/render/sf-e44e0e33-d7ea-44d4-b2d1-bd6b21288046
2024 PANINI NFL OPTIC FOOTBALL MEGA BOX,8,2025-05-05,145.0,850.0,504.44,$100.00,$343.91,$113.63,https://quickchart.io/chart/render/sf-5dda5980-9c7e-469f-b1d2-aa176e24163c
3M SCOTCH 26336 233 24MM X 55M MASKING TAPE CASE OF 24,3,2025-04-30,54.95,141.83,97.58,$200.00,$-114.13,$227.28,https://quickchart.io/chart/render/sf-9b7a32e5-4c33-4cfa-a6a2-4d21a42c08b2
8BITDO 64 BLUETOOTH CONTROLLER,16,2025-05-05,34.95,64.99,43.8,$300.00,$-261.46,$340.91,https://quickchart.io/chart/render/sf-35fe3d4e-c602-40a3-b88c-6f3d2b3b4ba2
ACER INTEL ARC B580 NITRO,19,2025-05-04,325.0,371.0,348.79,$350.00,$-43.06,$397.73,https://quickchart.io/chart/render/sf-c0274780-77cf-430b-8d06-a30a30e0706b
AMD RYZEN 9 9950X3D DESKTOP PROCESSOR,25,2025-05-05,818.9,1400.0,942.32,$870.00,$-40.76,$988.64,https://quickchart.io/chart/render/sf-2926a4c3-579a-4006-99fd-8b2170b16ab5
ASROCK B850I LIGHTNING MOTHERBOARD,7,2025-05-02,175.99,299.99,231.81,$750.00,$-546.01,$852.28,https://quickchart.io/chart/render/sf-4a228811-5f1f-4eaf-9b18-68b7fa31cb1e
ASROCK INTEL ARC B580 CHALLENGER OC,16,2025-05-03,285.0,389.83,337.94,$350.00,$-52.61,$397.73,https://quickchart.io/chart/render/sf-0c113102-3483-4ed3-9676-05f7c4a98edc
ASROCK PHANTOM GAMING X870E TAICHI MOTHERBOARD,13,2025-04-23,400.0,589.88,503.49,$500.00,$-56.93,$568.19,https://quickchart.io/chart/render/sf-ebbc662b-328d-4c3c-a752-4300fe63ebfb
ASUS ROG ALLY 7 120 HZ GAMING HANDHELD,12,2025-05-05,355.0,780.99,572.54,$600.00,$-96.16,$681.82,https://quickchart.io/chart/render/sf-6399a2d9-e140-424c-bdb8-2b315a05fab9
ASUS ROG FLOW Z13-ACRNM RMT02 GAMING LAPTOP TABLET,3,2025-04-28,1350.0,2399.99,1916.66,$2800.00,$-1113.34,$3181.82,https://quickchart.io/chart/render/sf-d5bfc7e2-a9cd-4ddb-b833-5831cea0927f
ASUS ROG LOKI SFX-L 1200W TITANIUM PSU,10,2025-05-02,299.99,449.99,383.99,$1200.00,$-862.09,$1363.64,https://quickchart.io/chart/render/sf-f340e263-e44b-40d4-8958-124b30c4cfea
ASUS ROG STRIX X570-E ATX MOTHERBOARD,12,2025-05-05,150.0,459.98,232.16,$500.00,$-295.70,$568.19,https://quickchart.io/chart/render/sf-c2c1bde1-7bfd-4a82-807f-b36f3b04f628
ASUS ROG STRIX X570-I GAMING MINI-ITX MOTHERBOARD,19,2025-05-03,179.0,359.0,233.27,$300.00,$-94.72,$340.91,https://quickchart.io/chart/render/sf-9e591e2c-fa23-4d92-842b-746650163e06
ASUS TUF GAMING Z790-PLUS ATX GAMING MOTHERBOARD,15,2025-05-03,117.95,199.97,157.15,$300.00,$-161.71,$340.91,https://quickchart.io/chart/render/sf-aca61003-55e4-405c-beea-38f86ab8e895
BANDAI NAMCO ONE PIECE TCG ROMANCE DAWN BOOSTER BOX,16,2025-04-29,375.0,1400.0,687.65,$100.00,$505.13,$113.63,https://quickchart.io/chart/render/sf-741c8058-da05-416b-bd52-89d52e9ace17
BARBIE 50TH ANNIVERSARY BARBIE GLAMOUR AFRICAN AMERICAN DOLL,14,2025-04-26,70.0,200.0,108.21,$175.00,$-79.78,$198.87,https://quickchart.io/chart/render/sf-ce16d895-9358-427a-8536-181dde742b62
BARBIE COLLECTOR STAR WARS DARTH VADER DOLL,13,2025-04-29,86.0,275.0,134.49,$150.00,$-31.65,$170.46,https://quickchart.io/chart/render/sf-111b61cf-7100-41af-92ed-a8c7e4c4c55b
BARBIE DIA DE LOS MUERTOS DOLL,13,2025-05-04,59.0,274.99,126.85,$120.00,$-8.37,$136.37,https://quickchart.io/chart/render/sf-75761e64-40d5-4dcd-9faf-4016d4200a62
BARBIE DOLL STEVIE NICKS MUSIC COLLECTOR,9,2025-05-04,99.99,139.0,111.74,$75.00,$23.33,$85.22,https://quickchart.io/chart/render/sf-a5c4e68a-8315-495b-b1c8-12af1585b5a3
BARBIE IN PINK POWER JUMPSUIT THE MOVIE EXCLUSIVE,17,2025-04-30,11.95,26.0,17.86,$100.00,$-84.28,$113.64,https://quickchart.io/chart/render/sf-b8d857d3-3e8c-4dc1-8efe-24b451d44a2b
BARBIE INSPIRING WOMEN DOLL WILMA MANKILLER COLLECTIBLE TURQUOISE DRESS,12,2025-04-29,127.0,325.0,197.2,$100.00,$73.54,$113.63,https://quickchart.io/chart/render/sf-8d651b60-35e6-4d3c-a2b7-651ca6f62570
BARBIE KEN DOLL IN INLINE SKATING OUTFIT THE MOVIE EXCLUSIVE,13,2025-04-24,17.0,48.38,25.13,$40.00,$-17.89,$45.46,https://quickchart.io/chart/render/sf-bfb5045e-62e0-4e78-89c4-2a4978ec7cee
BARBIE PRINCESS LEIA STAR WARS DOLL,13,2025-05-01,135.0,444.61,215.38,$110.00,$79.53,$124.99,https://quickchart.io/chart/render/sf-1ea9a55e-a83f-49cd-8044-5ce94c16ebbc
BARBIE SIGANTURE TINA TURNER BARBIE DOLL,17,2025-04-30,179.99,250.0,211.94,$80.00,$106.51,$90.90,https://quickchart.io/chart/render/sf-2c5e334e-f38a-43f8-8c32-bea4c0563c04
BARBIE SIGNATURE DOLL MARIA FELIX WEARING ELEGANT GLIMMERING GOLD,12,2025-05-02,65.99,100.0,77.56,$60.00,$8.25,$68.18,https://quickchart.io/chart/render/sf-196a7106-a455-4a01-8e33-b0c23fa01910
BARBIE SIGNATURE LEBRON JAMES KENBASSADORS DOLL,20,2025-05-05,104.99,130.0,114.64,$100.00,$0.88,$113.63,https://quickchart.io/chart/render/sf-f80c3153-e2b9-444a-a95e-b456db3a1509
BARBIE SIGNATURE QUEEN ELIZABETH II PLATINUM DOLL,11,2025-05-01,149.28,364.98,237.8,$50.00,$159.26,$56.81,https://quickchart.io/chart/render/sf-078e347d-81af-479c-8109-800a0f878634
